"Kod";"Nazwa";"ludność korzystająca z sieci gazowej;2020;[osoba]";
0801052;"Lubiszyn (2)";575;
0801062;"Santok (2)";5584;
0801073;"Witnica (3)";6349;
0801074;"Witnica - miasto (4)";5723;
0801075;"Witnica - obszar wiejski (5)";626;
0802000;"Powiat krośnieński";19795;
0802011;"Gubin (1)";16062;
0802042;"Dąbie (2)";401;
0802052;"Gubin (2)";463;
0802063;"Krosno Odrzańskie (3)";2815;
0802064;"Krosno Odrzańskie - miasto (4)";2206;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";609;
0802072;"Maszewo (2)";54;
0803000;"Powiat międzyrzecki";15038;
0803012;"Bledzew (2)";233;
0803023;"Międzyrzecz (3)";5238;
0803024;"Międzyrzecz - miasto (4)";4197;
0803025;"Międzyrzecz - obszar wiejski (5)";1041;
0803032;"Przytoczna (2)";2394;
0803042;"Pszczew (2)";760;
0803053;"Skwierzyna (3)";6410;
0803054;"Skwierzyna - miasto (4)";6410;
0803063;"Trzciel (3)";3;
0803064;"Trzciel - miasto (4)";3;
0804000;"Powiat nowosolski";48346;
0804011;"Nowa Sól (1)";37327;
0804023;"Bytom Odrzański (3)";3443;
0804024;"Bytom Odrzański - miasto (4)";3194;
0804025;"Bytom Odrzański - obszar wiejski (5)";249;
0804032;"Kolsko (2)";3;
0804043;"Kożuchów (3)";1563;
0804044;"Kożuchów - miasto (4)";1096;
0804045;"Kożuchów - obszar wiejski (5)";467;
0804052;"Nowa Sól (2)";953;
0804063;"Nowe Miasteczko (3)";358;
0804064;"Nowe Miasteczko - miasto (4)";319;
0804065;"Nowe Miasteczko - obszar wiejski (5)";39;
0804073;"Otyń (3)";4699;
0804074;"Otyń - miasto (4)";855;
0804075;"Otyń - obszar wiejski (5)";3844;
0805000;"Powiat słubicki";22244;
0805013;"Cybinka (3)";1166;
0805014;"Cybinka - miasto (4)";1111;
0805015;"Cybinka - obszar wiejski (5)";55;
0805022;"Górzyca (2)";1040;
0805033;"Ośno Lubuskie (3)";1292;
0805034;"Ośno Lubuskie - miasto (4)";1222;
0805035;"Ośno Lubuskie - obszar wiejski (5)";70;
0805043;"Rzepin (3)";2509;
0805044;"Rzepin - miasto (4)";2180;
0805045;"Rzepin - obszar wiejski (5)";329;
0805053;"Słubice (3)";16237;
0805054;"Słubice - miasto (4)";14803;
0805055;"Słubice - obszar wiejski (5)";1434;
0806000;"Powiat strzelecko-drezdenecki";13415;
0806013;"Dobiegniew (3)";8;
0806014;"Dobiegniew - miasto (4)";8;
0806023;"Drezdenko (3)";9735;
0806024;"Drezdenko - miasto (4)";9318;
0806025;"Drezdenko - obszar wiejski (5)";417;
0806032;"Stare Kurowo (2)";344;
0806043;"Strzelce Krajeńskie (3)";3245;
0806044;"Strzelce Krajeńskie - miasto (4)";3215;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";30;
0806052;"Zwierzyn (2)";83;
0807000;"Powiat sulęciński";5224;
0807012;"Krzeszyce (2)";339;
0807023;"Lubniewice (3)";732;
0807024;"Lubniewice - miasto (4)";702;
0807025;"Lubniewice - obszar wiejski (5)";30;
0807032;"Słońsk (2)";414;
0807043;"Sulęcin (3)";3384;
0807044;"Sulęcin - miasto (4)";2711;
0807045;"Sulęcin - obszar wiejski (5)";673;
0807053;"Torzym (3)";355;
0807054;"Torzym - miasto (4)";355;
0808000;"Powiat świebodziński";31005;
0808012;"Lubrza (2)";472;
0808022;"Łagów (2)";724;
0808032;"Skąpe (2)";2617;
0808053;"Świebodzin (3)";20909;
0808054;"Świebodzin - miasto (4)";20505;
0808055;"Świebodzin - obszar wiejski (5)";404;
0808063;"Zbąszynek (3)";6283;
0808064;"Zbąszynek - miasto (4)";4416;
0808065;"Zbąszynek - obszar wiejski (5)";1867;
0809000;"Powiat zielonogórski";38556;
0809013;"Babimost (3)";5482;
0809014;"Babimost - miasto (4)";3639;
0809015;"Babimost - obszar wiejski (5)";1843;
0809022;"Bojadła (2)";10;
0809033;"Czerwieńsk (3)";4050;
0809034;"Czerwieńsk - miasto (4)";2482;
0809035;"Czerwieńsk - obszar wiejski (5)";1568;
0809043;"Kargowa (3)";4173;
0809044;"Kargowa - miasto (4)";3449;
0809045;"Kargowa - obszar wiejski (5)";724;
0809053;"Nowogród Bobrzański (3)";1563;
0809054;"Nowogród Bobrzański - miasto (4)";1520;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";43;
0809063;"Sulechów (3)";19912;
0809064;"Sulechów - miasto (4)";15973;
0809065;"Sulechów - obszar wiejski (5)";3939;
0809072;"Świdnica (2)";1824;
0809082;"Trzebiechów (2)";136;
0809092;"Zabór (2)";1406;
0810000;"Powiat żagański";49725;
0810011;"Gozdnica (1)";836;
0810021;"Żagań (1)";24527;
0810043;"Iłowa (3)";3929;
0810044;"Iłowa - miasto (4)";3541;
0810045;"Iłowa - obszar wiejski (5)";388;
0810053;"Małomice (3)";2128;
0810054;"Małomice - miasto (4)";2128;
0810073;"Szprotawa (3)";14721;
0810074;"Szprotawa - miasto (4)";10826;
0810075;"Szprotawa - obszar wiejski (5)";3895;
0810082;"Wymiarki (2)";858;
0810092;"Żagań (2)";2726;
0811000;"Powiat żarski";51889;
0811021;"Żary (1)";34589;
0811043;"Jasień (3)";4195;
0811044;"Jasień - miasto (4)";3884;
0811045;"Jasień - obszar wiejski (5)";311;
0811063;"Lubsko (3)";13060;
0811064;"Lubsko - miasto (4)";13047;
0811065;"Lubsko - obszar wiejski (5)";13;
0811102;"Żary (2)";45;
0812000;"Powiat wschowski";14595;
0812013;"Sława (3)";723;
0812014;"Sława - miasto (4)";631;
0812015;"Sława - obszar wiejski (5)";92;
0812033;"Wschowa (3)";13872;
0812034;"Wschowa - miasto (4)";13423;
0812035;"Wschowa - obszar wiejski (5)";449;
0861000;"Powiat m.Gorzów Wielkopolski";93497;
0861011;"Gorzów Wielkopolski (1)";93497;
0862000;"Powiat m.Zielona Góra";122063;
0862011;"Zielona Góra (1)";122063;
1000000;"ŁÓDZKIE";978755;
1001000;"Powiat bełchatowski";48696;
1001011;"Bełchatów (1)";43890;
1001022;"Bełchatów (2)";81;
1001042;"Kleszczów (2)";4725;
1002000;"Powiat kutnowski";7653;
1002011;"Kutno (1)";6494;
1002043;"Krośniewice (3)";264;
1002044;"Krośniewice - miasto (4)";242;
1002045;"Krośniewice - obszar wiejski (5)";22;
1002052;"Krzyżanów (2)";139;
1002062;"Kutno (2)";164;
1002102;"Strzelce (2)";592;
1003000;"Powiat łaski";2608;
1003012;"Buczek (2)";8;
1003023;"Łask (3)";2600;
1003024;"Łask - miasto (4)";2038;
1003025;"Łask - obszar wiejski (5)";562;
1004000;"Powiat łęczycki";1775;
1004011;"Łęczyca (1)";1503;
1004022;"Daszyna (2)";93;
1004032;"Góra Świętej Małgorzaty (2)";43;
1004042;"Grabów (2)";3;
1004052;"Łęczyca (2)";53;
1004072;"Świnice Warckie (2)";3;
1004082;"Witonia (2)";77;
1005000;"Powiat łowicki";5069;
1005011;"Łowicz (1)";4986;
1005032;"Chąśno (2)";7;
1005072;"Łowicz (2)";55;
1005082;"Łyszkowice (2)";21;
1006000;"Powiat łódzki wschodni";35319;
1006022;"Andrespol (2)";10458;
1006032;"Brójce (2)";1430;
1006073;"Koluszki (3)";10624;
1006074;"Koluszki - miasto (4)";8576;
1006075;"Koluszki - obszar wiejski (5)";2048;
1006082;"Nowosolna (2)";3648;
1006103;"Rzgów (3)";4846;
1006104;"Rzgów - miasto (4)";2292;
1006105;"Rzgów - obszar wiejski (5)";2554;
1006113;"Tuszyn (3)";4313;
1006114;"Tuszyn - miasto (4)";3640;
1006115;"Tuszyn - obszar wiejski (5)";673;
1007000;"Powiat opoczyński";13677;
1007032;"Mniszków (2)";49;
1007043;"Opoczno (3)";10407;
1007044;"Opoczno - miasto (4)";10187;
1007045;"Opoczno - obszar wiejski (5)";220;
1007052;"Paradyż (2)";6;
1007072;"Sławno (2)";2665;
1007082;"Żarnów (2)";550;
1008000;"Powiat pabianicki";71639;
1008011;"Konstantynów Łódzki (1)";17069;
1008021;"Pabianice (1)";42365;
1008032;"Dłutów (2)";24;
1008042;"Dobroń (2)";1647;
1008052;"Ksawerów (2)";7143;
1008062;"Lutomiersk (2)";2941;
1008072;"Pabianice (2)";450;
1009000;"Powiat pajęczański";1235;
1009013;"Działoszyn (3)";643;
1009014;"Działoszyn - miasto (4)";399;
1009015;"Działoszyn - obszar wiejski (5)";244;
1009043;"Pajęczno (3)";583;
1009044;"Pajęczno - miasto (4)";498;
1009045;"Pajęczno - obszar wiejski (5)";85;
1009062;"Siemkowice (2)";6;
1009082;"Sulmierzyce (2)";3;
1010000;"Powiat piotrkowski";5505;
1010032;"Gorzkowice (2)";447;
1010042;"Grabica (2)";3;
1010062;"Moszczenica (2)";72;
1010082;"Rozprza (2)";10;
1010093;"Sulejów (3)";3572;
1010094;"Sulejów - miasto (4)";3572;
1010102;"Wola Krzysztoporska (2)";125;
1010113;"Wolbórz (3)";1276;
1010114;"Wolbórz - miasto (4)";1264;
1010115;"Wolbórz - obszar wiejski (5)";12;
1011000;"Powiat poddębicki";2077;
1011012;"Dalików (2)";3;
1011033;"Poddębice (3)";1890;
1011034;"Poddębice - miasto (4)";1477;
1011035;"Poddębice - obszar wiejski (5)";413;
1011043;"Uniejów (3)";102;
1011044;"Uniejów - miasto (4)";89;
1011045;"Uniejów - obszar wiejski (5)";13;
1011052;"Wartkowice (2)";82;
1012000;"Powiat radomszczański";30629;
1012011;"Radomsko (1)";25092;
1012042;"Gomunice (2)";3312;
1012053;"Kamieńsk (3)";995;
1012054;"Kamieńsk - miasto (4)";950;
1012055;"Kamieńsk - obszar wiejski (5)";45;
1012062;"Kobiele Wielkie (2)";135;
1012072;"Kodrąb (2)";9;
1012082;"Lgota Wielka (2)";3;
1012092;"Ładzice (2)";9;
1012122;"Radomsko (2)";1074;
1013000;"Powiat rawski";13619;
1013011;"Rawa Mazowiecka (1)";13149;
1013023;"Biała Rawska (3)";110;
1013025;"Biała Rawska - obszar wiejski (5)";110;
1013042;"Rawa Mazowiecka (2)";308;
1013062;"Sadkowice (2)";52;
1014000;"Powiat sieradzki";2791;
1014011;"Sieradz (1)";2601;
1014023;"Błaszki (3)";3;
1014025;"Błaszki - obszar wiejski (5)";3;
1014082;"Sieradz (2)";3;
1014093;"Warta (3)";76;
1014094;"Warta - miasto (4)";73;
1014095;"Warta - obszar wiejski (5)";3;
1014102;"Wróblew (2)";108;
1015000;"Powiat skierniewicki";354;
1015022;"Głuchów (2)";31;
1015052;"Lipce Reymontowskie (2)";31;
1015062;"Maków (2)";17;
1015072;"Nowy Kawęczyn (2)";2;
1015082;"Skierniewice (2)";270;
1015092;"Słupia (2)";3;
1016000;"Powiat tomaszowski";47645;
1016011;"Tomaszów Mazowiecki (1)";39859;
1016052;"Inowłódz (2)";242;
1016062;"Lubochnia (2)";1230;
1016072;"Rokiciny (2)";14;
1016092;"Tomaszów Mazowiecki (2)";226;
1016102;"Ujazd (2)";6074;
1017000;"Powiat wieluński";1649;
1017022;"Czarnożyły (2)";13;
1017042;"Mokrsko (2)";113;
1017052;"Osjaków (2)";3;
1017093;"Wieluń (3)";1402;
1017094;"Wieluń - miasto (4)";1014;
1017095;"Wieluń - obszar wiejski (5)";388;
1017102;"Wierzchlas (2)";118;
1018000;"Powiat wieruszowski";1780;
1018012;"Bolesławiec (2)";3;
1018073;"Wieruszów (3)";1777;
1018074;"Wieruszów - miasto (4)";1667;
1018075;"Wieruszów - obszar wiejski (5)";110;
1019000;"Powiat zduńskowolski";1918;
1019011;"Zduńska Wola (1)";1731;
1019032;"Zapolice (2)";6;
1019042;"Zduńska Wola (2)";181;
1020000;"Powiat zgierski";62647;
1020011;"Głowno (1)";150;
1020021;"Ozorków (1)";1268;
1020031;"Zgierz (1)";37817;
1020043;"Aleksandrów Łódzki (3)";19984;
1020044;"Aleksandrów Łódzki - miasto (4)";16395;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";3589;
1020052;"Głowno (2)";12;
1020062;"Ozorków (2)";826;
1020072;"Parzęczew (2)";5;
1020083;"Stryków (3)";738;
1020084;"Stryków - miasto (4)";271;
1020085;"Stryków - obszar wiejski (5)";467;
1020092;"Zgierz (2)";1847;
1021000;"Powiat brzeziński";214;
1021011;"Brzeziny (1)";8;
1021022;"Brzeziny (2)";109;
1021032;"Dmosin (2)";2;
1021042;"Jeżów (2)";66;
1021052;"Rogów (2)";29;
1061000;"Powiat m.Łódź";533369;
1061011;"Łódź (1)";533369;
1062000;"Powiat m.Piotrków Trybunalski";54918;
1062011;"Piotrków Trybunalski (1)";54918;
1063000;"Powiat m.Skierniewice";31969;
1063011;"Skierniewice (1)";31969;
1200000;"MAŁOPOLSKIE";2210706;
1201000;"Powiat bocheński";88423;
1201011;"Bochnia (1)";26771;
1201022;"Bochnia (2)";16856;
1201032;"Drwinia (2)";4803;
1201042;"Lipnica Murowana (2)";4191;
1201052;"Łapanów (2)";5871;
1201063;"Nowy Wiśnicz (3)";11879;
1201064;"Nowy Wiśnicz - miasto (4)";2727;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";9152;
1201072;"Rzezawa (2)";8487;
1201082;"Trzciana (2)";4588;
1201092;"Żegocina (2)";4977;
1202000;"Powiat brzeski";72269;
1202012;"Borzęcin (2)";5389;
1202023;"Brzesko (3)";31925;
1202024;"Brzesko - miasto (4)";16412;
1202025;"Brzesko - obszar wiejski (5)";15513;
1202033;"Czchów (3)";7096;
1202034;"Czchów - miasto (4)";2284;
1202035;"Czchów - obszar wiejski (5)";4812;
1202042;"Dębno (2)";12463;
1202052;"Gnojnik (2)";5434;
1202062;"Iwkowa (2)";5057;
1202072;"Szczurowa (2)";4905;
1203000;"Powiat chrzanowski";90998;
1203013;"Alwernia (3)";9287;
1203014;"Alwernia - miasto (4)";2897;
1203015;"Alwernia - obszar wiejski (5)";6390;
1203022;"Babice (2)";5778;
1203033;"Chrzanów (3)";34958;
1203034;"Chrzanów - miasto (4)";29380;
1203035;"Chrzanów - obszar wiejski (5)";5578;
1203043;"Libiąż (3)";14765;
1203044;"Libiąż - miasto (4)";11563;
1203045;"Libiąż - obszar wiejski (5)";3202;
1203053;"Trzebinia (3)";26210;
1203054;"Trzebinia - miasto (4)";15865;
1203055;"Trzebinia - obszar wiejski (5)";10345;
1204000;"Powiat dąbrowski";37983;
1204012;"Bolesław (2)";2145;
1204023;"Dąbrowa Tarnowska (3)";16650;
1204024;"Dąbrowa Tarnowska - miasto (4)";11264;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";5386;
1204032;"Gręboszów (2)";2087;
1204042;"Mędrzechów (2)";2566;
1204052;"Olesno (2)";5916;
1204062;"Radgoszcz (2)";3266;
1204073;"Szczucin (3)";5353;
1204074;"Szczucin - miasto (4)";3606;
1204075;"Szczucin - obszar wiejski (5)";1747;
1205000;"Powiat gorlicki";76734;
1205011;"Gorlice (1)";26144;
1205023;"Biecz (3)";11184;
1205024;"Biecz - miasto (4)";3764;
1205025;"Biecz - obszar wiejski (5)";7420;
1205033;"Bobowa (3)";6543;
1205034;"Bobowa - miasto (4)";2477;
1205035;"Bobowa - obszar wiejski (5)";4066;
1205042;"Gorlice (2)";13456;
1205052;"Lipinki (2)";5198;
1205062;"Łużna (2)";4823;
1205072;"Moszczenica (2)";3174;
1205082;"Ropa (2)";2920;
1205092;"Sękowa (2)";2521;
1205102;"Uście Gorlickie (2)";771;
1206000;"Powiat krakowski";222310;
1206012;"Czernichów (2)";3882;
1206022;"Igołomia-Wawrzeńczyce (2)";5619;
1206032;"Iwanowice (2)";4041;
1206042;"Jerzmanowice-Przeginia (2)";8633;
1206052;"Kocmyrzów-Luborzyca (2)";14068;
1206063;"Krzeszowice (3)";25343;
1206064;"Krzeszowice - miasto (4)";8298;
1206065;"Krzeszowice - obszar wiejski (5)";17045;
1206072;"Liszki (2)";15745;
1206082;"Michałowice (2)";9892;
1206092;"Mogilany (2)";14015;
1206103;"Skała (3)";6834;
1206104;"Skała - miasto (4)";2201;
1206105;"Skała - obszar wiejski (5)";4633;
1206113;"Skawina (3)";37747;
1206114;"Skawina - miasto (4)";22182;
1206115;"Skawina - obszar wiejski (5)";15565;
1206123;"Słomniki (3)";1450;
1206124;"Słomniki - miasto (4)";770;
1206125;"Słomniki - obszar wiejski (5)";680;
1206132;"Sułoszowa (2)";2522;
1206143;"Świątniki Górne (3)";9159;
1206144;"Świątniki Górne - miasto (4)";2165;
1206145;"Świątniki Górne - obszar wiejski (5)";6994;
1206152;"Wielka Wieś (2)";13086;
1206162;"Zabierzów (2)";26606;
1206172;"Zielonki (2)";23668;
1207000;"Powiat limanowski";74680;
1207011;"Limanowa (1)";14641;
1207021;"Mszana Dolna (1)";6046;
1207032;"Dobra (2)";5120;
1207042;"Jodłownik (2)";3829;
1207052;"Kamienica (2)";59;
1207062;"Laskowa (2)";5177;
1207072;"Limanowa (2)";14805;
1207082;"Łukowica (2)";262;
1207092;"Mszana Dolna (2)";10808;
1207102;"Niedźwiedź (2)";4549;
1207112;"Słopnice (2)";5241;
1207122;"Tymbark (2)";4143;
1208000;"Powiat miechowski";5781;
1208012;"Charsznica (2)";1810;
1208022;"Gołcza (2)";879;
1208032;"Kozłów (2)";5;
1208042;"Książ Wielki (2)";152;
1208053;"Miechów (3)";2929;
1208054;"Miechów - miasto (4)";2885;
1208055;"Miechów - obszar wiejski (5)";44;
1208062;"Racławice (2)";6;
1209000;"Powiat myślenicki";79100;
1209013;"Dobczyce (3)";11849;
1209014;"Dobczyce - miasto (4)";5654;
1209015;"Dobczyce - obszar wiejski (5)";6195;
1209022;"Lubień (2)";5442;
1209033;"Myślenice (3)";34767;
1209034;"Myślenice - miasto (4)";17535;
1209035;"Myślenice - obszar wiejski (5)";17232;
1209042;"Pcim (2)";5245;
1209052;"Raciechowice (2)";270;
1209062;"Siepraw (2)";6392;
1209073;"Sułkowice (3)";10647;
1209074;"Sułkowice - miasto (4)";5859;
1209075;"Sułkowice - obszar wiejski (5)";4788;
1209082;"Tokarnia (2)";3867;
1209092;"Wiśniowa (2)";621;
1210000;"Powiat nowosądecki";115682;
1210011;"Grybów (1)";4911;
1210022;"Chełmiec (2)";14893;
1210032;"Gródek nad Dunajcem (2)";5651;
1210042;"Grybów (2)";20006;
1210052;"Kamionka Wielka (2)";7903;
1210062;"Korzenna (2)";10052;
1210073;"Krynica-Zdrój (3)";14671;
1210074;"Krynica-Zdrój - miasto (4)";9743;
1210075;"Krynica-Zdrój - obszar wiejski (5)";4928;
1210082;"Łabowa (2)";3757;
1210092;"Łącko (2)";56;
1210102;"Łososina Dolna (2)";8432;
1210113;"Muszyna (3)";6941;
1210114;"Muszyna - miasto (4)";3802;
1210115;"Muszyna - obszar wiejski (5)";3139;
1210122;"Nawojowa (2)";2466;
1210142;"Podegrodzie (2)";4;
1210152;"Rytro (2)";4;
1210163;"Stary Sącz (3)";15935;
1210164;"Stary Sącz - miasto (4)";7325;
1210165;"Stary Sącz - obszar wiejski (5)";8610;
1211000;"Powiat nowotarski";30906;
1211011;"Nowy Targ (1)";7629;
1211032;"Czarny Dunajec (2)";181;
1211072;"Lipnica Wielka (2)";4;
1211092;"Nowy Targ (2)";2776;
1211112;"Raba Wyżna (2)";6350;
1211123;"Rabka-Zdrój (3)";11719;
1211124;"Rabka-Zdrój - miasto (4)";11520;
1211125;"Rabka-Zdrój - obszar wiejski (5)";199;
1211132;"Spytkowice (2)";2247;
1212000;"Powiat olkuski";78244;
1212011;"Bukowno (1)";7847;
1212032;"Bolesław (2)";4082;
1212042;"Klucze (2)";11377;
1212053;"Olkusz (3)";41650;
1212054;"Olkusz - miasto (4)";32065;
1212055;"Olkusz - obszar wiejski (5)";9585;
1212062;"Trzyciąż (2)";1109;
1212073;"Wolbrom (3)";12179;
1212074;"Wolbrom - miasto (4)";6585;
1212075;"Wolbrom - obszar wiejski (5)";5594;
1213000;"Powiat oświęcimski";124442;
1213011;"Oświęcim (1)";33238;
1213023;"Brzeszcze (3)";17527;
1213024;"Brzeszcze - miasto (4)";9263;
1213025;"Brzeszcze - obszar wiejski (5)";8264;
1213033;"Chełmek (3)";9114;
1213034;"Chełmek - miasto (4)";6644;
1213035;"Chełmek - obszar wiejski (5)";2470;
1213043;"Kęty (3)";28304;
1213044;"Kęty - miasto (4)";17134;
1213045;"Kęty - obszar wiejski (5)";11170;
1213052;"Osiek (2)";6104;
1213062;"Oświęcim (2)";13254;
1213072;"Polanka Wielka (2)";3602;
1213082;"Przeciszów (2)";5669;
1213093;"Zator (3)";7630;
1213094;"Zator - miasto (4)";3568;
1213095;"Zator - obszar wiejski (5)";4062;
1214000;"Powiat proszowicki";7931;
1214012;"Koniusza (2)";5622;
1214023;"Koszyce (3)";18;
1214024;"Koszyce - miasto (4)";3;
1214025;"Koszyce - obszar wiejski (5)";15;
1214033;"Nowe Brzesko (3)";408;
1214034;"Nowe Brzesko - miasto (4)";342;
1214035;"Nowe Brzesko - obszar wiejski (5)";66;
1214053;"Proszowice (3)";1873;
1214054;"Proszowice - miasto (4)";1425;
1214055;"Proszowice - obszar wiejski (5)";448;
1214062;"Radziemice (2)";10;
1215000;"Powiat suski";11302;
1215011;"Jordanów (1)";81;
1215021;"Sucha Beskidzka (1)";7311;
1215032;"Budzów (2)";4;
1215042;"Bystra-Sidzina (2)";4;
1215052;"Jordanów (2)";1599;
1215063;"Maków Podhalański (3)";1360;
1215064;"Maków Podhalański - miasto (4)";1360;
1215072;"Stryszawa (2)";11;
1215092;"Zembrzyce (2)";932;
1216000;"Powiat tarnowski";142906;
1216013;"Ciężkowice (3)";5937;
1216014;"Ciężkowice - miasto (4)";1544;
1216015;"Ciężkowice - obszar wiejski (5)";4393;
1216022;"Gromnik (2)";4696;
1216032;"Lisia Góra (2)";11234;
1216042;"Pleśna (2)";8476;
1216053;"Radłów (3)";6685;
1216054;"Radłów - miasto (4)";2150;
1216055;"Radłów - obszar wiejski (5)";4535;
1216063;"Ryglice (3)";6858;
1216064;"Ryglice - miasto (4)";1650;
1216065;"Ryglice - obszar wiejski (5)";5208;
1216072;"Rzepiennik Strzyżewski (2)";3947;
1216082;"Skrzyszów (2)";10657;
1216092;"Tarnów (2)";22873;
1216103;"Tuchów (3)";10066;
1216104;"Tuchów - miasto (4)";3925;
1216105;"Tuchów - obszar wiejski (5)";6141;
1216112;"Wierzchosławice (2)";9228;
1216122;"Wietrzychowice (2)";2433;
1216133;"Wojnicz (3)";11331;
1216134;"Wojnicz - miasto (4)";3289;
1216135;"Wojnicz - obszar wiejski (5)";8042;
1216143;"Zakliczyn (3)";7471;
1216144;"Zakliczyn - miasto (4)";1498;
1216145;"Zakliczyn - obszar wiejski (5)";5973;
1216153;"Żabno (3)";15070;
1216154;"Żabno - miasto (4)";3872;
1216155;"Żabno - obszar wiejski (5)";11198;
1216162;"Szerzyny (2)";5944;
1217000;"Powiat tatrzański";5291;
1217011;"Zakopane (1)";5088;
1217032;"Bukowina Tatrzańska (2)";7;
1217042;"Kościelisko (2)";7;
1217052;"Poronin (2)";189;
1218000;"Powiat wadowicki";105740;
1218013;"Andrychów (3)";32682;
1218014;"Andrychów - miasto (4)";18582;
1218015;"Andrychów - obszar wiejski (5)";14100;
1218022;"Brzeźnica (2)";7232;
1218033;"Kalwaria Zebrzydowska (3)";11273;
1218034;"Kalwaria Zebrzydowska - miasto (4)";2531;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";8742;
1218042;"Lanckorona (2)";2716;
1218052;"Mucharz (2)";137;
1218062;"Spytkowice (2)";7671;
1218072;"Stryszów (2)";2796;
1218082;"Tomice (2)";5074;
1218093;"Wadowice (3)";27239;
1218094;"Wadowice - miasto (4)";14534;
1218095;"Wadowice - obszar wiejski (5)";12705;
1218102;"Wieprz (2)";8920;
1219000;"Powiat wielicki";115535;
1219012;"Biskupice (2)";8920;
1219022;"Gdów (2)";13979;
1219032;"Kłaj (2)";10701;
1219043;"Niepołomice (3)";28170;
1219044;"Niepołomice - miasto (4)";13530;
1219045;"Niepołomice - obszar wiejski (5)";14640;
1219053;"Wieliczka (3)";53765;
1219054;"Wieliczka - miasto (4)";21587;
1219055;"Wieliczka - obszar wiejski (5)";32178;
1261000;"Powiat m.Kraków";545237;
1261011;"Kraków (1)";545237;
1262000;"Powiat m.Nowy Sącz";75897;
1262011;"Nowy Sącz (1)";75897;
1263000;"Powiat m.Tarnów";103315;
1263011;"Tarnów (1)";103315;
1400000;"MAZOWIECKIE";2985447;
1401000;"Powiat białobrzeski";8755;
1401013;"Białobrzegi (3)";6303;
1401014;"Białobrzegi - miasto (4)";6043;
1401015;"Białobrzegi - obszar wiejski (5)";260;
1401022;"Promna (2)";2369;
1401042;"Stara Błotnica (2)";83;
1402000;"Powiat ciechanowski";36667;
1402011;"Ciechanów (1)";34873;
1402022;"Ciechanów (2)";888;
1402033;"Glinojeck (3)";8;
1402035;"Glinojeck - obszar wiejski (5)";8;
1402072;"Opinogóra Górna (2)";477;
1402082;"Regimin (2)";421;
1403000;"Powiat garwoliński";43720;
1403011;"Garwolin (1)";16684;
1403021;"Łaskarzew (1)";2624;
1403032;"Borowie (2)";1153;
1403042;"Garwolin (2)";5633;
1403052;"Górzno (2)";1943;
1403062;"Łaskarzew (2)";1182;
1403072;"Maciejowice (2)";895;
1403082;"Miastków Kościelny (2)";1097;
1403092;"Parysów (2)";870;
1403103;"Pilawa (3)";5851;
1403104;"Pilawa - miasto (4)";2795;
1403105;"Pilawa - obszar wiejski (5)";3056;
1403112;"Sobolew (2)";2651;
1403132;"Wilga (2)";96;
1403143;"Żelechów (3)";3041;
1403144;"Żelechów - miasto (4)";2788;
1403145;"Żelechów - obszar wiejski (5)";253;
1404000;"Powiat gostyniński";2764;
1404011;"Gostynin (1)";2686;
1404022;"Gostynin (2)";57;
1404032;"Pacyna (2)";21;
1405000;"Powiat grodziski";72526;
1405011;"Milanówek (1)";13025;
1405021;"Podkowa Leśna (1)";3241;
1405032;"Baranów (2)";864;
1405043;"Grodzisk Mazowiecki (3)";44386;
1405044;"Grodzisk Mazowiecki - miasto (4)";30908;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";13478;
1405052;"Jaktorów (2)";6456;
1405062;"Żabia Wola (2)";4554;
1406000;"Powiat grójecki";52033;
1406012;"Belsk Duży (2)";4575;
1406022;"Błędów (2)";3487;
1406032;"Chynów (2)";4141;
1406042;"Goszczyn (2)";1515;
1406053;"Grójec (3)";21927;
1406054;"Grójec - miasto (4)";15320;
1406055;"Grójec - obszar wiejski (5)";6607;
1406062;"Jasieniec (2)";2536;
1406073;"Mogielnica (3)";4852;
1406074;"Mogielnica - miasto (4)";1495;
1406075;"Mogielnica - obszar wiejski (5)";3357;
1406083;"Nowe Miasto nad Pilicą (3)";233;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";233;
1406092;"Pniewy (2)";2461;
1406113;"Warka (3)";6306;
1406114;"Warka - miasto (4)";5469;
1406115;"Warka - obszar wiejski (5)";837;
1407000;"Powiat kozienicki";20819;
1407012;"Garbatka-Letnisko (2)";1542;
1407042;"Grabów nad Pilicą (2)";2;
1407053;"Kozienice (3)";19222;
1407054;"Kozienice - miasto (4)";15302;
1407055;"Kozienice - obszar wiejski (5)";3920;
1407072;"Sieciechów (2)";53;
1408000;"Powiat legionowski";94345;
1408011;"Legionowo (1)";42034;
1408022;"Jabłonna (2)";14128;
1408032;"Nieporęt (2)";13888;
1408043;"Serock (3)";11385;
1408044;"Serock - miasto (4)";3474;
1408045;"Serock - obszar wiejski (5)";7911;
1408052;"Wieliszew (2)";12910;
1409000;"Powiat lipski";5;
1409033;"Lipsko (3)";5;
