"Kod";"Nazwa";"ogółem;ogółem;2020;[osoba]";"w wieku produkcyjnym;ogółem;2020;[osoba]";
0209052;"Legnickie Pole (2)";5170;3118;
0209062;"Miłkowice (2)";6822;4164;
0209073;"Prochowice (3)";7345;4414;
0209074;"Prochowice - miasto (4)";3556;2101;
0209075;"Prochowice - obszar wiejski (5)";3789;2313;
0209082;"Ruja (2)";2558;1498;
0210000;"Powiat lubański";53852;32376;
0210011;"Lubań (1)";20723;12046;
0210021;"Świeradów-Zdrój (1)";3995;2333;
0210033;"Leśna (3)";9948;6026;
0210034;"Leśna - miasto (4)";4391;2574;
0210035;"Leśna - obszar wiejski (5)";5557;3452;
0210042;"Lubań (2)";6569;4169;
0210053;"Olszyna (3)";6472;3933;
0210054;"Olszyna - miasto (4)";4325;2603;
0210055;"Olszyna - obszar wiejski (5)";2147;1330;
0210062;"Platerówka (2)";1629;1023;
0210072;"Siekierczyn (2)";4516;2846;
0211000;"Powiat lubiński";105896;61295;
0211011;"Lubin (1)";71710;40127;
0211022;"Lubin (2)";16521;10350;
0211032;"Rudna (2)";7793;4823;
0211043;"Ścinawa (3)";9872;5995;
0211044;"Ścinawa - miasto (4)";5526;3269;
0211045;"Ścinawa - obszar wiejski (5)";4346;2726;
0212000;"Powiat lwówecki";45599;27535;
0212013;"Gryfów Śląski (3)";9561;5851;
0212014;"Gryfów Śląski - miasto (4)";6509;3915;
0212015;"Gryfów Śląski - obszar wiejski (5)";3052;1936;
0212023;"Lubomierz (3)";6177;3768;
0212024;"Lubomierz - miasto (4)";1987;1173;
0212025;"Lubomierz - obszar wiejski (5)";4190;2595;
0212033;"Lwówek Śląski (3)";17186;10165;
0212034;"Lwówek Śląski - miasto (4)";8753;4988;
0212035;"Lwówek Śląski - obszar wiejski (5)";8433;5177;
0212043;"Mirsk (3)";8461;5146;
0212044;"Mirsk - miasto (4)";3786;2251;
0212045;"Mirsk - obszar wiejski (5)";4675;2895;
0212053;"Wleń (3)";4214;2605;
0212054;"Wleń - miasto (4)";1725;1031;
0212055;"Wleń - obszar wiejski (5)";2489;1574;
0213000;"Powiat milicki";36800;21556;
0213012;"Cieszków (2)";4657;2781;
0213022;"Krośnice (2)";8093;4900;
0213033;"Milicz (3)";24050;13875;
0213034;"Milicz - miasto (4)";11199;6075;
0213035;"Milicz - obszar wiejski (5)";12851;7800;
0214000;"Powiat oleśnicki";107268;64568;
0214011;"Oleśnica (1)";36979;21444;
0214023;"Bierutów (3)";9873;6060;
0214024;"Bierutów - miasto (4)";4809;2871;
0214025;"Bierutów - obszar wiejski (5)";5064;3189;
0214032;"Dobroszyce (2)";6886;4142;
0214042;"Dziadowa Kłoda (2)";4598;2807;
0214053;"Międzybórz (3)";5100;3106;
0214054;"Międzybórz - miasto (4)";2341;1378;
0214055;"Międzybórz - obszar wiejski (5)";2759;1728;
0214062;"Oleśnica (2)";14124;9051;
0214073;"Syców (3)";16819;10062;
0214074;"Syców - miasto (4)";10340;5982;
0214075;"Syców - obszar wiejski (5)";6479;4080;
0214083;"Twardogóra (3)";12889;7896;
0214084;"Twardogóra - miasto (4)";6597;3971;
0214085;"Twardogóra - obszar wiejski (5)";6292;3925;
0215000;"Powiat oławski";76733;45478;
0215011;"Oława (1)";33087;18910;
0215022;"Domaniów (2)";5132;3214;
0215033;"Jelcz-Laskowice (3)";23296;13821;
0215034;"Jelcz-Laskowice - miasto (4)";15648;9134;
0215035;"Jelcz-Laskowice - obszar wiejski (5)";7648;4687;
0215042;"Oława (2)";15218;9533;
0216000;"Powiat polkowicki";62997;38705;
0216013;"Chocianów (3)";12721;7824;
0216014;"Chocianów - miasto (4)";7773;4774;
0216015;"Chocianów - obszar wiejski (5)";4948;3050;
0216022;"Gaworzyce (2)";3959;2456;
0216032;"Grębocice (2)";5427;3354;
0216043;"Polkowice (3)";27704;16919;
0216044;"Polkowice - miasto (4)";22435;13567;
0216045;"Polkowice - obszar wiejski (5)";5269;3352;
0216053;"Przemków (3)";8282;5174;
0216054;"Przemków - miasto (4)";6079;3800;
0216055;"Przemków - obszar wiejski (5)";2203;1374;
0216062;"Radwanice (2)";4904;2978;
0217000;"Powiat strzeliński";43221;26040;
0217012;"Borów (2)";5238;3275;
0217022;"Kondratowice (2)";4199;2591;
0217032;"Przeworno (2)";4717;2842;
0217043;"Strzelin (3)";22026;12967;
0217044;"Strzelin - miasto (4)";12383;7068;
0217045;"Strzelin - obszar wiejski (5)";9643;5899;
0217053;"Wiązów (3)";7041;4365;
0217054;"Wiązów - miasto (4)";2198;1382;
0217055;"Wiązów - obszar wiejski (5)";4843;2983;
0218000;"Powiat średzki";55508;34215;
0218012;"Kostomłoty (2)";7109;4493;
0218022;"Malczyce (2)";5881;3662;
0218032;"Miękinia (2)";17615;10911;
0218043;"Środa Śląska (3)";19889;12052;
0218044;"Środa Śląska - miasto (4)";9562;5690;
0218045;"Środa Śląska - obszar wiejski (5)";10327;6362;
0218052;"Udanin (2)";5014;3097;
0219000;"Powiat świdnicki";156015;92352;
0219011;"Świdnica (1)";56222;32238;
0219021;"Świebodzice (1)";22642;13207;
0219032;"Dobromierz (2)";5173;3257;
0219043;"Jaworzyna Śląska (3)";10222;6279;
0219044;"Jaworzyna Śląska - miasto (4)";5118;3169;
0219045;"Jaworzyna Śląska - obszar wiejski (5)";5104;3110;
0219052;"Marcinowice (2)";6522;4044;
0219063;"Strzegom (3)";25499;15186;
0219064;"Strzegom - miasto (4)";15873;9293;
0219065;"Strzegom - obszar wiejski (5)";9626;5893;
0219072;"Świdnica (2)";17400;10679;
0219083;"Żarów (3)";12335;7462;
0219084;"Żarów - miasto (4)";6648;3928;
0219085;"Żarów - obszar wiejski (5)";5687;3534;
0220000;"Powiat trzebnicki";85226;51642;
0220013;"Oborniki Śląskie (3)";20287;12087;
0220014;"Oborniki Śląskie - miasto (4)";9075;5202;
0220015;"Oborniki Śląskie - obszar wiejski (5)";11212;6885;
0220023;"Prusice (3)";9352;5849;
0220024;"Prusice - miasto (4)";2226;1413;
0220025;"Prusice - obszar wiejski (5)";7126;4436;
0220033;"Trzebnica (3)";24442;14523;
0220034;"Trzebnica - miasto (4)";13314;7562;
0220035;"Trzebnica - obszar wiejski (5)";11128;6961;
0220042;"Wisznia Mała (2)";10624;6583;
0220052;"Zawonia (2)";5913;3678;
0220063;"Żmigród (3)";14608;8922;
0220064;"Żmigród - miasto (4)";6444;3899;
0220065;"Żmigród - obszar wiejski (5)";8164;5023;
0221000;"Powiat wałbrzyski";55107;33069;
0221011;"Boguszów-Gorce (1)";15154;9088;
0221021;"Jedlina-Zdrój (1)";4789;2811;
0221031;"Szczawno-Zdrój (1)";5534;3202;
0221042;"Czarny Bór (2)";4882;2970;
0221053;"Głuszyca (3)";8505;5195;
0221054;"Głuszyca - miasto (4)";6246;3782;
0221055;"Głuszyca - obszar wiejski (5)";2259;1413;
0221063;"Mieroszów (3)";6586;3952;
0221064;"Mieroszów - miasto (4)";3964;2415;
0221065;"Mieroszów - obszar wiejski (5)";2622;1537;
0221072;"Stare Bogaczowice (2)";4265;2597;
0221082;"Walim (2)";5392;3254;
0222000;"Powiat wołowski";46623;28137;
0222013;"Brzeg Dolny (3)";16093;9545;
0222014;"Brzeg Dolny - miasto (4)";12480;7284;
0222015;"Brzeg Dolny - obszar wiejski (5)";3613;2261;
0222022;"Wińsko (2)";8212;5060;
0222033;"Wołów (3)";22318;13532;
0222034;"Wołów - miasto (4)";12298;7323;
0222035;"Wołów - obszar wiejski (5)";10020;6209;
0223000;"Powiat wrocławski";156322;95224;
0223012;"Czernica (2)";17638;10742;
0223022;"Długołęka (2)";35144;21539;
0223032;"Jordanów Śląski (2)";3197;2001;
0223043;"Kąty Wrocławskie (3)";26032;15926;
0223044;"Kąty Wrocławskie - miasto (4)";7028;4110;
0223045;"Kąty Wrocławskie - obszar wiejski (5)";19004;11816;
0223052;"Kobierzyce (2)";22154;13598;
0223062;"Mietków (2)";3737;2270;
0223073;"Sobótka (3)";12872;7593;
0223074;"Sobótka - miasto (4)";6954;3942;
0223075;"Sobótka - obszar wiejski (5)";5918;3651;
0223083;"Siechnice (3)";24142;14488;
0223084;"Siechnice - miasto (4)";8851;5324;
0223085;"Siechnice - obszar wiejski (5)";15291;9164;
0223092;"Żórawina (2)";11406;7067;
0224000;"Powiat ząbkowicki";64080;38651;
0224013;"Bardo (3)";5210;3209;
0224014;"Bardo - miasto (4)";2497;1508;
0224015;"Bardo - obszar wiejski (5)";2713;1701;
0224022;"Ciepłowody (2)";2924;1889;
0224032;"Kamieniec Ząbkowicki (2)";8003;4901;
0224042;"Stoszowice (2)";5360;3306;
0224053;"Ząbkowice Śląskie (3)";21405;12654;
0224054;"Ząbkowice Śląskie - miasto (4)";14728;8433;
0224055;"Ząbkowice Śląskie - obszar wiejski (5)";6677;4221;
0224063;"Ziębice (3)";16768;10007;
0224064;"Ziębice - miasto (4)";8531;5025;
0224065;"Ziębice - obszar wiejski (5)";8237;4982;
0224073;"Złoty Stok (3)";4410;2685;
0224074;"Złoty Stok - miasto (4)";2696;1595;
0224075;"Złoty Stok - obszar wiejski (5)";1714;1090;
0225000;"Powiat zgorzelecki";88386;53443;
0225011;"Zawidów (1)";4132;2554;
0225021;"Zgorzelec (1)";29810;17139;
0225033;"Bogatynia (3)";22633;14000;
0225034;"Bogatynia - miasto (4)";17037;10496;
0225035;"Bogatynia - obszar wiejski (5)";5596;3504;
0225043;"Pieńsk (3)";9025;5620;
0225044;"Pieńsk - miasto (4)";5767;3522;
0225045;"Pieńsk - obszar wiejski (5)";3258;2098;
0225052;"Sulików (2)";6030;3758;
0225063;"Węgliniec (3)";8205;5006;
0225064;"Węgliniec - miasto (4)";2802;1673;
0225065;"Węgliniec - obszar wiejski (5)";5403;3333;
0225072;"Zgorzelec (2)";8551;5366;
0226000;"Powiat złotoryjski";43038;26112;
0226011;"Wojcieszów (1)";3572;2134;
0226021;"Złotoryja (1)";15273;8954;
0226032;"Pielgrzymka (2)";4509;2828;
0226043;"Świerzawa (3)";7484;4587;
0226044;"Świerzawa - miasto (4)";2234;1349;
0226045;"Świerzawa - obszar wiejski (5)";5250;3238;
0226052;"Zagrodno (2)";5206;3277;
0226062;"Złotoryja (2)";6994;4332;
0261000;"Powiat m.Jelenia Góra";78335;43799;
0261011;"Jelenia Góra (1)";78335;43799;
0262000;"Powiat m.Legnica";98436;57335;
0262011;"Legnica (1)";98436;57335;
0264000;"Powiat m.Wrocław";641928;372138;
0264011;"Wrocław (1)";641928;372138;
0265000;"Powiat m.Wałbrzych od 2013";109971;63204;
0265011;"Wałbrzych od 2013 (1)";109971;63204;
0400000;"KUJAWSKO-POMORSKIE";2061942;1234602;
0401000;"Powiat aleksandrowski";54891;32836;
0401011;"Aleksandrów Kujawski (1)";12058;7117;
0401021;"Ciechocinek (1)";10534;5594;
0401031;"Nieszawa (1)";1834;1129;
0401042;"Aleksandrów Kujawski (2)";12015;7595;
0401052;"Bądkowo (2)";4187;2555;
0401062;"Koneck (2)";3103;1898;
0401072;"Raciążek (2)";3116;1936;
0401082;"Waganiec (2)";4564;2870;
0401092;"Zakrzewo (2)";3480;2142;
0402000;"Powiat brodnicki";79023;48067;
0402011;"Brodnica (1)";28701;16899;
0402022;"Bobrowo (2)";6337;3919;
0402032;"Brodnica (2)";8662;5544;
0402042;"Brzozie (2)";3828;2326;
0402053;"Górzno (3)";3931;2423;
0402054;"Górzno - miasto (4)";1403;867;
0402055;"Górzno - obszar wiejski (5)";2528;1556;
0402062;"Bartniczka (2)";4708;2897;
0402073;"Jabłonowo Pomorskie (3)";8845;5444;
0402074;"Jabłonowo Pomorskie - miasto (4)";3730;2321;
0402075;"Jabłonowo Pomorskie - obszar wiejski (5)";5115;3123;
0402082;"Osiek (2)";4022;2492;
0402092;"Świedziebnia (2)";5116;3165;
0402102;"Zbiczno (2)";4873;2958;
0403000;"Powiat bydgoski";120432;74992;
0403012;"Białe Błota (2)";23206;14743;
0403022;"Dąbrowa Chełmińska (2)";8415;5261;
0403032;"Dobrcz (2)";11958;7390;
0403043;"Koronowo (3)";24109;14708;
0403044;"Koronowo - miasto (4)";11070;6752;
0403045;"Koronowo - obszar wiejski (5)";13039;7956;
0403052;"Nowa Wieś Wielka (2)";10309;6566;
0403062;"Osielsko (2)";15347;9560;
0403072;"Sicienko (2)";10311;6544;
0403083;"Solec Kujawski (3)";16777;10220;
0403084;"Solec Kujawski - miasto (4)";15614;9503;
0403085;"Solec Kujawski - obszar wiejski (5)";1163;717;
0404000;"Powiat chełmiński";51657;31592;
0404011;"Chełmno (1)";19205;11417;
0404022;"Chełmno (2)";6157;3909;
0404032;"Kijewo Królewskie (2)";4521;2808;
0404042;"Lisewo (2)";5181;3215;
0404052;"Papowo Biskupie (2)";4300;2666;
0404062;"Stolno (2)";5304;3326;
0404072;"Unisław (2)";6989;4251;
0405000;"Powiat golubsko-dobrzyński";44855;27502;
0405011;"Golub-Dobrzyń (1)";12412;7489;
0405022;"Ciechocin (2)";4003;2495;
0405032;"Golub-Dobrzyń (2)";8841;5515;
0405043;"Kowalewo Pomorskie (3)";11416;7029;
0405044;"Kowalewo Pomorskie - miasto (4)";4102;2439;
0405045;"Kowalewo Pomorskie - obszar wiejski (5)";7314;4590;
0405052;"Radomin (2)";3801;2316;
0405062;"Zbójno (2)";4382;2658;
0406000;"Powiat grudziądzki";40305;24914;
0406012;"Grudziądz (2)";13136;8184;
0406022;"Gruta (2)";6437;3937;
0406033;"Łasin (3)";7778;4748;
0406034;"Łasin - miasto (4)";3161;1845;
0406035;"Łasin - obszar wiejski (5)";4617;2903;
0406043;"Radzyń Chełmiński (3)";4608;2888;
0406044;"Radzyń Chełmiński - miasto (4)";1784;1090;
0406045;"Radzyń Chełmiński - obszar wiejski (5)";2824;1798;
0406052;"Rogóźno (2)";4195;2526;
0406062;"Świecie nad Osą (2)";4151;2631;
0407000;"Powiat inowrocławski";158496;96028;
0407011;"Inowrocław (1)";71674;42345;
0407022;"Dąbrowa Biskupia (2)";5094;3141;
0407033;"Gniewkowo (3)";14315;8773;
0407034;"Gniewkowo - miasto (4)";7060;4204;
0407035;"Gniewkowo - obszar wiejski (5)";7255;4569;
0407042;"Inowrocław (2)";11845;7490;
0407053;"Janikowo (3)";12961;8097;
0407054;"Janikowo - miasto (4)";8638;5380;
0407055;"Janikowo - obszar wiejski (5)";4323;2717;
0407063;"Kruszwica (3)";19012;11558;
0407064;"Kruszwica - miasto (4)";8709;5218;
0407065;"Kruszwica - obszar wiejski (5)";10303;6340;
0407073;"Pakość (3)";9697;5903;
0407074;"Pakość - miasto (4)";5624;3382;
0407075;"Pakość - obszar wiejski (5)";4073;2521;
0407082;"Rojewo (2)";4723;2935;
0407092;"Złotniki Kujawskie (2)";9175;5786;
0408000;"Powiat lipnowski";65450;40515;
0408011;"Lipno (1)";14283;8649;
0408022;"Bobrowniki (2)";3093;2010;
0408032;"Chrostkowo (2)";2851;1740;
0408043;"Dobrzyń nad Wisłą (3)";7505;4654;
0408044;"Dobrzyń nad Wisłą - miasto (4)";2072;1288;
0408045;"Dobrzyń nad Wisłą - obszar wiejski (5)";5433;3366;
0408052;"Kikół (2)";7050;4402;
0408062;"Lipno (2)";11830;7448;
0408073;"Skępe (3)";7470;4568;
0408074;"Skępe - miasto (4)";3542;2135;
0408075;"Skępe - obszar wiejski (5)";3928;2433;
0408082;"Tłuchowo (2)";4656;2881;
0408092;"Wielgie (2)";6712;4163;
0409000;"Powiat mogileński";45482;27593;
0409012;"Dąbrowa (2)";4607;2856;
0409022;"Jeziora Wielkie (2)";4833;2942;
0409033;"Mogilno (3)";24518;14817;
0409034;"Mogilno - miasto (4)";11652;6894;
0409035;"Mogilno - obszar wiejski (5)";12866;7923;
0409043;"Strzelno (3)";11524;6978;
0409044;"Strzelno - miasto (4)";5589;3366;
0409045;"Strzelno - obszar wiejski (5)";5935;3612;
0410000;"Powiat nakielski";86119;52456;
0410013;"Kcynia (3)";13204;8033;
0410014;"Kcynia - miasto (4)";4515;2736;
0410015;"Kcynia - obszar wiejski (5)";8689;5297;
0410023;"Mrocza (3)";9193;5742;
0410024;"Mrocza - miasto (4)";4298;2690;
0410025;"Mrocza - obszar wiejski (5)";4895;3052;
0410033;"Nakło nad Notecią (3)";31552;18983;
0410034;"Nakło nad Notecią - miasto (4)";18026;10519;
0410035;"Nakło nad Notecią - obszar wiejski (5)";13526;8464;
0410042;"Sadki (2)";7253;4486;
0410053;"Szubin (3)";24917;15212;
0410054;"Szubin - miasto (4)";9578;5651;
0410055;"Szubin - obszar wiejski (5)";15339;9561;
0411000;"Powiat radziejowski";40025;24438;
0411011;"Radziejów (1)";5499;3288;
0411022;"Bytoń (2)";3411;2049;
0411032;"Dobre (2)";5296;3274;
0411042;"Osięciny (2)";7529;4599;
0411053;"Piotrków Kujawski (3)";9192;5656;
0411054;"Piotrków Kujawski - miasto (4)";4392;2727;
0411055;"Piotrków Kujawski - obszar wiejski (5)";4800;2929;
0411062;"Radziejów (2)";4360;2642;
0411072;"Topólka (2)";4738;2930;
0412000;"Powiat rypiński";43390;26084;
0412011;"Rypin (1)";15999;9445;
0412022;"Brzuze (2)";5284;3147;
0412032;"Rogowo (2)";4770;2838;
0412042;"Rypin (2)";7533;4633;
0412052;"Skrwilno (2)";5851;3608;
0412062;"Wąpielsk (2)";3953;2413;
0413000;"Powiat sępoleński";40826;24695;
0413013;"Kamień Krajeński (3)";6834;4182;
0413014;"Kamień Krajeński - miasto (4)";2335;1432;
0413015;"Kamień Krajeński - obszar wiejski (5)";4499;2750;
0413023;"Sępólno Krajeńskie (3)";15761;9493;
0413024;"Sępólno Krajeńskie - miasto (4)";9004;5400;
0413025;"Sępólno Krajeńskie - obszar wiejski (5)";6757;4093;
0413032;"Sośno (2)";4922;3031;
0413043;"Więcbork (3)";13309;7989;
0413044;"Więcbork - miasto (4)";5900;3516;
0413045;"Więcbork - obszar wiejski (5)";7409;4473;
0414000;"Powiat świecki";98703;59903;
0414012;"Bukowiec (2)";5130;3102;
0414022;"Dragacz (2)";7190;4369;
0414032;"Drzycim (2)";4889;3041;
0414042;"Jeżewo (2)";8055;4916;
0414052;"Lniano (2)";4312;2635;
0414063;"Nowe (3)";10103;6131;
0414064;"Nowe - miasto (4)";5724;3419;
0414065;"Nowe - obszar wiejski (5)";4379;2712;
0414072;"Osie (2)";5511;3417;
0414082;"Pruszcz (2)";9558;5845;
0414093;"Świecie (3)";33851;20135;
0414094;"Świecie - miasto (4)";25486;14967;
0414095;"Świecie - obszar wiejski (5)";8365;5168;
0414102;"Świekatowo (2)";3640;2309;
0414112;"Warlubie (2)";6464;4003;
0415000;"Powiat toruński";109565;68142;
0415011;"Chełmża (1)";14362;8808;
0415022;"Chełmża (2)";9811;6008;
0415032;"Czernikowo (2)";9026;5615;
0415042;"Lubicz (2)";20389;12851;
0415052;"Łubianka (2)";7438;4671;
0415062;"Łysomice (2)";10287;6419;
0415072;"Obrowo (2)";18299;11417;
0415082;"Wielka Nieszawka (2)";5278;3210;
0415092;"Zławieś Wielka (2)";14675;9143;
0416000;"Powiat tucholski";48322;29035;
0416012;"Cekcyn (2)";6901;4172;
0416022;"Gostycyn (2)";5199;3179;
0416032;"Kęsowo (2)";4468;2732;
0416042;"Lubiewo (2)";6008;3611;
0416052;"Śliwice (2)";5595;3487;
0416063;"Tuchola (3)";20151;11854;
0416064;"Tuchola - miasto (4)";13534;7791;
0416065;"Tuchola - obszar wiejski (5)";6617;4063;
0417000;"Powiat wąbrzeski";34040;20692;
0417011;"Wąbrzeźno (1)";13400;7976;
0417022;"Dębowa Łąka (2)";3154;1983;
0417032;"Książki (2)";4141;2510;
0417042;"Płużnica (2)";4771;2923;
0417052;"Ryńsk (2)";8574;5300;
0418000;"Powiat włocławski";85646;52978;
0418011;"Kowal (1)";3468;2207;
0418022;"Baruchowo (2)";3407;2082;
0418032;"Boniewo (2)";3346;2044;
0418043;"Brześć Kujawski (3)";11352;7013;
0418044;"Brześć Kujawski - miasto (4)";4563;2811;
0418045;"Brześć Kujawski - obszar wiejski (5)";6789;4202;
0418052;"Choceń (2)";7910;4902;
0418063;"Chodecz (3)";5972;3649;
0418064;"Chodecz - miasto (4)";1826;1098;
0418065;"Chodecz - obszar wiejski (5)";4146;2551;
0418072;"Fabianki (2)";10178;6447;
0418083;"Izbica Kujawska (3)";7650;4697;
0418084;"Izbica Kujawska - miasto (4)";2594;1621;
0418085;"Izbica Kujawska - obszar wiejski (5)";5056;3076;
0418092;"Kowal (2)";3897;2444;
0418102;"Lubanie (2)";4550;2849;
0418113;"Lubień Kujawski (3)";7233;4399;
0418114;"Lubień Kujawski - miasto (4)";1377;817;
0418115;"Lubień Kujawski - obszar wiejski (5)";5856;3582;
0418123;"Lubraniec (3)";9318;5597;
0418124;"Lubraniec - miasto (4)";2927;1724;
0418125;"Lubraniec - obszar wiejski (5)";6391;3873;
0418132;"Włocławek (2)";7365;4648;
0419000;"Powiat żniński";69886;41950;
0419013;"Barcin (3)";14720;8900;
0419014;"Barcin - miasto (4)";7313;4203;
0419015;"Barcin - obszar wiejski (5)";7407;4697;
0419022;"Gąsawa (2)";5215;3188;
0419033;"Janowiec Wielkopolski (3)";8883;5158;
0419034;"Janowiec Wielkopolski - miasto (4)";3897;2183;
0419035;"Janowiec Wielkopolski - obszar wiejski (5)";4986;2975;
0419043;"Łabiszyn (3)";10343;6349;
0419044;"Łabiszyn - miasto (4)";4501;2732;
0419045;"Łabiszyn - obszar wiejski (5)";5842;3617;
0419052;"Rogowo (2)";6802;4083;
0419063;"Żnin (3)";23923;14272;
0419064;"Żnin - miasto (4)";13623;8012;
0419065;"Żnin - obszar wiejski (5)";10300;6260;
0461000;"Powiat m.Bydgoszcz";344091;197958;
0461011;"Bydgoszcz (1)";344091;197958;
0462000;"Powiat m.Grudziądz";93564;53953;
0462011;"Grudziądz (1)";93564;53953;
0463000;"Powiat m.Toruń";198613;115343;
0463011;"Toruń (1)";198613;115343;
0464000;"Powiat m.Włocławek";108561;62936;
0464011;"Włocławek (1)";108561;62936;
0600000;"LUBELSKIE";2095258;1249850;
0601000;"Powiat bialski";109958;66782;
0601011;"Międzyrzec Podlaski (1)";16667;9903;
0601021;"Terespol (1)";5457;3362;
0601032;"Biała Podlaska (2)";14542;9247;
0601042;"Drelów (2)";5271;3212;
0601052;"Janów Podlaski (2)";5257;3063;
0601062;"Kodeń (2)";3432;2060;
0601072;"Konstantynów (2)";4060;2477;
0601082;"Leśna Podlaska (2)";4246;2637;
0601092;"Łomazy (2)";4878;2964;
0601102;"Międzyrzec Podlaski (2)";10426;6486;
0601112;"Piszczac (2)";7141;4379;
0601122;"Rokitno (2)";2933;1728;
0601132;"Rossosz (2)";2192;1363;
0601142;"Sławatycze (2)";2263;1315;
0601152;"Sosnówka (2)";2392;1357;
0601162;"Terespol (2)";6594;3991;
0601172;"Tuczna (2)";2958;1716;
0601182;"Wisznice (2)";4871;2877;
0601192;"Zalesie (2)";4378;2645;
0602000;"Powiat biłgorajski";100333;60840;
0602011;"Biłgoraj (1)";26114;15037;
0602022;"Aleksandrów (2)";3269;2083;
0602032;"Biłgoraj (2)";13381;8372;
0602042;"Biszcza (2)";3717;2272;
0602053;"Frampol (3)";6059;3614;
0602054;"Frampol - miasto (4)";1432;855;
0602055;"Frampol - obszar wiejski (5)";4627;2759;
0602062;"Goraj (2)";4041;2423;
0602073;"Józefów (3)";6706;4241;
0602074;"Józefów - miasto (4)";2473;1569;
0602075;"Józefów - obszar wiejski (5)";4233;2672;
0602082;"Księżpol (2)";6893;4314;
0602092;"Łukowa (2)";4191;2591;
0602102;"Obsza (2)";4214;2626;
0602112;"Potok Górny (2)";5314;3408;
0602123;"Tarnogród (3)";6616;4024;
0602124;"Tarnogród - miasto (4)";3304;2004;
0602125;"Tarnogród - obszar wiejski (5)";3312;2020;
0602132;"Tereszpol (2)";3876;2445;
0602142;"Turobin (2)";5942;3390;
0603000;"Powiat chełmski";77502;47710;
0603011;"Rejowiec Fabryczny (1)";4328;2709;
0603022;"Białopole (2)";2836;1709;
0603032;"Chełm (2)";15099;9469;
0603042;"Dorohusk (2)";6321;3824;
0603052;"Dubienka (2)";2310;1332;
0603062;"Kamień (2)";4162;2628;
0603072;"Leśniowice (2)";3544;2178;
0603082;"Rejowiec Fabryczny (2)";4210;2532;
0603092;"Ruda-Huta (2)";4474;2764;
0603102;"Sawin (2)";5417;3307;
0603113;"Siedliszcze (3)";6768;4131;
0603114;"Siedliszcze - miasto (4)";1406;834;
0603115;"Siedliszcze - obszar wiejski (5)";5362;3297;
0603122;"Wierzbica (2)";5000;3125;
0603132;"Wojsławice (2)";3716;2252;
0603142;"Żmudź (2)";3022;1886;
0603153;"Rejowiec (3)";6295;3864;
0603154;"Rejowiec - miasto (4)";2026;1224;
0603155;"Rejowiec - obszar wiejski (5)";4269;2640;
0604000;"Powiat hrubieszowski";62009;37193;
0604011;"Hrubieszów (1)";17232;10252;
0604022;"Dołhobyczów (2)";5265;3144;
0604032;"Horodło (2)";5045;3033;
0604042;"Hrubieszów (2)";9881;6057;
0604052;"Mircze (2)";6916;4009;
0604062;"Trzeszczany (2)";4071;2437;
0604072;"Uchanie (2)";4478;2661;
0604082;"Werbkowice (2)";9121;5600;
0605000;"Powiat janowski";45142;27461;
0605012;"Batorz (2)";3227;1992;
0605022;"Chrzanów (2)";2887;1620;
0605032;"Dzwola (2)";6161;3728;
0605042;"Godziszów (2)";5749;3431;
0605053;"Janów Lubelski (3)";15643;9492;
0605054;"Janów Lubelski - miasto (4)";11661;6986;
0605055;"Janów Lubelski - obszar wiejski (5)";3982;2506;
0605063;"Modliborzyce (3)";6914;4338;
0605064;"Modliborzyce - miasto (4)";1459;864;
0605065;"Modliborzyce - obszar wiejski (5)";5455;3474;
0605072;"Potok Wielki (2)";4561;2860;
0606000;"Powiat krasnostawski";62552;36645;
0606011;"Krasnystaw (1)";18383;10561;
0606022;"Fajsławice (2)";4549;2733;
0606032;"Gorzków (2)";3379;1871;
0606042;"Izbica (2)";8028;4779;
0606052;"Krasnystaw (2)";8460;5118;
0606062;"Kraśniczyn (2)";3573;2104;
0606072;"Łopiennik Górny (2)";3837;2278;
0606092;"Rudnik (2)";2973;1727;
0606102;"Siennica Różana (2)";4118;2492;
0606112;"Żółkiewka (2)";5252;2982;
0607000;"Powiat kraśnicki";94531;56492;
0607011;"Kraśnik (1)";33917;19757;
0607023;"Annopol (3)";8483;5158;
0607024;"Annopol - miasto (4)";2436;1534;
0607025;"Annopol - obszar wiejski (5)";6047;3624;
0607032;"Dzierzkowice (2)";5236;3172;
0607042;"Gościeradów (2)";7153;4388;
0607052;"Kraśnik (2)";7252;4501;
0607062;"Szastarka (2)";5733;3460;
0607072;"Trzydnik Duży (2)";6390;3808;
0607083;"Urzędów (3)";8453;5158;
0607084;"Urzędów - miasto (4)";1679;1002;
0607085;"Urzędów - obszar wiejski (5)";6774;4156;
0607092;"Wilkołaz (2)";5510;3251;
0607102;"Zakrzówek (2)";6404;3839;
0608000;"Powiat lubartowski";87850;52832;
0608011;"Lubartów (1)";21636;12383;
0608022;"Abramów (2)";4029;2462;
0608032;"Firlej (2)";5840;3558;
0608042;"Jeziorzany (2)";2722;1637;
0608052;"Kamionka (2)";6491;3989;
0608063;"Kock (3)";6311;3881;
0608064;"Kock - miasto (4)";3238;2014;
0608065;"Kock - obszar wiejski (5)";3073;1867;
0608072;"Lubartów (2)";11868;7475;
0608082;"Michów (2)";5751;3441;
0608092;"Niedźwiada (2)";6139;3802;
0608103;"Ostrów Lubelski (3)";5226;3066;
0608104;"Ostrów Lubelski - miasto (4)";2089;1212;
