"Kod";"Nazwa";"ludność korzystająca z  sieci kanalizacyjnej;2020;[osoba]";
0608122;"Serniki (2)";1631;
0608132;"Uścimów (2)";1691;
0609000;"Powiat lubelski";37717;
0609013;"Bełżyce (3)";6277;
0609014;"Bełżyce - miasto (4)";5488;
0609015;"Bełżyce - obszar wiejski (5)";789;
0609033;"Bychawa (3)";3601;
0609034;"Bychawa - miasto (4)";3601;
0609042;"Garbów (2)";1592;
0609052;"Głusk (2)";4124;
0609072;"Jastków (2)";4508;
0609082;"Konopnica (2)";2471;
0609092;"Krzczonów (2)";541;
0609102;"Niedrzwica Duża (2)";959;
0609112;"Niemce (2)";6303;
0609122;"Strzyżewice (2)";1849;
0609142;"Wólka (2)";5472;
0609152;"Wysokie (2)";20;
0610000;"Powiat łęczyński";31735;
0610012;"Cyców (2)";1734;
0610022;"Ludwin (2)";1870;
0610033;"Łęczna (3)";19203;
0610034;"Łęczna - miasto (4)";18001;
0610035;"Łęczna - obszar wiejski (5)";1202;
0610042;"Milejów (2)";3369;
0610052;"Puchaczów (2)";4704;
0610062;"Spiczyn (2)";855;
0611000;"Powiat łukowski";44431;
0611011;"Łuków (1)";25389;
0611021;"Stoczek Łukowski (1)";2158;
0611032;"Adamów (2)";1619;
0611042;"Krzywda (2)";3139;
0611052;"Łuków (2)";3361;
0611062;"Serokomla (2)";1068;
0611072;"Stanin (2)";919;
0611082;"Stoczek Łukowski (2)";2537;
0611092;"Trzebieszów (2)";1173;
0611102;"Wojcieszków (2)";1494;
0611112;"Wola Mysłowska (2)";1574;
0612000;"Powiat opolski";19759;
0612012;"Chodel (2)";1169;
0612023;"Józefów nad Wisłą (3)";730;
0612024;"Józefów nad Wisłą - miasto (4)";535;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";195;
0612032;"Karczmiska (2)";1238;
0612053;"Opole Lubelskie (3)";7151;
0612054;"Opole Lubelskie - miasto (4)";6367;
0612055;"Opole Lubelskie - obszar wiejski (5)";784;
0612063;"Poniatowa (3)";9465;
0612064;"Poniatowa - miasto (4)";8590;
0612065;"Poniatowa - obszar wiejski (5)";875;
0612072;"Wilków (2)";6;
0613000;"Powiat parczewski";15744;
0613012;"Dębowa Kłoda (2)";697;
0613022;"Jabłoń (2)";1093;
0613032;"Milanów (2)";618;
0613043;"Parczew (3)";10957;
0613044;"Parczew - miasto (4)";9191;
0613045;"Parczew - obszar wiejski (5)";1766;
0613052;"Podedwórze (2)";102;
0613062;"Siemień (2)";1551;
0613072;"Sosnowica (2)";726;
0614000;"Powiat puławski";70625;
0614011;"Puławy (1)";45115;
0614022;"Baranów (2)";1441;
0614032;"Janowiec (2)";1082;
0614043;"Kazimierz Dolny (3)";2048;
0614044;"Kazimierz Dolny - miasto (4)";985;
0614045;"Kazimierz Dolny - obszar wiejski (5)";1063;
0614052;"Końskowola (2)";5364;
0614062;"Kurów (2)";2551;
0614072;"Markuszów (2)";1134;
0614083;"Nałęczów (3)";3837;
0614084;"Nałęczów - miasto (4)";2851;
0614085;"Nałęczów - obszar wiejski (5)";986;
0614092;"Puławy (2)";4741;
0614102;"Wąwolnica (2)";1230;
0614112;"Żyrzyn (2)";2082;
0615000;"Powiat radzyński";22494;
0615011;"Radzyń Podlaski (1)";13529;
0615022;"Borki (2)";2097;
0615032;"Czemierniki (2)";1237;
0615042;"Kąkolewnica (2)";2510;
0615052;"Komarówka Podlaska (2)";1018;
0615062;"Radzyń Podlaski (2)";603;
0615072;"Ulan-Majorat (2)";21;
0615082;"Wohyń (2)";1479;
0616000;"Powiat rycki";22893;
0616011;"Dęblin (1)";14342;
0616022;"Kłoczew (2)";1357;
0616032;"Nowodwór (2)";288;
0616043;"Ryki (3)";5339;
0616044;"Ryki - miasto (4)";5339;
0616052;"Stężyca (2)";1492;
0616062;"Ułęż (2)";75;
0617000;"Powiat świdnicki";42204;
0617011;"Świdnik (1)";36752;
0617022;"Mełgiew (2)";206;
0617033;"Piaski (3)";2175;
0617034;"Piaski - miasto (4)";2175;
0617052;"Trawniki (2)";3071;
0618000;"Powiat tomaszowski";32214;
0618011;"Tomaszów Lubelski (1)";15837;
0618022;"Bełżec (2)";1753;
0618032;"Jarczów (2)";488;
0618042;"Krynice (2)";258;
0618053;"Lubycza Królewska (3)";3444;
0618054;"Lubycza Królewska - miasto (4)";2103;
0618055;"Lubycza Królewska - obszar wiejski (5)";1341;
0618063;"Łaszczów (3)";2085;
0618064;"Łaszczów - miasto (4)";1577;
0618065;"Łaszczów - obszar wiejski (5)";508;
0618072;"Rachanie (2)";186;
0618082;"Susiec (2)";2408;
0618092;"Tarnawatka (2)";1847;
0618102;"Telatyn (2)";841;
0618112;"Tomaszów Lubelski (2)";866;
0618123;"Tyszowce (3)";788;
0618124;"Tyszowce - miasto (4)";788;
0618132;"Ulhówek (2)";1413;
0619000;"Powiat włodawski";21220;
0619011;"Włodawa (1)";12029;
0619022;"Hanna (2)";711;
0619032;"Hańsk (2)";1293;
0619042;"Stary Brus (2)";435;
0619052;"Urszulin (2)";1452;
0619062;"Włodawa (2)";3312;
0619072;"Wola Uhruska (2)";1593;
0619082;"Wyryki (2)";395;
0620000;"Powiat zamojski";19059;
0620012;"Adamów (2)";23;
0620043;"Krasnobród (3)";2993;
0620044;"Krasnobród - miasto (4)";2993;
0620052;"Łabunie (2)";1439;
0620062;"Miączyn (2)";159;
0620082;"Radecznica (2)";392;
0620092;"Sitno (2)";586;
0620102;"Skierbieszów (2)";875;
0620122;"Sułów (2)";408;
0620133;"Szczebrzeszyn (3)";3481;
0620134;"Szczebrzeszyn - miasto (4)";3481;
0620142;"Zamość (2)";5214;
0620153;"Zwierzyniec (3)";3489;
0620154;"Zwierzyniec - miasto (4)";2942;
0620155;"Zwierzyniec - obszar wiejski (5)";547;
0661000;"Powiat m.Biała Podlaska";49100;
0661011;"Biała Podlaska (1)";49100;
0662000;"Powiat m.Chełm";57093;
0662011;"Chełm (1)";57093;
0663000;"Powiat m.Lublin";311411;
0663011;"Lublin (1)";311411;
0664000;"Powiat m.Zamość";57363;
0664011;"Zamość (1)";57363;
0800000;"LUBUSKIE";752063;
0801000;"Powiat gorzowski";51393;
0801011;"Kostrzyn nad Odrą (1)";16471;
0801022;"Bogdaniec (2)";5013;
0801032;"Deszczno (2)";6299;
0801042;"Kłodawa (2)";6096;
0801052;"Lubiszyn (2)";3254;
0801062;"Santok (2)";6644;
0801073;"Witnica (3)";7616;
0801074;"Witnica - miasto (4)";6413;
0801075;"Witnica - obszar wiejski (5)";1203;
0802000;"Powiat krośnieński";33624;
0802011;"Gubin (1)";15465;
0802022;"Bobrowice (2)";1698;
0802032;"Bytnica (2)";1203;
0802042;"Dąbie (2)";1015;
0802052;"Gubin (2)";694;
0802063;"Krosno Odrzańskie (3)";12981;
0802064;"Krosno Odrzańskie - miasto (4)";9190;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";3791;
0802072;"Maszewo (2)";568;
0803000;"Powiat międzyrzecki";38563;
0803012;"Bledzew (2)";1405;
0803023;"Międzyrzecz (3)";21103;
0803024;"Międzyrzecz - miasto (4)";16578;
0803025;"Międzyrzecz - obszar wiejski (5)";4525;
0803032;"Przytoczna (2)";2521;
0803042;"Pszczew (2)";2660;
0803053;"Skwierzyna (3)";7966;
0803054;"Skwierzyna - miasto (4)";7966;
0803063;"Trzciel (3)";2908;
0803064;"Trzciel - miasto (4)";1928;
0803065;"Trzciel - obszar wiejski (5)";980;
0804000;"Powiat nowosolski";63986;
0804011;"Nowa Sól (1)";38055;
0804023;"Bytom Odrzański (3)";4096;
0804024;"Bytom Odrzański - miasto (4)";3800;
0804025;"Bytom Odrzański - obszar wiejski (5)";296;
0804032;"Kolsko (2)";947;
0804043;"Kożuchów (3)";8986;
0804044;"Kożuchów - miasto (4)";7872;
0804045;"Kożuchów - obszar wiejski (5)";1114;
0804052;"Nowa Sól (2)";3041;
0804063;"Nowe Miasteczko (3)";3334;
0804064;"Nowe Miasteczko - miasto (4)";2719;
0804065;"Nowe Miasteczko - obszar wiejski (5)";615;
0804073;"Otyń (3)";4008;
0804074;"Otyń - miasto (4)";1531;
0804075;"Otyń - obszar wiejski (5)";2477;
0804082;"Siedlisko (2)";1519;
0805000;"Powiat słubicki";33639;
0805013;"Cybinka (3)";3378;
0805014;"Cybinka - miasto (4)";2722;
0805015;"Cybinka - obszar wiejski (5)";656;
0805022;"Górzyca (2)";3231;
0805033;"Ośno Lubuskie (3)";3677;
0805034;"Ośno Lubuskie - miasto (4)";3677;
0805043;"Rzepin (3)";6814;
0805044;"Rzepin - miasto (4)";6125;
0805045;"Rzepin - obszar wiejski (5)";689;
0805053;"Słubice (3)";16539;
0805054;"Słubice - miasto (4)";15056;
0805055;"Słubice - obszar wiejski (5)";1483;
0806000;"Powiat strzelecko-drezdenecki";27067;
0806013;"Dobiegniew (3)";4739;
0806014;"Dobiegniew - miasto (4)";2720;
0806015;"Dobiegniew - obszar wiejski (5)";2019;
0806023;"Drezdenko (3)";9429;
0806024;"Drezdenko - miasto (4)";8840;
0806025;"Drezdenko - obszar wiejski (5)";589;
0806032;"Stare Kurowo (2)";1181;
0806043;"Strzelce Krajeńskie (3)";11718;
0806044;"Strzelce Krajeńskie - miasto (4)";9568;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";2150;
0807000;"Powiat sulęciński";23248;
0807012;"Krzeszyce (2)";1423;
0807023;"Lubniewice (3)";2552;
0807024;"Lubniewice - miasto (4)";1786;
0807025;"Lubniewice - obszar wiejski (5)";766;
0807032;"Słońsk (2)";2975;
0807043;"Sulęcin (3)";12416;
0807044;"Sulęcin - miasto (4)";8922;
0807045;"Sulęcin - obszar wiejski (5)";3494;
0807053;"Torzym (3)";3882;
0807054;"Torzym - miasto (4)";2208;
0807055;"Torzym - obszar wiejski (5)";1674;
0808000;"Powiat świebodziński";47243;
0808012;"Lubrza (2)";2514;
0808022;"Łagów (2)";4182;
0808032;"Skąpe (2)";3552;
0808042;"Szczaniec (2)";1882;
0808053;"Świebodzin (3)";27600;
0808054;"Świebodzin - miasto (4)";20982;
0808055;"Świebodzin - obszar wiejski (5)";6618;
0808063;"Zbąszynek (3)";7513;
0808064;"Zbąszynek - miasto (4)";4884;
0808065;"Zbąszynek - obszar wiejski (5)";2629;
0809000;"Powiat zielonogórski";51206;
0809013;"Babimost (3)";5751;
0809014;"Babimost - miasto (4)";3881;
0809015;"Babimost - obszar wiejski (5)";1870;
0809022;"Bojadła (2)";1337;
0809033;"Czerwieńsk (3)";6739;
0809034;"Czerwieńsk - miasto (4)";3561;
0809035;"Czerwieńsk - obszar wiejski (5)";3178;
0809043;"Kargowa (3)";3163;
0809044;"Kargowa - miasto (4)";3163;
0809053;"Nowogród Bobrzański (3)";4925;
0809054;"Nowogród Bobrzański - miasto (4)";4034;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";891;
0809063;"Sulechów (3)";21086;
0809064;"Sulechów - miasto (4)";16229;
0809065;"Sulechów - obszar wiejski (5)";4857;
0809072;"Świdnica (2)";6411;
0809082;"Trzebiechów (2)";663;
0809092;"Zabór (2)";1131;
0810000;"Powiat żagański";54529;
0810011;"Gozdnica (1)";2501;
0810021;"Żagań (1)";22276;
0810032;"Brzeźnica (2)";402;
0810043;"Iłowa (3)";2937;
0810044;"Iłowa - miasto (4)";2845;
0810045;"Iłowa - obszar wiejski (5)";92;
0810053;"Małomice (3)";3425;
0810054;"Małomice - miasto (4)";3425;
0810062;"Niegosławice (2)";2447;
0810073;"Szprotawa (3)";13758;
0810074;"Szprotawa - miasto (4)";9496;
0810075;"Szprotawa - obszar wiejski (5)";4262;
0810082;"Wymiarki (2)";252;
0810092;"Żagań (2)";6531;
0811000;"Powiat żarski";58393;
0811011;"Łęknica (1)";2271;
0811021;"Żary (1)";34780;
0811032;"Brody (2)";1565;
0811043;"Jasień (3)";3520;
0811044;"Jasień - miasto (4)";3130;
0811045;"Jasień - obszar wiejski (5)";390;
0811052;"Lipinki Łużyckie (2)";100;
0811063;"Lubsko (3)";12843;
0811064;"Lubsko - miasto (4)";11391;
0811065;"Lubsko - obszar wiejski (5)";1452;
0811072;"Przewóz (2)";596;
0811092;"Tuplice (2)";933;
0811102;"Żary (2)";1785;
0812000;"Powiat wschowski";26760;
0812013;"Sława (3)";6004;
0812014;"Sława - miasto (4)";4174;
0812015;"Sława - obszar wiejski (5)";1830;
0812023;"Szlichtyngowa (3)";4698;
0812024;"Szlichtyngowa - miasto (4)";1251;
0812025;"Szlichtyngowa - obszar wiejski (5)";3447;
0812033;"Wschowa (3)";16058;
0812034;"Wschowa - miasto (4)";12786;
0812035;"Wschowa - obszar wiejski (5)";3272;
0861000;"Powiat m.Gorzów Wielkopolski";122480;
0861011;"Gorzów Wielkopolski (1)";122480;
0862000;"Powiat m.Zielona Góra";119932;
0862011;"Zielona Góra (1)";119932;
1000000;"ŁÓDZKIE";1571482;
1001000;"Powiat bełchatowski";75393;
1001011;"Bełchatów (1)";53677;
1001022;"Bełchatów (2)";3219;
1001032;"Drużbice (2)";447;
1001042;"Kleszczów (2)";5127;
1001052;"Kluki (2)";509;
1001062;"Rusiec (2)";614;
1001072;"Szczerców (2)";4939;
1001083;"Zelów (3)";6861;
1001084;"Zelów - miasto (4)";5462;
1001085;"Zelów - obszar wiejski (5)";1399;
1002000;"Powiat kutnowski";56756;
1002011;"Kutno (1)";39796;
1002043;"Krośniewice (3)";4153;
1002044;"Krośniewice - miasto (4)";4074;
1002045;"Krośniewice - obszar wiejski (5)";79;
1002052;"Krzyżanów (2)";473;
1002062;"Kutno (2)";2139;
1002072;"Łanięta (2)";1090;
1002082;"Nowe Ostrowy (2)";1047;
1002102;"Strzelce (2)";555;
1002113;"Żychlin (3)";7503;
1002114;"Żychlin - miasto (4)";6508;
1002115;"Żychlin - obszar wiejski (5)";995;
1003000;"Powiat łaski";21502;
1003012;"Buczek (2)";1983;
1003023;"Łask (3)";16468;
1003024;"Łask - miasto (4)";13966;
1003025;"Łask - obszar wiejski (5)";2502;
1003032;"Sędziejowice (2)";1650;
1003042;"Widawa (2)";1401;
1004000;"Powiat łęczycki";18116;
1004011;"Łęczyca (1)";12698;
1004022;"Daszyna (2)";406;
1004032;"Góra Świętej Małgorzaty (2)";1606;
1004042;"Grabów (2)";1141;
1004052;"Łęczyca (2)";54;
1004063;"Piątek (3)";1580;
1004064;"Piątek - miasto (4)";1378;
1004065;"Piątek - obszar wiejski (5)";202;
1004072;"Świnice Warckie (2)";616;
1004082;"Witonia (2)";15;
1005000;"Powiat łowicki";32914;
1005011;"Łowicz (1)";25410;
1005022;"Bielawy (2)";220;
1005032;"Chąśno (2)";252;
1005042;"Domaniewice (2)";1047;
1005052;"Kiernozia (2)";906;
1005072;"Łowicz (2)";2334;
1005082;"Łyszkowice (2)";1450;
1005092;"Nieborów (2)";114;
1005102;"Zduny (2)";1181;
1006000;"Powiat łódzki wschodni";29379;
1006022;"Andrespol (2)";6148;
1006073;"Koluszki (3)";12313;
1006074;"Koluszki - miasto (4)";9712;
1006075;"Koluszki - obszar wiejski (5)";2601;
1006082;"Nowosolna (2)";263;
1006103;"Rzgów (3)";6620;
1006104;"Rzgów - miasto (4)";3120;
1006105;"Rzgów - obszar wiejski (5)";3500;
1006113;"Tuszyn (3)";4035;
1006114;"Tuszyn - miasto (4)";3543;
1006115;"Tuszyn - obszar wiejski (5)";492;
1007000;"Powiat opoczyński";48976;
1007012;"Białaczów (2)";4020;
1007023;"Drzewica (3)";9134;
1007024;"Drzewica - miasto (4)";3373;
1007025;"Drzewica - obszar wiejski (5)";5761;
1007032;"Mniszków (2)";1446;
1007043;"Opoczno (3)";25988;
1007044;"Opoczno - miasto (4)";19119;
1007045;"Opoczno - obszar wiejski (5)";6869;
1007052;"Paradyż (2)";2028;
1007062;"Poświętne (2)";635;
1007072;"Sławno (2)";4005;
1007082;"Żarnów (2)";1720;
1008000;"Powiat pabianicki";80525;
1008011;"Konstantynów Łódzki (1)";13891;
1008021;"Pabianice (1)";55284;
1008032;"Dłutów (2)";1231;
1008042;"Dobroń (2)";2168;
1008052;"Ksawerów (2)";5579;
1008072;"Pabianice (2)";2372;
1009000;"Powiat pajęczański";22534;
1009013;"Działoszyn (3)";9532;
1009014;"Działoszyn - miasto (4)";5583;
1009015;"Działoszyn - obszar wiejski (5)";3949;
1009043;"Pajęczno (3)";6280;
1009044;"Pajęczno - miasto (4)";5446;
1009045;"Pajęczno - obszar wiejski (5)";834;
1009052;"Rząśnia (2)";3021;
1009062;"Siemkowice (2)";410;
1009072;"Strzelce Wielkie (2)";729;
1009082;"Sulmierzyce (2)";2562;
1010000;"Powiat piotrkowski";30492;
1010012;"Aleksandrów (2)";21;
1010022;"Czarnocin (2)";1707;
1010032;"Gorzkowice (2)";2786;
1010042;"Grabica (2)";1425;
1010062;"Moszczenica (2)";6403;
1010072;"Ręczno (2)";587;
1010082;"Rozprza (2)";2791;
1010093;"Sulejów (3)";3890;
1010094;"Sulejów - miasto (4)";3890;
1010102;"Wola Krzysztoporska (2)";4972;
1010113;"Wolbórz (3)";5910;
1010114;"Wolbórz - miasto (4)";1984;
1010115;"Wolbórz - obszar wiejski (5)";3926;
1011000;"Powiat poddębicki";13014;
1011012;"Dalików (2)";241;
1011022;"Pęczniew (2)";268;
1011033;"Poddębice (3)";7557;
1011034;"Poddębice - miasto (4)";6667;
1011035;"Poddębice - obszar wiejski (5)";890;
1011043;"Uniejów (3)";3282;
1011044;"Uniejów - miasto (4)";2333;
1011045;"Uniejów - obszar wiejski (5)";949;
1011052;"Wartkowice (2)";1257;
1011062;"Zadzim (2)";409;
1012000;"Powiat radomszczański";59174;
1012011;"Radomsko (1)";37328;
1012022;"Dobryszyce (2)";1567;
1012032;"Gidle (2)";1945;
1012042;"Gomunice (2)";1882;
1012053;"Kamieńsk (3)";4284;
1012054;"Kamieńsk - miasto (4)";2155;
1012055;"Kamieńsk - obszar wiejski (5)";2129;
1012062;"Kobiele Wielkie (2)";458;
1012072;"Kodrąb (2)";1140;
1012082;"Lgota Wielka (2)";2611;
1012092;"Ładzice (2)";1341;
1012102;"Masłowice (2)";40;
1012113;"Przedbórz (3)";2699;
1012114;"Przedbórz - miasto (4)";2568;
1012115;"Przedbórz - obszar wiejski (5)";131;
1012122;"Radomsko (2)";2181;
1012132;"Wielgomłyny (2)";1052;
1012142;"Żytno (2)";646;
1013000;"Powiat rawski";19649;
1013011;"Rawa Mazowiecka (1)";15099;
1013023;"Biała Rawska (3)";2601;
1013024;"Biała Rawska - miasto (4)";2560;
1013025;"Biała Rawska - obszar wiejski (5)";41;
1013032;"Cielądz (2)";716;
1013042;"Rawa Mazowiecka (2)";742;
1013062;"Sadkowice (2)";491;
1014000;"Powiat sieradzki";55104;
1014011;"Sieradz (1)";37587;
1014023;"Błaszki (3)";2846;
1014024;"Błaszki - miasto (4)";1963;
1014025;"Błaszki - obszar wiejski (5)";883;
1014032;"Brąszewice (2)";967;
1014042;"Brzeźnio (2)";1325;
1014052;"Burzenin (2)";737;
1014062;"Goszczanów (2)";922;
1014072;"Klonowa (2)";37;
1014082;"Sieradz (2)";5496;
1014093;"Warta (3)";2706;
1014094;"Warta - miasto (4)";2438;
1014095;"Warta - obszar wiejski (5)";268;
1014102;"Wróblew (2)";503;
1014113;"Złoczew (3)";1978;
1014114;"Złoczew - miasto (4)";1978;
1015000;"Powiat skierniewicki";5352;
1015012;"Bolimów (2)";1342;
1015022;"Głuchów (2)";1714;
1015032;"Godzianów (2)";21;
1015052;"Lipce Reymontowskie (2)";1026;
1015072;"Nowy Kawęczyn (2)";531;
1015092;"Słupia (2)";718;
1016000;"Powiat tomaszowski";75490;
1016011;"Tomaszów Mazowiecki (1)";54003;
1016022;"Będków (2)";690;
1016032;"Budziszewice (2)";439;
1016042;"Czerniewice (2)";1684;
1016052;"Inowłódz (2)";667;
1016062;"Lubochnia (2)";5728;
1016072;"Rokiciny (2)";2544;
1016082;"Rzeczyca (2)";653;
1016092;"Tomaszów Mazowiecki (2)";4955;
1016102;"Ujazd (2)";3331;
1016112;"Żelechlinek (2)";796;
1017000;"Powiat wieluński";36476;
1017012;"Biała (2)";49;
1017022;"Czarnożyły (2)";3069;
1017032;"Konopnica (2)";914;
1017042;"Mokrsko (2)";1815;
1017052;"Osjaków (2)";1458;
1017062;"Ostrówek (2)";468;
1017082;"Skomlin (2)";1566;
1017093;"Wieluń (3)";25943;
1017094;"Wieluń - miasto (4)";20237;
1017095;"Wieluń - obszar wiejski (5)";5706;
1017102;"Wierzchlas (2)";1194;
1018000;"Powiat wieruszowski";24511;
1018012;"Bolesławiec (2)";3940;
1018022;"Czastary (2)";1776;
1018032;"Galewice (2)";2785;
1018043;"Lututów (3)";1045;
1018044;"Lututów - miasto (4)";1045;
1018052;"Łubnice (2)";3107;
1018062;"Sokolniki (2)";639;
1018073;"Wieruszów (3)";11219;
1018074;"Wieruszów - miasto (4)";7532;
1018075;"Wieruszów - obszar wiejski (5)";3687;
1019000;"Powiat zduńskowolski";48851;
1019011;"Zduńska Wola (1)";38573;
1019023;"Szadek (3)";1870;
1019024;"Szadek - miasto (4)";915;
1019025;"Szadek - obszar wiejski (5)";955;
1019032;"Zapolice (2)";1675;
1019042;"Zduńska Wola (2)";6733;
1020000;"Powiat zgierski";106540;
1020011;"Głowno (1)";10126;
1020021;"Ozorków (1)";15252;
1020031;"Zgierz (1)";47255;
1020043;"Aleksandrów Łódzki (3)";23521;
1020044;"Aleksandrów Łódzki - miasto (4)";18300;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";5221;
1020062;"Ozorków (2)";1348;
1020072;"Parzęczew (2)";2135;
1020083;"Stryków (3)";6275;
1020084;"Stryków - miasto (4)";2707;
1020085;"Stryków - obszar wiejski (5)";3568;
1020092;"Zgierz (2)";628;
1021000;"Powiat brzeziński";13201;
1021011;"Brzeziny (1)";11652;
1021032;"Dmosin (2)";569;
1021042;"Jeżów (2)";980;
1061000;"Powiat m.Łódź";589319;
1061011;"Łódź (1)";589319;
1062000;"Powiat m.Piotrków Trybunalski";65672;
1062011;"Piotrków Trybunalski (1)";65672;
1063000;"Powiat m.Skierniewice";42542;
1063011;"Skierniewice (1)";42542;
1200000;"MAŁOPOLSKIE";2202447;
1201000;"Powiat bocheński";62705;
1201011;"Bochnia (1)";27320;
1201022;"Bochnia (2)";15032;
1201042;"Lipnica Murowana (2)";1258;
1201052;"Łapanów (2)";2337;
1201063;"Nowy Wiśnicz (3)";3382;
1201064;"Nowy Wiśnicz - miasto (4)";1654;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";1728;
1201072;"Rzezawa (2)";8081;
1201082;"Trzciana (2)";1916;
1201092;"Żegocina (2)";3379;
1202000;"Powiat brzeski";38057;
1202023;"Brzesko (3)";19984;
1202024;"Brzesko - miasto (4)";14184;
1202025;"Brzesko - obszar wiejski (5)";5800;
1202033;"Czchów (3)";3352;
1202034;"Czchów - miasto (4)";1285;
1202035;"Czchów - obszar wiejski (5)";2067;
1202042;"Dębno (2)";8977;
1202052;"Gnojnik (2)";2379;
1202062;"Iwkowa (2)";1789;
1202072;"Szczurowa (2)";1576;
1203000;"Powiat chrzanowski";82710;
1203013;"Alwernia (3)";4768;
1203014;"Alwernia - miasto (4)";2845;
1203015;"Alwernia - obszar wiejski (5)";1923;
1203022;"Babice (2)";1183;
1203033;"Chrzanów (3)";38360;
1203034;"Chrzanów - miasto (4)";33758;
1203035;"Chrzanów - obszar wiejski (5)";4602;
1203043;"Libiąż (3)";13578;
1203044;"Libiąż - miasto (4)";13578;
1203053;"Trzebinia (3)";24821;
1203054;"Trzebinia - miasto (4)";18926;
1203055;"Trzebinia - obszar wiejski (5)";5895;
1204000;"Powiat dąbrowski";25360;
1204012;"Bolesław (2)";678;
1204023;"Dąbrowa Tarnowska (3)";14923;
1204024;"Dąbrowa Tarnowska - miasto (4)";9789;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";5134;
1204052;"Olesno (2)";2445;
1204062;"Radgoszcz (2)";3413;
1204073;"Szczucin (3)";3901;
1204074;"Szczucin - miasto (4)";3596;
1204075;"Szczucin - obszar wiejski (5)";305;
1205000;"Powiat gorlicki";63044;
1205011;"Gorlice (1)";24752;
1205023;"Biecz (3)";6697;
1205024;"Biecz - miasto (4)";3047;
1205025;"Biecz - obszar wiejski (5)";3650;
1205033;"Bobowa (3)";5004;
1205034;"Bobowa - miasto (4)";2485;
1205035;"Bobowa - obszar wiejski (5)";2519;
1205042;"Gorlice (2)";12702;
1205052;"Lipinki (2)";3804;
1205062;"Łużna (2)";361;
1205072;"Moszczenica (2)";2998;
1205082;"Ropa (2)";1150;
1205092;"Sękowa (2)";2791;
1205102;"Uście Gorlickie (2)";2785;
1206000;"Powiat krakowski";163526;
1206012;"Czernichów (2)";6022;
1206022;"Igołomia-Wawrzeńczyce (2)";298;
1206032;"Iwanowice (2)";1279;
1206042;"Jerzmanowice-Przeginia (2)";3605;
1206052;"Kocmyrzów-Luborzyca (2)";3505;
1206063;"Krzeszowice (3)";24528;
1206064;"Krzeszowice - miasto (4)";8784;
1206065;"Krzeszowice - obszar wiejski (5)";15744;
1206072;"Liszki (2)";10745;
1206082;"Michałowice (2)";3241;
1206092;"Mogilany (2)";6484;
1206103;"Skała (3)";7094;
1206104;"Skała - miasto (4)";3434;
1206105;"Skała - obszar wiejski (5)";3660;
1206113;"Skawina (3)";32758;
1206114;"Skawina - miasto (4)";22115;
1206115;"Skawina - obszar wiejski (5)";10643;
1206123;"Słomniki (3)";4124;
1206124;"Słomniki - miasto (4)";3420;
1206125;"Słomniki - obszar wiejski (5)";704;
1206132;"Sułoszowa (2)";3837;
1206143;"Świątniki Górne (3)";4344;
1206144;"Świątniki Górne - miasto (4)";1279;
1206145;"Świątniki Górne - obszar wiejski (5)";3065;
1206152;"Wielka Wieś (2)";9649;
1206162;"Zabierzów (2)";24952;
1206172;"Zielonki (2)";17061;
1207000;"Powiat limanowski";52237;
1207011;"Limanowa (1)";10504;
1207021;"Mszana Dolna (1)";4772;
1207032;"Dobra (2)";3147;
1207042;"Jodłownik (2)";1726;
1207052;"Kamienica (2)";4588;
1207062;"Laskowa (2)";3099;
1207072;"Limanowa (2)";6436;
1207082;"Łukowica (2)";3083;
1207092;"Mszana Dolna (2)";7641;
1207102;"Niedźwiedź (2)";2243;
1207112;"Słopnice (2)";3081;
1207122;"Tymbark (2)";1917;
1208000;"Powiat miechowski";14376;
1208012;"Charsznica (2)";2003;
1208022;"Gołcza (2)";1243;
1208042;"Książ Wielki (2)";1000;
1208053;"Miechów (3)";10130;
1208054;"Miechów - miasto (4)";9350;
1208055;"Miechów - obszar wiejski (5)";780;
1209000;"Powiat myślenicki";76017;
1209013;"Dobczyce (3)";8566;
1209014;"Dobczyce - miasto (4)";5181;
1209015;"Dobczyce - obszar wiejski (5)";3385;
1209022;"Lubień (2)";3343;
1209033;"Myślenice (3)";40149;
1209034;"Myślenice - miasto (4)";17722;
1209035;"Myślenice - obszar wiejski (5)";22427;
1209042;"Pcim (2)";3339;
1209052;"Raciechowice (2)";840;
1209062;"Siepraw (2)";5079;
1209073;"Sułkowice (3)";8957;
1209074;"Sułkowice - miasto (4)";5038;
1209075;"Sułkowice - obszar wiejski (5)";3919;
1209082;"Tokarnia (2)";2415;
1209092;"Wiśniowa (2)";3329;
1210000;"Powiat nowosądecki";105436;
1210011;"Grybów (1)";3404;
1210022;"Chełmiec (2)";14260;
1210032;"Gródek nad Dunajcem (2)";4772;
1210042;"Grybów (2)";8703;
1210052;"Kamionka Wielka (2)";4737;
1210062;"Korzenna (2)";2925;
1210073;"Krynica-Zdrój (3)";14328;
1210074;"Krynica-Zdrój - miasto (4)";8997;
