"Kod";"Nazwa";"wskaźnik świadczenia usług odbioru odpadów komunalnych z nieruchomości zamieszkanych;2020;[%]";"wskaźnik efektywności kosztowej ogółem usług odebranych odpadów komunalnych;2020;[zł/t]";
0418065;"Chodecz - obszar wiejski (5)";0,0;0,00;
0418072;"Fabianki (2)";87,4;589,94;
0418083;"Izbica Kujawska (3)";90,8;960,91;
0418084;"Izbica Kujawska - miasto (4)";0,0;0,00;
0418085;"Izbica Kujawska - obszar wiejski (5)";0,0;0,00;
0418092;"Kowal (2)";79,9;757,40;
0418102;"Lubanie (2)";90,3;638,64;
0418113;"Lubień Kujawski (3)";81,8;340,52;
0418114;"Lubień Kujawski - miasto (4)";0,0;0,00;
0418115;"Lubień Kujawski - obszar wiejski (5)";0,0;0,00;
0418123;"Lubraniec (3)";92,8;687,28;
0418124;"Lubraniec - miasto (4)";0,0;0,00;
0418125;"Lubraniec - obszar wiejski (5)";0,0;0,00;
0418132;"Włocławek (2)";81,5;660,77;
0419000;"Powiat żniński";0,0;0,00;
0419013;"Barcin (3)";75,8;518,83;
0419014;"Barcin - miasto (4)";0,0;0,00;
0419015;"Barcin - obszar wiejski (5)";0,0;0,00;
0419022;"Gąsawa (2)";65,0;874,22;
0419033;"Janowiec Wielkopolski (3)";100,0;1092,10;
0419034;"Janowiec Wielkopolski - miasto (4)";0,0;0,00;
0419035;"Janowiec Wielkopolski - obszar wiejski (5)";0,0;0,00;
0419043;"Łabiszyn (3)";65,0;721,16;
0419044;"Łabiszyn - miasto (4)";0,0;0,00;
0419045;"Łabiszyn - obszar wiejski (5)";0,0;0,00;
0419052;"Rogowo (2)";74,7;1021,57;
0419063;"Żnin (3)";63,9;403,10;
0419064;"Żnin - miasto (4)";0,0;0,00;
0419065;"Żnin - obszar wiejski (5)";0,0;0,00;
0461000;"Powiat m.Bydgoszcz";77,5;715,96;
0461011;"Bydgoszcz (1)";77,5;715,96;
0462000;"Powiat m.Grudziądz";87,3;642,83;
0462011;"Grudziądz (1)";87,3;642,83;
0463000;"Powiat m.Toruń";66,9;265,61;
0463011;"Toruń (1)";66,9;265,61;
0464000;"Powiat m.Włocławek";71,2;614,77;
0464011;"Włocławek (1)";71,2;614,77;
0600000;"LUBELSKIE";75,9;773,70;
0601000;"Powiat bialski";0,0;0,00;
0601011;"Międzyrzec Podlaski (1)";65,3;462,70;
0601021;"Terespol (1)";46,1;1205,80;
0601032;"Biała Podlaska (2)";79,7;45,45;
0601042;"Drelów (2)";89,3;993,89;
0601052;"Janów Podlaski (2)";69,9;559,62;
0601062;"Kodeń (2)";91,4;698,69;
0601072;"Konstantynów (2)";28,8;603,47;
0601082;"Leśna Podlaska (2)";65,1;676,16;
0601092;"Łomazy (2)";4,0;575,59;
0601102;"Międzyrzec Podlaski (2)";86,4;618,57;
0601112;"Piszczac (2)";58,8;641,21;
0601122;"Rokitno (2)";26,7;566,84;
0601132;"Rossosz (2)";100,0;597,28;
0601142;"Sławatycze (2)";70,0;1163,88;
0601152;"Sosnówka (2)";70,0;1981,34;
0601162;"Terespol (2)";66,8;452,63;
0601172;"Tuczna (2)";75,3;1174,28;
0601182;"Wisznice (2)";7,3;635,18;
0601192;"Zalesie (2)";0,3;505,09;
0602000;"Powiat biłgorajski";0,0;0,00;
0602011;"Biłgoraj (1)";72,5;640,65;
0602022;"Aleksandrów (2)";92,4;583,76;
0602032;"Biłgoraj (2)";86,4;835,92;
0602042;"Biszcza (2)";85,4;907,95;
0602053;"Frampol (3)";84,3;712,50;
0602054;"Frampol - miasto (4)";0,0;0,00;
0602055;"Frampol - obszar wiejski (5)";0,0;0,00;
0602062;"Goraj (2)";94,4;937,66;
0602073;"Józefów (3)";91,3;596,00;
0602074;"Józefów - miasto (4)";0,0;0,00;
0602075;"Józefów - obszar wiejski (5)";0,0;0,00;
0602082;"Księżpol (2)";84,2;579,89;
0602092;"Łukowa (2)";90,0;592,91;
0602102;"Obsza (2)";87,0;997,76;
0602112;"Potok Górny (2)";87,7;806,64;
0602123;"Tarnogród (3)";61,8;1038,04;
0602124;"Tarnogród - miasto (4)";0,0;0,00;
0602125;"Tarnogród - obszar wiejski (5)";0,0;0,00;
0602132;"Tereszpol (2)";91,1;876,95;
0602142;"Turobin (2)";91,0;718,22;
0603000;"Powiat chełmski";0,0;0,00;
0603011;"Rejowiec Fabryczny (1)";90,5;560,59;
0603022;"Białopole (2)";92,0;773,93;
0603032;"Chełm (2)";88,0;756,33;
0603042;"Dorohusk (2)";62,6;851,46;
0603052;"Dubienka (2)";63,3;751,88;
0603062;"Kamień (2)";88,2;805,97;
0603072;"Leśniowice (2)";80,0;741,04;
0603082;"Rejowiec Fabryczny (2)";76,4;940,67;
0603092;"Ruda-Huta (2)";91,5;717,39;
0603102;"Sawin (2)";83,1;728,69;
0603113;"Siedliszcze (3)";71,2;595,87;
0603114;"Siedliszcze - miasto (4)";0,0;0,00;
0603115;"Siedliszcze - obszar wiejski (5)";0,0;0,00;
0603122;"Wierzbica (2)";81,5;737,64;
0603132;"Wojsławice (2)";87,4;890,01;
0603142;"Żmudź (2)";95,2;883,36;
0603153;"Rejowiec (3)";98,7;728,07;
0603154;"Rejowiec - miasto (4)";0,0;0,00;
0603155;"Rejowiec - obszar wiejski (5)";0,0;0,00;
0604000;"Powiat hrubieszowski";0,0;0,00;
0604011;"Hrubieszów (1)";77,9;683,03;
0604022;"Dołhobyczów (2)";89,5;1062,39;
0604032;"Horodło (2)";84,6;728,53;
0604042;"Hrubieszów (2)";90,2;700,01;
0604052;"Mircze (2)";95,3;854,63;
0604062;"Trzeszczany (2)";92,2;750,44;
0604072;"Uchanie (2)";93,7;624,22;
0604082;"Werbkowice (2)";90,3;922,45;
0605000;"Powiat janowski";0,0;0,00;
0605012;"Batorz (2)";87,8;1323,25;
0605022;"Chrzanów (2)";91,0;1427,87;
0605032;"Dzwola (2)";93,2;999,39;
0605042;"Godziszów (2)";93,5;1199,92;
0605053;"Janów Lubelski (3)";79,2;535,87;
0605054;"Janów Lubelski - miasto (4)";0,0;0,00;
0605055;"Janów Lubelski - obszar wiejski (5)";0,0;0,00;
0605063;"Modliborzyce (3)";83,9;925,16;
0605064;"Modliborzyce - miasto (4)";0,0;0,00;
0605065;"Modliborzyce - obszar wiejski (5)";0,0;0,00;
0605072;"Potok Wielki (2)";89,2;1234,99;
0606000;"Powiat krasnostawski";0,0;0,00;
0606011;"Krasnystaw (1)";74,1;474,13;
0606022;"Fajsławice (2)";80,2;974,79;
0606032;"Gorzków (2)";95,2;664,97;
0606042;"Izbica (2)";94,8;429,00;
0606052;"Krasnystaw (2)";81,4;703,10;
0606062;"Kraśniczyn (2)";85,9;971,38;
0606072;"Łopiennik Górny (2)";60,9;955,49;
0606092;"Rudnik (2)";97,1;938,38;
0606102;"Siennica Różana (2)";90,1;643,59;
0606112;"Żółkiewka (2)";90,3;1428,23;
0607000;"Powiat kraśnicki";0,0;0,00;
0607011;"Kraśnik (1)";73,9;503,92;
0607023;"Annopol (3)";80,7;937,52;
0607024;"Annopol - miasto (4)";0,0;0,00;
0607025;"Annopol - obszar wiejski (5)";0,0;0,00;
0607032;"Dzierzkowice (2)";97,3;982,01;
0607042;"Gościeradów (2)";76,8;850,25;
0607052;"Kraśnik (2)";99,9;1174,54;
0607062;"Szastarka (2)";84,4;1337,03;
0607072;"Trzydnik Duży (2)";99,8;719,97;
0607083;"Urzędów (3)";78,0;659,51;
0607084;"Urzędów - miasto (4)";0,0;0,00;
0607085;"Urzędów - obszar wiejski (5)";0,0;0,00;
0607092;"Wilkołaz (2)";78,2;705,68;
0607102;"Zakrzówek (2)";100,0;656,82;
0608000;"Powiat lubartowski";0,0;0,00;
0608011;"Lubartów (1)";77,5;409,13;
0608022;"Abramów (2)";93,2;1321,12;
0608032;"Firlej (2)";66,8;1048,73;
0608042;"Jeziorzany (2)";96,8;1065,86;
0608052;"Kamionka (2)";90,2;889,50;
0608063;"Kock (3)";75,6;762,30;
0608064;"Kock - miasto (4)";0,0;0,00;
0608065;"Kock - obszar wiejski (5)";0,0;0,00;
0608072;"Lubartów (2)";76,8;774,29;
0608082;"Michów (2)";89,3;916,28;
0608092;"Niedźwiada (2)";90,6;800,06;
0608103;"Ostrów Lubelski (3)";66,4;799,35;
0608104;"Ostrów Lubelski - miasto (4)";0,0;0,00;
0608105;"Ostrów Lubelski - obszar wiejski (5)";0,0;0,00;
0608112;"Ostrówek (2)";78,6;768,93;
0608122;"Serniki (2)";87,7;587,93;
0608132;"Uścimów (2)";70,9;1033,23;
0609000;"Powiat lubelski";0,0;0,00;
0609013;"Bełżyce (3)";76,8;726,35;
0609014;"Bełżyce - miasto (4)";0,0;0,00;
0609015;"Bełżyce - obszar wiejski (5)";0,0;0,00;
0609022;"Borzechów (2)";89,4;1015,18;
0609033;"Bychawa (3)";78,7;808,98;
0609034;"Bychawa - miasto (4)";0,0;0,00;
0609035;"Bychawa - obszar wiejski (5)";0,0;0,00;
0609042;"Garbów (2)";72,5;742,97;
0609052;"Głusk (2)";83,2;745,14;
0609062;"Jabłonna (2)";83,4;462,75;
0609072;"Jastków (2)";77,1;860,42;
0609082;"Konopnica (2)";72,5;771,21;
0609092;"Krzczonów (2)";67,5;657,10;
0609102;"Niedrzwica Duża (2)";78,4;1233,17;
0609112;"Niemce (2)";71,4;663,21;
0609122;"Strzyżewice (2)";80,8;1183,10;
0609132;"Wojciechów (2)";79,4;583,54;
0609142;"Wólka (2)";84,6;871,63;
0609152;"Wysokie (2)";96,3;569,91;
0609162;"Zakrzew (2)";94,3;842,21;
0610000;"Powiat łęczyński";0,0;0,00;
0610012;"Cyców (2)";98,2;1091,07;
0610022;"Ludwin (2)";90,4;914,41;
0610033;"Łęczna (3)";84,5;574,64;
0610034;"Łęczna - miasto (4)";0,0;0,00;
0610035;"Łęczna - obszar wiejski (5)";0,0;0,00;
0610042;"Milejów (2)";89,2;1093,48;
0610052;"Puchaczów (2)";51,0;612,04;
0610062;"Spiczyn (2)";87,4;911,64;
0611000;"Powiat łukowski";0,0;0,00;
0611011;"Łuków (1)";56,8;727,95;
0611021;"Stoczek Łukowski (1)";93,7;685,47;
0611032;"Adamów (2)";89,0;1064,56;
0611042;"Krzywda (2)";98,2;1041,96;
0611052;"Łuków (2)";99,6;729,49;
0611062;"Serokomla (2)";93,1;1335,89;
0611072;"Stanin (2)";94,9;936,04;
0611082;"Stoczek Łukowski (2)";93,8;920,81;
0611092;"Trzebieszów (2)";88,9;1142,04;
0611102;"Wojcieszków (2)";83,1;824,37;
0611112;"Wola Mysłowska (2)";86,0;1119,98;
0612000;"Powiat opolski";0,0;0,00;
0612012;"Chodel (2)";87,9;1038,88;
0612023;"Józefów nad Wisłą (3)";94,4;896,92;
0612024;"Józefów nad Wisłą - miasto (4)";0,0;0,00;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";0,0;0,00;
0612032;"Karczmiska (2)";96,6;1132,93;
0612042;"Łaziska (2)";100,0;1159,35;
0612053;"Opole Lubelskie (3)";88,7;491,00;
0612054;"Opole Lubelskie - miasto (4)";0,0;0,00;
0612055;"Opole Lubelskie - obszar wiejski (5)";0,0;0,00;
0612063;"Poniatowa (3)";92,8;736,79;
0612064;"Poniatowa - miasto (4)";0,0;0,00;
0612065;"Poniatowa - obszar wiejski (5)";0,0;0,00;
0612072;"Wilków (2)";75,4;643,73;
0613000;"Powiat parczewski";0,0;0,00;
0613012;"Dębowa Kłoda (2)";69,0;778,61;
0613022;"Jabłoń (2)";96,0;998,91;
0613032;"Milanów (2)";91,7;1080,04;
0613043;"Parczew (3)";78,0;635,95;
0613044;"Parczew - miasto (4)";0,0;0,00;
0613045;"Parczew - obszar wiejski (5)";0,0;0,00;
0613052;"Podedwórze (2)";70,0;1631,23;
0613062;"Siemień (2)";97,5;862,66;
0613072;"Sosnowica (2)";66,5;676,60;
0614000;"Powiat puławski";0,0;0,00;
0614011;"Puławy (1)";69,9;626,52;
0614022;"Baranów (2)";83,2;860,11;
0614032;"Janowiec (2)";69,6;973,08;
0614043;"Kazimierz Dolny (3)";43,0;102,89;
0614044;"Kazimierz Dolny - miasto (4)";0,0;0,00;
0614045;"Kazimierz Dolny - obszar wiejski (5)";0,0;0,00;
0614052;"Końskowola (2)";89,3;870,26;
0614062;"Kurów (2)";94,1;1041,72;
0614072;"Markuszów (2)";55,7;780,65;
0614083;"Nałęczów (3)";62,6;531,66;
0614084;"Nałęczów - miasto (4)";0,0;0,00;
0614085;"Nałęczów - obszar wiejski (5)";0,0;0,00;
0614092;"Puławy (2)";75,0;880,92;
0614102;"Wąwolnica (2)";81,8;959,14;
0614112;"Żyrzyn (2)";86,8;1197,38;
0615000;"Powiat radzyński";0,0;0,00;
0615011;"Radzyń Podlaski (1)";69,3;709,72;
0615022;"Borki (2)";77,2;853,30;
0615032;"Czemierniki (2)";62,9;909,14;
0615042;"Kąkolewnica (2)";75,0;1167,61;
0615052;"Komarówka Podlaska (2)";100,0;1079,29;
0615062;"Radzyń Podlaski (2)";99,6;1131,67;
0615072;"Ulan-Majorat (2)";96,4;798,48;
0615082;"Wohyń (2)";91,7;989,02;
0616000;"Powiat rycki";0,0;0,00;
0616011;"Dęblin (1)";65,8;707,78;
0616022;"Kłoczew (2)";87,2;764,71;
0616032;"Nowodwór (2)";93,0;835,47;
0616043;"Ryki (3)";77,1;738,02;
0616044;"Ryki - miasto (4)";0,0;0,00;
0616045;"Ryki - obszar wiejski (5)";0,0;0,00;
0616052;"Stężyca (2)";98,4;868,69;
0616062;"Ułęż (2)";100,0;1133,90;
0617000;"Powiat świdnicki";0,0;0,00;
0617011;"Świdnik (1)";83,1;836,32;
0617022;"Mełgiew (2)";88,2;863,05;
0617033;"Piaski (3)";96,2;658,77;
0617034;"Piaski - miasto (4)";0,0;0,00;
0617035;"Piaski - obszar wiejski (5)";0,0;0,00;
0617042;"Rybczewice (2)";85,9;1110,81;
0617052;"Trawniki (2)";95,4;943,58;
0618000;"Powiat tomaszowski";0,0;0,00;
0618011;"Tomaszów Lubelski (1)";66,3;680,00;
0618022;"Bełżec (2)";78,9;648,69;
0618032;"Jarczów (2)";89,0;1109,68;
0618042;"Krynice (2)";88,0;764,38;
0618053;"Lubycza Królewska (3)";77,1;891,19;
0618054;"Lubycza Królewska - miasto (4)";0,0;0,00;
0618055;"Lubycza Królewska - obszar wiejski (5)";0,0;0,00;
0618063;"Łaszczów (3)";100,0;770,55;
0618064;"Łaszczów - miasto (4)";0,0;0,00;
0618065;"Łaszczów - obszar wiejski (5)";0,0;0,00;
0618072;"Rachanie (2)";95,4;949,55;
0618082;"Susiec (2)";91,9;786,64;
0618092;"Tarnawatka (2)";86,6;1055,55;
0618102;"Telatyn (2)";98,1;860,20;
0618112;"Tomaszów Lubelski (2)";92,7;1048,62;
0618123;"Tyszowce (3)";84,8;395,77;
0618124;"Tyszowce - miasto (4)";0,0;0,00;
0618125;"Tyszowce - obszar wiejski (5)";0,0;0,00;
0618132;"Ulhówek (2)";100,0;882,84;
0619000;"Powiat włodawski";0,0;0,00;
0619011;"Włodawa (1)";70,0;582,47;
0619022;"Hanna (2)";70,0;1502,50;
0619032;"Hańsk (2)";70,0;1350,78;
0619042;"Stary Brus (2)";70,0;1566,10;
0619052;"Urszulin (2)";64,6;907,32;
0619062;"Włodawa (2)";35,3;956,86;
0619072;"Wola Uhruska (2)";82,3;647,28;
0619082;"Wyryki (2)";99,7;1207,81;
0620000;"Powiat zamojski";0,0;0,00;
0620012;"Adamów (2)";89,0;895,83;
0620022;"Grabowiec (2)";85,1;459,04;
0620032;"Komarów-Osada (2)";86,5;1149,97;
0620043;"Krasnobród (3)";64,8;449,16;
0620044;"Krasnobród - miasto (4)";0,0;0,00;
0620045;"Krasnobród - obszar wiejski (5)";0,0;0,00;
0620052;"Łabunie (2)";85,8;768,78;
0620062;"Miączyn (2)";97,1;980,65;
0620072;"Nielisz (2)";83,5;1121,88;
0620082;"Radecznica (2)";89,0;848,68;
0620092;"Sitno (2)";92,0;65,43;
0620102;"Skierbieszów (2)";89,6;878,54;
0620112;"Stary Zamość (2)";90,4;915,82;
0620122;"Sułów (2)";91,7;1164,95;
0620133;"Szczebrzeszyn (3)";78,8;526,47;
0620134;"Szczebrzeszyn - miasto (4)";0,0;0,00;
0620135;"Szczebrzeszyn - obszar wiejski (5)";0,0;0,00;
0620142;"Zamość (2)";80,5;629,69;
0620153;"Zwierzyniec (3)";79,7;848,25;
0620154;"Zwierzyniec - miasto (4)";0,0;0,00;
0620155;"Zwierzyniec - obszar wiejski (5)";0,0;0,00;
0661000;"Powiat m.Biała Podlaska";16,2;438,03;
0661011;"Biała Podlaska (1)";16,2;438,03;
0662000;"Powiat m.Chełm";88,4;622,49;
0662011;"Chełm (1)";88,4;622,49;
0663000;"Powiat m.Lublin";66,8;973,26;
0663011;"Lublin (1)";66,8;973,26;
0664000;"Powiat m.Zamość";80,3;730,65;
0664011;"Zamość (1)";80,3;730,65;
0800000;"LUBUSKIE";80,6;601,98;
0801000;"Powiat gorzowski";0,0;0,00;
0801011;"Kostrzyn nad Odrą (1)";67,7;524,82;
0801022;"Bogdaniec (2)";93,8;705,72;
0801032;"Deszczno (2)";93,5;489,82;
0801042;"Kłodawa (2)";93,6;679,55;
0801052;"Lubiszyn (2)";93,6;825,10;
0801062;"Santok (2)";93,6;747,76;
0801073;"Witnica (3)";69,7;377,69;
0801074;"Witnica - miasto (4)";0,0;0,00;
0801075;"Witnica - obszar wiejski (5)";0,0;0,00;
0802000;"Powiat krośnieński";0,0;0,00;
0802011;"Gubin (1)";77,6;504,34;
0802022;"Bobrowice (2)";88,5;783,48;
0802032;"Bytnica (2)";95,0;845,30;
0802042;"Dąbie (2)";95,3;818,38;
0802052;"Gubin (2)";93,3;870,91;
0802063;"Krosno Odrzańskie (3)";77,0;653,82;
0802064;"Krosno Odrzańskie - miasto (4)";0,0;0,00;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";0,0;0,00;
0802072;"Maszewo (2)";94,8;942,18;
0803000;"Powiat międzyrzecki";0,0;0,00;
0803012;"Bledzew (2)";80,6;560,62;
0803023;"Międzyrzecz (3)";75,4;378,73;
0803024;"Międzyrzecz - miasto (4)";0,0;0,00;
0803025;"Międzyrzecz - obszar wiejski (5)";0,0;0,00;
0803032;"Przytoczna (2)";72,7;657,75;
0803042;"Pszczew (2)";76,6;505,64;
0803053;"Skwierzyna (3)";78,3;531,19;
0803054;"Skwierzyna - miasto (4)";0,0;0,00;
0803055;"Skwierzyna - obszar wiejski (5)";0,0;0,00;
0803063;"Trzciel (3)";81,3;678,87;
0803064;"Trzciel - miasto (4)";0,0;0,00;
0803065;"Trzciel - obszar wiejski (5)";0,0;0,00;
0804000;"Powiat nowosolski";0,0;0,00;
0804011;"Nowa Sól (1)";82,5;538,13;
0804023;"Bytom Odrzański (3)";80,0;609,38;
0804024;"Bytom Odrzański - miasto (4)";0,0;0,00;
0804025;"Bytom Odrzański - obszar wiejski (5)";0,0;0,00;
0804032;"Kolsko (2)";75,0;492,87;
0804043;"Kożuchów (3)";80,0;581,66;
0804044;"Kożuchów - miasto (4)";0,0;0,00;
0804045;"Kożuchów - obszar wiejski (5)";0,0;0,00;
0804052;"Nowa Sól (2)";76,4;398,51;
0804063;"Nowe Miasteczko (3)";80,0;643,63;
0804064;"Nowe Miasteczko - miasto (4)";0,0;0,00;
0804065;"Nowe Miasteczko - obszar wiejski (5)";0,0;0,00;
0804073;"Otyń (3)";85,6;416,18;
0804074;"Otyń - miasto (4)";0,0;0,00;
0804075;"Otyń - obszar wiejski (5)";0,0;0,00;
0804082;"Siedlisko (2)";97,0;465,47;
0805000;"Powiat słubicki";0,0;0,00;
0805013;"Cybinka (3)";93,5;540,67;
0805014;"Cybinka - miasto (4)";0,0;0,00;
0805015;"Cybinka - obszar wiejski (5)";0,0;0,00;
0805022;"Górzyca (2)";80,0;739,67;
0805033;"Ośno Lubuskie (3)";70,3;574,18;
0805034;"Ośno Lubuskie - miasto (4)";0,0;0,00;
0805035;"Ośno Lubuskie - obszar wiejski (5)";0,0;0,00;
0805043;"Rzepin (3)";74,7;532,51;
0805044;"Rzepin - miasto (4)";0,0;0,00;
0805045;"Rzepin - obszar wiejski (5)";0,0;0,00;
0805053;"Słubice (3)";100,0;416,73;
0805054;"Słubice - miasto (4)";0,0;0,00;
0805055;"Słubice - obszar wiejski (5)";0,0;0,00;
0806000;"Powiat strzelecko-drezdenecki";0,0;0,00;
0806013;"Dobiegniew (3)";89,4;936,05;
0806014;"Dobiegniew - miasto (4)";0,0;0,00;
0806015;"Dobiegniew - obszar wiejski (5)";0,0;0,00;
0806023;"Drezdenko (3)";91,0;797,88;
0806024;"Drezdenko - miasto (4)";0,0;0,00;
0806025;"Drezdenko - obszar wiejski (5)";0,0;0,00;
0806032;"Stare Kurowo (2)";85,8;742,82;
0806043;"Strzelce Krajeńskie (3)";86,8;435,16;
0806044;"Strzelce Krajeńskie - miasto (4)";0,0;0,00;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";0,0;0,00;
0806052;"Zwierzyn (2)";87,7;1291,44;
0807000;"Powiat sulęciński";0,0;0,00;
0807012;"Krzeszyce (2)";99,7;672,69;
0807023;"Lubniewice (3)";67,4;567,87;
0807024;"Lubniewice - miasto (4)";0,0;0,00;
0807025;"Lubniewice - obszar wiejski (5)";0,0;0,00;
0807032;"Słońsk (2)";86,1;562,44;
0807043;"Sulęcin (3)";75,5;446,59;
0807044;"Sulęcin - miasto (4)";0,0;0,00;
0807045;"Sulęcin - obszar wiejski (5)";0,0;0,00;
0807053;"Torzym (3)";86,9;824,31;
0807054;"Torzym - miasto (4)";0,0;0,00;
0807055;"Torzym - obszar wiejski (5)";0,0;0,00;
0808000;"Powiat świebodziński";0,0;0,00;
0808012;"Lubrza (2)";83,7;708,99;
0808022;"Łagów (2)";72,0;662,91;
0808032;"Skąpe (2)";88,3;635,56;
0808042;"Szczaniec (2)";91,0;685,75;
0808053;"Świebodzin (3)";78,3;481,98;
0808054;"Świebodzin - miasto (4)";0,0;0,00;
0808055;"Świebodzin - obszar wiejski (5)";0,0;0,00;
0808063;"Zbąszynek (3)";69,5;468,79;
0808064;"Zbąszynek - miasto (4)";0,0;0,00;
0808065;"Zbąszynek - obszar wiejski (5)";0,0;0,00;
0809000;"Powiat zielonogórski";0,0;0,00;
0809013;"Babimost (3)";76,2;763,56;
0809014;"Babimost - miasto (4)";0,0;0,00;
0809015;"Babimost - obszar wiejski (5)";0,0;0,00;
0809022;"Bojadła (2)";74,6;394,84;
0809033;"Czerwieńsk (3)";88,2;482,33;
0809034;"Czerwieńsk - miasto (4)";0,0;0,00;
0809035;"Czerwieńsk - obszar wiejski (5)";0,0;0,00;
0809043;"Kargowa (3)";88,5;367,38;
0809044;"Kargowa - miasto (4)";0,0;0,00;
0809045;"Kargowa - obszar wiejski (5)";0,0;0,00;
0809053;"Nowogród Bobrzański (3)";80,2;715,39;
0809054;"Nowogród Bobrzański - miasto (4)";0,0;0,00;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";0,0;0,00;
0809063;"Sulechów (3)";84,6;606,69;
0809064;"Sulechów - miasto (4)";0,0;0,00;
0809065;"Sulechów - obszar wiejski (5)";0,0;0,00;
0809072;"Świdnica (2)";87,5;114,52;
0809082;"Trzebiechów (2)";88,5;730,98;
0809092;"Zabór (2)";92,7;509,12;
0810000;"Powiat żagański";0,0;0,00;
0810011;"Gozdnica (1)";85,0;656,44;
0810021;"Żagań (1)";72,2;621,81;
0810032;"Brzeźnica (2)";87,0;833,25;
0810043;"Iłowa (3)";82,6;603,07;
0810044;"Iłowa - miasto (4)";0,0;0,00;
0810045;"Iłowa - obszar wiejski (5)";0,0;0,00;
0810053;"Małomice (3)";91,5;840,00;
0810054;"Małomice - miasto (4)";0,0;0,00;
0810055;"Małomice - obszar wiejski (5)";0,0;0,00;
0810062;"Niegosławice (2)";72,5;778,49;
0810073;"Szprotawa (3)";76,5;895,95;
0810074;"Szprotawa - miasto (4)";0,0;0,00;
0810075;"Szprotawa - obszar wiejski (5)";0,0;0,00;
0810082;"Wymiarki (2)";55,9;764,54;
0810092;"Żagań (2)";98,8;742,03;
0811000;"Powiat żarski";0,0;0,00;
0811011;"Łęknica (1)";50,6;653,40;
0811021;"Żary (1)";74,2;414,90;
0811032;"Brody (2)";80,9;907,60;
0811043;"Jasień (3)";78,3;707,37;
0811044;"Jasień - miasto (4)";0,0;0,00;
0811045;"Jasień - obszar wiejski (5)";0,0;0,00;
0811052;"Lipinki Łużyckie (2)";84,2;602,41;
0811063;"Lubsko (3)";77,9;679,59;
0811064;"Lubsko - miasto (4)";0,0;0,00;
0811065;"Lubsko - obszar wiejski (5)";0,0;0,00;
0811072;"Przewóz (2)";91,3;1243,74;
0811082;"Trzebiel (2)";69,3;647,18;
0811092;"Tuplice (2)";87,6;1045,81;
0811102;"Żary (2)";85,7;552,06;
0812000;"Powiat wschowski";0,0;0,00;
0812013;"Sława (3)";80,0;463,38;
0812014;"Sława - miasto (4)";0,0;0,00;
0812015;"Sława - obszar wiejski (5)";0,0;0,00;
0812023;"Szlichtyngowa (3)";80,0;767,96;
0812024;"Szlichtyngowa - miasto (4)";0,0;0,00;
0812025;"Szlichtyngowa - obszar wiejski (5)";0,0;0,00;
0812033;"Wschowa (3)";80,0;606,50;
0812034;"Wschowa - miasto (4)";0,0;0,00;
0812035;"Wschowa - obszar wiejski (5)";0,0;0,00;
0861000;"Powiat m.Gorzów Wielkopolski";77,8;629,50;
0861011;"Gorzów Wielkopolski (1)";77,8;629,50;
0862000;"Powiat m.Zielona Góra";80,7;740,78;
0862011;"Zielona Góra (1)";80,7;740,78;
1000000;"ŁÓDZKIE";82,2;734,73;
1001000;"Powiat bełchatowski";0,0;0,00;
1001011;"Bełchatów (1)";74,6;679,38;
1001022;"Bełchatów (2)";84,3;652,83;
1001032;"Drużbice (2)";82,8;705,32;
1001042;"Kleszczów (2)";28,4;367,89;
1001052;"Kluki (2)";79,3;855,11;
1001062;"Rusiec (2)";70,8;398,53;
1001072;"Szczerców (2)";64,5;630,17;
1001083;"Zelów (3)";86,5;647,47;
1001084;"Zelów - miasto (4)";0,0;0,00;
1001085;"Zelów - obszar wiejski (5)";0,0;0,00;
1002000;"Powiat kutnowski";0,0;0,00;
1002011;"Kutno (1)";56,5;450,15;
1002022;"Bedlno (2)";91,2;1243,09;
1002032;"Dąbrowice (2)";92,0;755,59;
1002043;"Krośniewice (3)";79,1;820,60;
1002044;"Krośniewice - miasto (4)";0,0;0,00;
1002045;"Krośniewice - obszar wiejski (5)";0,0;0,00;
1002052;"Krzyżanów (2)";75,1;763,05;
1002062;"Kutno (2)";82,6;921,74;
1002072;"Łanięta (2)";76,0;1124,13;
1002082;"Nowe Ostrowy (2)";97,5;748,62;
1002092;"Oporów (2)";92,6;1258,06;
1002102;"Strzelce (2)";70,0;1105,89;
1002113;"Żychlin (3)";80,9;862,58;
1002114;"Żychlin - miasto (4)";0,0;0,00;
1002115;"Żychlin - obszar wiejski (5)";0,0;0,00;
1003000;"Powiat łaski";0,0;0,00;
1003012;"Buczek (2)";75,1;787,86;
1003023;"Łask (3)";79,4;653,22;
1003024;"Łask - miasto (4)";0,0;0,00;
1003025;"Łask - obszar wiejski (5)";0,0;0,00;
1003032;"Sędziejowice (2)";79,6;532,34;
1003042;"Widawa (2)";64,7;744,25;
1003052;"Wodzierady (2)";93,5;1006,09;
1004000;"Powiat łęczycki";0,0;0,00;
1004011;"Łęczyca (1)";88,8;85,45;
1004022;"Daszyna (2)";81,9;1011,11;
1004032;"Góra Świętej Małgorzaty (2)";97,9;1407,92;
1004042;"Grabów (2)";98,2;1434,11;
