"Kod";"Nazwa";"stadiony;ogółem;2018;[ob.]";"hale sportowe o wymiarach od 36x19 m;ogółem;2018;[ob.]";"sale gimnastyczne o wymiarach poniżej 36x19 m i sale pomocnicze;ogółem;2018;[ob.]";"korty tenisowe;ogółem;2018;[ob.]";"pływalnie kryte;ogółem;2018;[ob.]";
0212044;"Mirsk - miasto (4)";1;0;0;0;0;
0212053;"Wleń (3)";2;0;0;0;0;
0212054;"Wleń - miasto (4)";2;0;0;0;0;
0213000;"Powiat milicki";3;1;0;6;1;
0213012;"Cieszków (2)";1;1;0;2;0;
0213022;"Krośnice (2)";0;0;0;4;0;
0213033;"Milicz (3)";2;0;0;0;1;
0213034;"Milicz - miasto (4)";2;0;0;0;1;
0214000;"Powiat oleśnicki";8;6;7;5;2;
0214011;"Oleśnica (1)";2;2;0;1;0;
0214023;"Bierutów (3)";1;1;0;0;0;
0214024;"Bierutów - miasto (4)";1;1;0;0;0;
0214032;"Dobroszyce (2)";1;0;0;0;0;
0214053;"Międzybórz (3)";1;0;0;0;0;
0214054;"Międzybórz - miasto (4)";1;0;0;0;0;
0214062;"Oleśnica (2)";0;1;1;0;0;
0214073;"Syców (3)";1;1;5;0;0;
0214074;"Syców - miasto (4)";1;1;3;0;0;
0214075;"Syców - obszar wiejski (5)";0;0;2;0;0;
0214083;"Twardogóra (3)";2;1;1;4;2;
0214084;"Twardogóra - miasto (4)";2;1;1;4;2;
0215000;"Powiat oławski";4;3;4;1;1;
0215011;"Oława (1)";2;1;1;0;0;
0215022;"Domaniów (2)";0;0;1;0;0;
0215033;"Jelcz-Laskowice (3)";1;1;1;1;1;
0215034;"Jelcz-Laskowice - miasto (4)";0;1;1;1;1;
0215035;"Jelcz-Laskowice - obszar wiejski (5)";1;0;0;0;0;
0215042;"Oława (2)";1;1;1;0;0;
0216000;"Powiat polkowicki";5;0;2;5;1;
0216013;"Chocianów (3)";1;0;0;0;1;
0216014;"Chocianów - miasto (4)";1;0;0;0;1;
0216022;"Gaworzyce (2)";0;0;1;0;0;
0216032;"Grębocice (2)";0;0;0;1;0;
0216043;"Polkowice (3)";2;0;1;3;0;
0216044;"Polkowice - miasto (4)";2;0;0;3;0;
0216045;"Polkowice - obszar wiejski (5)";0;0;1;0;0;
0216053;"Przemków (3)";2;0;0;1;0;
0216054;"Przemków - miasto (4)";1;0;0;1;0;
0216055;"Przemków - obszar wiejski (5)";1;0;0;0;0;
0217000;"Powiat strzeliński";11;0;1;2;1;
0217022;"Kondratowice (2)";3;0;0;0;0;
0217043;"Strzelin (3)";7;0;1;2;1;
0217044;"Strzelin - miasto (4)";1;0;1;1;1;
0217045;"Strzelin - obszar wiejski (5)";6;0;0;1;0;
0217053;"Wiązów (3)";1;0;0;0;0;
0217054;"Wiązów - miasto (4)";1;0;0;0;0;
0218000;"Powiat średzki";3;2;0;1;0;
0218022;"Malczyce (2)";2;1;0;0;0;
0218043;"Środa Śląska (3)";1;1;0;1;0;
0218044;"Środa Śląska - miasto (4)";1;1;0;1;0;
0219000;"Powiat świdnicki";12;7;6;16;6;
0219011;"Świdnica (1)";1;2;3;11;2;
0219021;"Świebodzice (1)";2;1;0;0;0;
0219032;"Dobromierz (2)";1;0;0;1;0;
0219043;"Jaworzyna Śląska (3)";1;0;1;1;0;
0219044;"Jaworzyna Śląska - miasto (4)";1;0;1;1;0;
0219063;"Strzegom (3)";1;1;0;1;1;
0219064;"Strzegom - miasto (4)";1;1;0;1;1;
0219072;"Świdnica (2)";2;1;2;0;1;
0219083;"Żarów (3)";4;2;0;2;2;
0219084;"Żarów - miasto (4)";4;2;0;2;2;
0220000;"Powiat trzebnicki";5;4;4;2;0;
0220013;"Oborniki Śląskie (3)";2;1;0;1;0;
0220014;"Oborniki Śląskie - miasto (4)";1;1;0;1;0;
0220015;"Oborniki Śląskie - obszar wiejski (5)";1;0;0;0;0;
0220023;"Prusice (3)";2;0;0;0;0;
0220024;"Prusice - miasto (4)";2;0;0;0;0;
0220033;"Trzebnica (3)";0;2;0;1;0;
0220034;"Trzebnica - miasto (4)";0;2;0;1;0;
0220042;"Wisznia Mała (2)";0;0;3;0;0;
0220052;"Zawonia (2)";0;1;1;0;0;
0220063;"Żmigród (3)";1;0;0;0;0;
0220064;"Żmigród - miasto (4)";1;0;0;0;0;
0221000;"Powiat wałbrzyski";6;3;4;2;0;
0221011;"Boguszów-Gorce (1)";2;0;1;2;0;
0221031;"Szczawno-Zdrój (1)";1;1;1;0;0;
0221042;"Czarny Bór (2)";1;0;0;0;0;
0221063;"Mieroszów (3)";0;1;1;0;0;
0221064;"Mieroszów - miasto (4)";0;1;1;0;0;
0221072;"Stare Bogaczowice (2)";2;0;1;0;0;
0221082;"Walim (2)";0;1;0;0;0;
0222000;"Powiat wołowski";2;2;2;4;1;
0222013;"Brzeg Dolny (3)";1;1;1;3;1;
0222014;"Brzeg Dolny - miasto (4)";1;1;1;3;1;
0222033;"Wołów (3)";1;1;1;1;0;
0222034;"Wołów - miasto (4)";1;1;1;1;0;
0223000;"Powiat wrocławski";9;8;9;8;3;
0223022;"Długołęka (2)";1;0;0;1;0;
0223032;"Jordanów Śląski (2)";0;1;1;0;0;
0223043;"Kąty Wrocławskie (3)";2;1;1;2;1;
0223044;"Kąty Wrocławskie - miasto (4)";1;1;1;2;1;
0223045;"Kąty Wrocławskie - obszar wiejski (5)";1;0;0;0;0;
0223052;"Kobierzyce (2)";2;1;3;0;2;
0223073;"Sobótka (3)";1;0;0;1;0;
0223074;"Sobótka - miasto (4)";1;0;0;1;0;
0223083;"Siechnice (3)";3;4;4;4;0;
0223084;"Siechnice - miasto (4)";1;2;1;2;0;
0223085;"Siechnice - obszar wiejski (5)";2;2;3;2;0;
0223092;"Żórawina (2)";0;1;0;0;0;
0224000;"Powiat ząbkowicki";10;2;0;2;0;
0224022;"Ciepłowody (2)";0;1;0;0;0;
0224032;"Kamieniec Ząbkowicki (2)";2;0;0;1;0;
0224053;"Ząbkowice Śląskie (3)";1;1;0;0;0;
0224054;"Ząbkowice Śląskie - miasto (4)";1;1;0;0;0;
0224063;"Ziębice (3)";6;0;0;0;0;
0224064;"Ziębice - miasto (4)";1;0;0;0;0;
0224065;"Ziębice - obszar wiejski (5)";5;0;0;0;0;
0224073;"Złoty Stok (3)";1;0;0;1;0;
0224074;"Złoty Stok - miasto (4)";1;0;0;1;0;
0225000;"Powiat zgorzelecki";13;3;2;8;1;
0225011;"Zawidów (1)";1;0;0;0;0;
0225021;"Zgorzelec (1)";3;2;0;2;1;
0225033;"Bogatynia (3)";3;0;1;4;0;
0225034;"Bogatynia - miasto (4)";3;0;1;4;0;
0225043;"Pieńsk (3)";3;0;0;0;0;
0225044;"Pieńsk - miasto (4)";1;0;0;0;0;
0225045;"Pieńsk - obszar wiejski (5)";2;0;0;0;0;
0225052;"Sulików (2)";1;0;0;0;0;
0225063;"Węgliniec (3)";2;1;1;2;0;
0225064;"Węgliniec - miasto (4)";1;1;0;0;0;
0225065;"Węgliniec - obszar wiejski (5)";1;0;1;2;0;
0226000;"Powiat złotoryjski";4;2;0;0;0;
0226011;"Wojcieszów (1)";1;0;0;0;0;
0226021;"Złotoryja (1)";3;1;0;0;0;
0226032;"Pielgrzymka (2)";0;1;0;0;0;
0261000;"Powiat m.Jelenia Góra";4;3;2;9;2;
0261011;"Jelenia Góra (1)";4;3;2;9;2;
0262000;"Powiat m.Legnica";4;3;1;3;2;
0262011;"Legnica (1)";4;3;1;3;2;
0264000;"Powiat m.Wrocław";17;19;27;56;11;
0264011;"Wrocław (1)";17;19;27;56;11;
0265000;"Powiat m.Wałbrzych od 2013";7;5;0;1;1;
0265011;"Wałbrzych od 2013 (1)";7;5;0;1;1;
0400000;"KUJAWSKO-POMORSKIE";112;51;51;127;28;
0401000;"Powiat aleksandrowski";8;1;3;10;4;
0401011;"Aleksandrów Kujawski (1)";1;0;0;0;0;
0401021;"Ciechocinek (1)";1;1;1;9;4;
0401031;"Nieszawa (1)";1;0;2;0;0;
0401042;"Aleksandrów Kujawski (2)";2;0;0;0;0;
0401052;"Bądkowo (2)";2;0;0;0;0;
0401082;"Waganiec (2)";1;0;0;0;0;
0401092;"Zakrzewo (2)";0;0;0;1;0;
0402000;"Powiat brodnicki";6;2;2;4;0;
0402011;"Brodnica (1)";1;1;0;3;0;
0402032;"Brodnica (2)";0;0;2;0;0;
0402042;"Brzozie (2)";3;0;0;0;0;
0402062;"Bartniczka (2)";1;0;0;0;0;
0402073;"Jabłonowo Pomorskie (3)";1;0;0;0;0;
0402074;"Jabłonowo Pomorskie - miasto (4)";1;0;0;0;0;
0402082;"Osiek (2)";0;0;0;1;0;
0402102;"Zbiczno (2)";0;1;0;0;0;
0403000;"Powiat bydgoski";4;5;0;4;2;
0403032;"Dobrcz (2)";1;0;0;1;0;
0403043;"Koronowo (3)";0;1;0;2;0;
0403044;"Koronowo - miasto (4)";0;1;0;2;0;
0403062;"Osielsko (2)";0;2;0;1;1;
0403072;"Sicienko (2)";2;1;0;0;0;
0403083;"Solec Kujawski (3)";1;1;0;0;1;
0403084;"Solec Kujawski - miasto (4)";1;1;0;0;1;
0404000;"Powiat chełmiński";4;2;0;1;0;
0404011;"Chełmno (1)";1;0;0;1;0;
0404022;"Chełmno (2)";2;0;0;0;0;
0404062;"Stolno (2)";0;1;0;0;0;
0404072;"Unisław (2)";1;1;0;0;0;
0405000;"Powiat golubsko-dobrzyński";3;2;1;1;1;
0405011;"Golub-Dobrzyń (1)";1;2;1;0;0;
0405022;"Ciechocin (2)";0;0;0;1;0;
0405043;"Kowalewo Pomorskie (3)";1;0;0;0;1;
0405044;"Kowalewo Pomorskie - miasto (4)";1;0;0;0;1;
0405052;"Radomin (2)";1;0;0;0;0;
0406000;"Powiat grudziądzki";1;2;1;1;1;
0406012;"Grudziądz (2)";0;1;1;0;1;
0406033;"Łasin (3)";1;0;0;0;0;
0406034;"Łasin - miasto (4)";1;0;0;0;0;
0406062;"Świecie nad Osą (2)";0;1;0;1;0;
0407000;"Powiat inowrocławski";10;3;6;15;3;
0407011;"Inowrocław (1)";3;1;4;13;2;
0407022;"Dąbrowa Biskupia (2)";1;0;0;0;0;
0407033;"Gniewkowo (3)";1;0;0;0;0;
0407035;"Gniewkowo - obszar wiejski (5)";1;0;0;0;0;
0407053;"Janikowo (3)";1;1;0;0;1;
0407054;"Janikowo - miasto (4)";1;1;0;0;1;
0407063;"Kruszwica (3)";1;0;0;2;0;
0407064;"Kruszwica - miasto (4)";1;0;0;2;0;
0407073;"Pakość (3)";1;0;0;0;0;
0407074;"Pakość - miasto (4)";1;0;0;0;0;
0407082;"Rojewo (2)";0;1;1;0;0;
0407092;"Złotniki Kujawskie (2)";2;0;1;0;0;
0408000;"Powiat lipnowski";5;2;5;1;1;
0408011;"Lipno (1)";1;0;0;1;1;
0408043;"Dobrzyń nad Wisłą (3)";1;1;0;0;0;
0408044;"Dobrzyń nad Wisłą - miasto (4)";1;1;0;0;0;
0408052;"Kikół (2)";0;1;0;0;0;
0408082;"Tłuchowo (2)";1;0;0;0;0;
0408092;"Wielgie (2)";2;0;5;0;0;
0409000;"Powiat mogileński";5;3;0;0;1;
0409033;"Mogilno (3)";1;1;0;0;1;
0409034;"Mogilno - miasto (4)";1;1;0;0;1;
0409043;"Strzelno (3)";4;2;0;0;0;
0409044;"Strzelno - miasto (4)";4;2;0;0;0;
0410000;"Powiat nakielski";5;1;2;3;1;
0410013;"Kcynia (3)";1;0;1;1;0;
0410014;"Kcynia - miasto (4)";1;0;0;1;0;
0410015;"Kcynia - obszar wiejski (5)";0;0;1;0;0;
0410023;"Mrocza (3)";1;1;0;0;0;
0410024;"Mrocza - miasto (4)";1;1;0;0;0;
0410033;"Nakło nad Notecią (3)";2;0;0;0;1;
0410034;"Nakło nad Notecią - miasto (4)";1;0;0;0;1;
0410035;"Nakło nad Notecią - obszar wiejski (5)";1;0;0;0;0;
0410053;"Szubin (3)";1;0;1;2;0;
0410054;"Szubin - miasto (4)";1;0;1;2;0;
0411000;"Powiat radziejowski";4;0;2;0;1;
0411011;"Radziejów (1)";1;0;2;0;1;
0411032;"Dobre (2)";1;0;0;0;0;
0411042;"Osięciny (2)";1;0;0;0;0;
0411053;"Piotrków Kujawski (3)";1;0;0;0;0;
0411054;"Piotrków Kujawski - miasto (4)";1;0;0;0;0;
0412000;"Powiat rypiński";1;2;0;6;0;
0412011;"Rypin (1)";1;0;0;4;0;
0412032;"Rogowo (2)";0;0;0;1;0;
0412042;"Rypin (2)";0;0;0;1;0;
0412052;"Skrwilno (2)";0;1;0;0;0;
0412062;"Wąpielsk (2)";0;1;0;0;0;
0413000;"Powiat sępoleński";3;1;0;1;0;
0413013;"Kamień Krajeński (3)";1;0;0;0;0;
0413014;"Kamień Krajeński - miasto (4)";1;0;0;0;0;
0413023;"Sępólno Krajeńskie (3)";1;1;0;0;0;
0413024;"Sępólno Krajeńskie - miasto (4)";1;1;0;0;0;
0413043;"Więcbork (3)";1;0;0;1;0;
0413044;"Więcbork - miasto (4)";1;0;0;1;0;
0414000;"Powiat świecki";13;2;2;6;1;
0414022;"Dragacz (2)";1;0;0;0;0;
0414032;"Drzycim (2)";1;0;0;2;0;
0414042;"Jeżewo (2)";1;0;0;0;0;
0414063;"Nowe (3)";2;1;0;0;0;
0414064;"Nowe - miasto (4)";2;1;0;0;0;
0414072;"Osie (2)";1;0;0;0;0;
0414082;"Pruszcz (2)";3;0;0;0;0;
0414093;"Świecie (3)";2;1;2;4;1;
0414094;"Świecie - miasto (4)";2;1;2;4;1;
0414102;"Świekatowo (2)";1;0;0;0;0;
0414112;"Warlubie (2)";1;0;0;0;0;
0415000;"Powiat toruński";3;1;1;0;1;
0415011;"Chełmża (1)";1;1;1;0;1;
0415032;"Czernikowo (2)";1;0;0;0;0;
0415062;"Łysomice (2)";1;0;0;0;0;
0416000;"Powiat tucholski";3;4;0;5;0;
0416012;"Cekcyn (2)";0;1;0;0;0;
0416022;"Gostycyn (2)";1;1;0;1;0;
0416032;"Kęsowo (2)";0;1;0;0;0;
0416042;"Lubiewo (2)";0;0;0;3;0;
0416052;"Śliwice (2)";1;0;0;0;0;
0416063;"Tuchola (3)";1;1;0;1;0;
0416064;"Tuchola - miasto (4)";1;1;0;1;0;
0417000;"Powiat wąbrzeski";2;0;0;0;1;
0417011;"Wąbrzeźno (1)";1;0;0;0;1;
0417042;"Płużnica (2)";1;0;0;0;0;
0418000;"Powiat włocławski";8;5;2;6;0;
0418022;"Baruchowo (2)";1;1;0;2;0;
0418032;"Boniewo (2)";0;1;0;0;0;
0418043;"Brześć Kujawski (3)";1;1;1;2;0;
0418044;"Brześć Kujawski - miasto (4)";1;0;1;2;0;
0418045;"Brześć Kujawski - obszar wiejski (5)";0;1;0;0;0;
0418052;"Choceń (2)";1;1;1;0;0;
0418072;"Fabianki (2)";1;0;0;0;0;
0418083;"Izbica Kujawska (3)";1;1;0;0;0;
0418084;"Izbica Kujawska - miasto (4)";1;1;0;0;0;
0418092;"Kowal (2)";1;0;0;0;0;
0418102;"Lubanie (2)";1;0;0;0;0;
0418123;"Lubraniec (3)";1;0;0;0;0;
0418124;"Lubraniec - miasto (4)";1;0;0;0;0;
0418132;"Włocławek (2)";0;0;0;2;0;
0419000;"Powiat żniński";7;2;0;1;2;
0419013;"Barcin (3)";4;1;0;0;2;
0419014;"Barcin - miasto (4)";2;1;0;0;2;
0419015;"Barcin - obszar wiejski (5)";2;0;0;0;0;
0419033;"Janowiec Wielkopolski (3)";1;0;0;0;0;
0419034;"Janowiec Wielkopolski - miasto (4)";1;0;0;0;0;
0419043;"Łabiszyn (3)";1;0;0;0;0;
0419044;"Łabiszyn - miasto (4)";1;0;0;0;0;
0419052;"Rogowo (2)";0;1;0;0;0;
0419063;"Żnin (3)";1;0;0;1;0;
0419064;"Żnin - miasto (4)";1;0;0;1;0;
0461000;"Powiat m.Bydgoszcz";11;4;17;32;3;
0461011;"Bydgoszcz (1)";11;4;17;32;3;
0462000;"Powiat m.Grudziądz";3;3;1;2;0;
0462011;"Grudziądz (1)";3;3;1;2;0;
0463000;"Powiat m.Toruń";2;3;6;21;2;
0463011;"Toruń (1)";2;3;6;21;2;
0464000;"Powiat m.Włocławek";1;1;0;7;3;
0464011;"Włocławek (1)";1;1;0;7;3;
0600000;"LUBELSKIE";122;30;69;64;21;
0601000;"Powiat bialski";10;2;4;5;0;
0601011;"Międzyrzec Podlaski (1)";1;0;0;1;0;
0601021;"Terespol (1)";1;1;0;1;0;
0601062;"Kodeń (2)";0;0;0;1;0;
0601072;"Konstantynów (2)";1;0;1;0;0;
0601082;"Leśna Podlaska (2)";0;1;0;0;0;
0601092;"Łomazy (2)";1;0;0;0;0;
0601112;"Piszczac (2)";1;0;0;1;0;
0601132;"Rossosz (2)";0;0;1;1;0;
0601142;"Sławatycze (2)";3;0;0;0;0;
0601162;"Terespol (2)";0;0;2;0;0;
0601182;"Wisznice (2)";2;0;0;0;0;
0602000;"Powiat biłgorajski";10;1;4;3;0;
0602011;"Biłgoraj (1)";1;1;1;3;0;
0602032;"Biłgoraj (2)";2;0;0;0;0;
0602042;"Biszcza (2)";3;0;3;0;0;
0602053;"Frampol (3)";1;0;0;0;0;
0602055;"Frampol - obszar wiejski (5)";1;0;0;0;0;
0602073;"Józefów (3)";1;0;0;0;0;
0602074;"Józefów - miasto (4)";1;0;0;0;0;
0602123;"Tarnogród (3)";2;0;0;0;0;
0602124;"Tarnogród - miasto (4)";1;0;0;0;0;
0602125;"Tarnogród - obszar wiejski (5)";1;0;0;0;0;
0603000;"Powiat chełmski";5;1;3;5;0;
0603011;"Rejowiec Fabryczny (1)";1;0;0;1;0;
0603032;"Chełm (2)";0;1;0;1;0;
0603062;"Kamień (2)";1;0;0;0;0;
0603082;"Rejowiec Fabryczny (2)";0;0;1;1;0;
0603113;"Siedliszcze (3)";2;0;0;1;0;
0603114;"Siedliszcze - miasto (4)";1;0;0;1;0;
0603115;"Siedliszcze - obszar wiejski (5)";1;0;0;0;0;
0603122;"Wierzbica (2)";1;0;1;1;0;
0603153;"Rejowiec (3)";0;0;1;0;0;
0603154;"Rejowiec - miasto (4)";0;0;1;0;0;
0604000;"Powiat hrubieszowski";7;2;0;0;0;
0604011;"Hrubieszów (1)";1;1;0;0;0;
0604032;"Horodło (2)";1;0;0;0;0;
0604052;"Mircze (2)";3;0;0;0;0;
0604062;"Trzeszczany (2)";1;0;0;0;0;
0604082;"Werbkowice (2)";1;1;0;0;0;
0605000;"Powiat janowski";1;2;3;0;1;
0605012;"Batorz (2)";0;1;1;0;0;
0605032;"Dzwola (2)";0;1;2;0;0;
0605053;"Janów Lubelski (3)";1;0;0;0;1;
0605054;"Janów Lubelski - miasto (4)";1;0;0;0;1;
0606000;"Powiat krasnostawski";6;0;2;1;1;
0606011;"Krasnystaw (1)";1;0;1;1;1;
0606032;"Gorzków (2)";1;0;0;0;0;
0606042;"Izbica (2)";1;0;0;0;0;
0606052;"Krasnystaw (2)";1;0;0;0;0;
0606062;"Kraśniczyn (2)";1;0;0;0;0;
0606092;"Rudnik (2)";0;0;1;0;0;
0606102;"Siennica Różana (2)";1;0;0;0;0;
0607000;"Powiat kraśnicki";12;1;1;5;2;
0607011;"Kraśnik (1)";3;0;1;3;2;
0607023;"Annopol (3)";1;0;0;0;0;
0607024;"Annopol - miasto (4)";1;0;0;0;0;
0607042;"Gościeradów (2)";1;0;0;0;0;
0607052;"Kraśnik (2)";1;0;0;0;0;
0607062;"Szastarka (2)";1;0;0;0;0;
0607072;"Trzydnik Duży (2)";3;1;0;1;0;
0607083;"Urzędów (3)";1;0;0;0;0;
0607084;"Urzędów - miasto (4)";1;0;0;0;0;
0607092;"Wilkołaz (2)";1;0;0;1;0;
0608000;"Powiat lubartowski";4;0;4;0;2;
0608011;"Lubartów (1)";1;0;1;0;1;
0608022;"Abramów (2)";0;0;3;0;0;
0608063;"Kock (3)";1;0;0;0;0;
0608064;"Kock - miasto (4)";1;0;0;0;0;
0608072;"Lubartów (2)";2;0;0;0;1;
0609000;"Powiat lubelski";5;1;3;2;1;
0609013;"Bełżyce (3)";0;1;2;2;1;
0609014;"Bełżyce - miasto (4)";0;1;2;2;1;
0609033;"Bychawa (3)";1;0;0;0;0;
0609034;"Bychawa - miasto (4)";1;0;0;0;0;
0609052;"Głusk (2)";1;0;0;0;0;
0609082;"Konopnica (2)";1;0;0;0;0;
0609122;"Strzyżewice (2)";2;0;0;0;0;
0609142;"Wólka (2)";0;0;1;0;0;
0610000;"Powiat łęczyński";2;3;1;1;0;
0610022;"Ludwin (2)";0;1;0;0;0;
0610033;"Łęczna (3)";1;2;0;1;0;
0610034;"Łęczna - miasto (4)";1;1;0;1;0;
0610035;"Łęczna - obszar wiejski (5)";0;1;0;0;0;
0610042;"Milejów (2)";1;0;0;0;0;
0610062;"Spiczyn (2)";0;0;1;0;0;
0611000;"Powiat łukowski";6;0;0;4;1;
0611011;"Łuków (1)";1;0;0;2;1;
0611021;"Stoczek Łukowski (1)";1;0;0;0;0;
0611042;"Krzywda (2)";3;0;0;0;0;
0611052;"Łuków (2)";0;0;0;2;0;
0611102;"Wojcieszków (2)";1;0;0;0;0;
0612000;"Powiat opolski";3;0;0;1;1;
0612023;"Józefów nad Wisłą (3)";1;0;0;0;0;
0612024;"Józefów nad Wisłą - miasto (4)";1;0;0;0;0;
0612063;"Poniatowa (3)";1;0;0;1;1;
0612064;"Poniatowa - miasto (4)";1;0;0;1;1;
0612072;"Wilków (2)";1;0;0;0;0;
0613000;"Powiat parczewski";5;2;2;2;1;
0613022;"Jabłoń (2)";1;1;1;0;0;
0613032;"Milanów (2)";1;0;0;0;0;
0613043;"Parczew (3)";1;1;1;2;1;
0613044;"Parczew - miasto (4)";1;1;1;2;1;
0613062;"Siemień (2)";1;0;0;0;0;
0613072;"Sosnowica (2)";1;0;0;0;0;
0614000;"Powiat puławski";5;1;0;6;1;
0614011;"Puławy (1)";1;1;0;6;1;
0614043;"Kazimierz Dolny (3)";1;0;0;0;0;
0614045;"Kazimierz Dolny - obszar wiejski (5)";1;0;0;0;0;
0614052;"Końskowola (2)";1;0;0;0;0;
0614062;"Kurów (2)";1;0;0;0;0;
