"Kod";"Nazwa";"ogółem;2020;[ob.]";
0610033;"Łęczna (3)";3;
0610034;"Łęczna - miasto (4)";2;
0610035;"Łęczna - obszar wiejski (5)";1;
0610042;"Milejów (2)";5;
0610052;"Puchaczów (2)";3;
0610062;"Spiczyn (2)";5;
0611000;"Powiat łukowski";66;
0611011;"Łuków (1)";7;
0611021;"Stoczek Łukowski (1)";1;
0611032;"Adamów (2)";2;
0611042;"Krzywda (2)";7;
0611052;"Łuków (2)";13;
0611062;"Serokomla (2)";2;
0611072;"Stanin (2)";8;
0611082;"Stoczek Łukowski (2)";8;
0611092;"Trzebieszów (2)";6;
0611102;"Wojcieszków (2)";7;
0611112;"Wola Mysłowska (2)";5;
0612000;"Powiat opolski";32;
0612012;"Chodel (2)";3;
0612023;"Józefów nad Wisłą (3)";4;
0612024;"Józefów nad Wisłą - miasto (4)";1;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";3;
0612032;"Karczmiska (2)";3;
0612042;"Łaziska (2)";5;
0612053;"Opole Lubelskie (3)";8;
0612054;"Opole Lubelskie - miasto (4)";2;
0612055;"Opole Lubelskie - obszar wiejski (5)";6;
0612063;"Poniatowa (3)";6;
0612064;"Poniatowa - miasto (4)";1;
0612065;"Poniatowa - obszar wiejski (5)";5;
0612072;"Wilków (2)";3;
0613000;"Powiat parczewski";22;
0613012;"Dębowa Kłoda (2)";2;
0613022;"Jabłoń (2)";5;
0613032;"Milanów (2)";4;
0613043;"Parczew (3)";5;
0613044;"Parczew - miasto (4)";3;
0613045;"Parczew - obszar wiejski (5)";2;
0613052;"Podedwórze (2)";1;
0613062;"Siemień (2)";4;
0613072;"Sosnowica (2)";1;
0614000;"Powiat puławski";48;
0614011;"Puławy (1)";17;
0614022;"Baranów (2)";1;
0614032;"Janowiec (2)";1;
0614043;"Kazimierz Dolny (3)";6;
0614044;"Kazimierz Dolny - miasto (4)";3;
0614045;"Kazimierz Dolny - obszar wiejski (5)";3;
0614052;"Końskowola (2)";3;
0614062;"Kurów (2)";3;
0614072;"Markuszów (2)";1;
0614083;"Nałęczów (3)";4;
0614084;"Nałęczów - miasto (4)";1;
0614085;"Nałęczów - obszar wiejski (5)";3;
0614092;"Puławy (2)";7;
0614102;"Wąwolnica (2)";2;
0614112;"Żyrzyn (2)";3;
0615000;"Powiat radzyński";36;
0615011;"Radzyń Podlaski (1)";3;
0615022;"Borki (2)";5;
0615032;"Czemierniki (2)";1;
0615042;"Kąkolewnica (2)";5;
0615052;"Komarówka Podlaska (2)";2;
0615062;"Radzyń Podlaski (2)";7;
0615072;"Ulan-Majorat (2)";7;
0615082;"Wohyń (2)";6;
0616000;"Powiat rycki";30;
0616011;"Dęblin (1)";5;
0616022;"Kłoczew (2)";5;
0616032;"Nowodwór (2)";4;
0616043;"Ryki (3)";11;
0616044;"Ryki - miasto (4)";2;
0616045;"Ryki - obszar wiejski (5)";9;
0616052;"Stężyca (2)";3;
0616062;"Ułęż (2)";2;
0617000;"Powiat świdnicki";21;
0617011;"Świdnik (1)";5;
0617022;"Mełgiew (2)";6;
0617033;"Piaski (3)";4;
0617034;"Piaski - miasto (4)";1;
0617035;"Piaski - obszar wiejski (5)";3;
0617042;"Rybczewice (2)";1;
0617052;"Trawniki (2)";5;
0618000;"Powiat tomaszowski";47;
0618011;"Tomaszów Lubelski (1)";6;
0618022;"Bełżec (2)";1;
0618032;"Jarczów (2)";2;
0618042;"Krynice (2)";3;
0618053;"Lubycza Królewska (3)";2;
0618054;"Lubycza Królewska - miasto (4)";1;
0618055;"Lubycza Królewska - obszar wiejski (5)";1;
0618063;"Łaszczów (3)";4;
0618064;"Łaszczów - miasto (4)";1;
0618065;"Łaszczów - obszar wiejski (5)";3;
0618072;"Rachanie (2)";3;
0618082;"Susiec (2)";5;
0618092;"Tarnawatka (2)";2;
0618102;"Telatyn (2)";1;
0618112;"Tomaszów Lubelski (2)";11;
0618123;"Tyszowce (3)";4;
0618124;"Tyszowce - miasto (4)";1;
0618125;"Tyszowce - obszar wiejski (5)";3;
0618132;"Ulhówek (2)";3;
0619000;"Powiat włodawski";22;
0619011;"Włodawa (1)";5;
0619022;"Hanna (2)";4;
0619032;"Hańsk (2)";1;
0619042;"Stary Brus (2)";1;
0619052;"Urszulin (2)";3;
0619062;"Włodawa (2)";3;
0619072;"Wola Uhruska (2)";3;
0619082;"Wyryki (2)";2;
0620000;"Powiat zamojski";59;
0620012;"Adamów (2)";2;
0620022;"Grabowiec (2)";1;
0620032;"Komarów-Osada (2)";4;
0620043;"Krasnobród (3)";4;
0620044;"Krasnobród - miasto (4)";2;
0620045;"Krasnobród - obszar wiejski (5)";2;
0620052;"Łabunie (2)";2;
0620062;"Miączyn (2)";6;
0620072;"Nielisz (2)";2;
0620082;"Radecznica (2)";4;
0620092;"Sitno (2)";6;
0620102;"Skierbieszów (2)";3;
0620112;"Stary Zamość (2)";2;
0620122;"Sułów (2)";3;
0620133;"Szczebrzeszyn (3)";6;
0620134;"Szczebrzeszyn - miasto (4)";2;
0620135;"Szczebrzeszyn - obszar wiejski (5)";4;
0620142;"Zamość (2)";12;
0620153;"Zwierzyniec (3)";2;
0620154;"Zwierzyniec - miasto (4)";1;
0620155;"Zwierzyniec - obszar wiejski (5)";1;
0661000;"Powiat m.Biała Podlaska";12;
0661011;"Biała Podlaska (1)";12;
0662000;"Powiat m.Chełm";15;
0662011;"Chełm (1)";15;
0663000;"Powiat m.Lublin";67;
0663011;"Lublin (1)";67;
0664000;"Powiat m.Zamość";14;
0664011;"Zamość (1)";14;
0800000;"LUBUSKIE";360;
0801000;"Powiat gorzowski";30;
0801011;"Kostrzyn nad Odrą (1)";4;
0801022;"Bogdaniec (2)";4;
0801032;"Deszczno (2)";4;
0801042;"Kłodawa (2)";2;
0801052;"Lubiszyn (2)";5;
0801062;"Santok (2)";5;
0801073;"Witnica (3)";6;
0801074;"Witnica - miasto (4)";2;
0801075;"Witnica - obszar wiejski (5)";4;
0802000;"Powiat krośnieński";28;
0802011;"Gubin (1)";5;
0802022;"Bobrowice (2)";2;
0802032;"Bytnica (2)";1;
0802042;"Dąbie (2)";5;
0802052;"Gubin (2)";5;
0802063;"Krosno Odrzańskie (3)";7;
0802064;"Krosno Odrzańskie - miasto (4)";4;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";3;
0802072;"Maszewo (2)";3;
0803000;"Powiat międzyrzecki";19;
0803012;"Bledzew (2)";2;
0803023;"Międzyrzecz (3)";9;
0803024;"Międzyrzecz - miasto (4)";7;
0803025;"Międzyrzecz - obszar wiejski (5)";2;
0803032;"Przytoczna (2)";2;
0803042;"Pszczew (2)";1;
0803053;"Skwierzyna (3)";3;
0803054;"Skwierzyna - miasto (4)";1;
0803055;"Skwierzyna - obszar wiejski (5)";2;
0803063;"Trzciel (3)";2;
0803064;"Trzciel - miasto (4)";1;
0803065;"Trzciel - obszar wiejski (5)";1;
0804000;"Powiat nowosolski";24;
0804011;"Nowa Sól (1)";8;
0804023;"Bytom Odrzański (3)";1;
0804024;"Bytom Odrzański - miasto (4)";1;
0804032;"Kolsko (2)";2;
0804043;"Kożuchów (3)";4;
0804044;"Kożuchów - miasto (4)";2;
0804045;"Kożuchów - obszar wiejski (5)";2;
0804052;"Nowa Sól (2)";3;
0804063;"Nowe Miasteczko (3)";2;
0804064;"Nowe Miasteczko - miasto (4)";1;
0804065;"Nowe Miasteczko - obszar wiejski (5)";1;
0804073;"Otyń (3)";2;
0804074;"Otyń - miasto (4)";1;
0804075;"Otyń - obszar wiejski (5)";1;
0804082;"Siedlisko (2)";2;
0805000;"Powiat słubicki";18;
0805013;"Cybinka (3)";2;
0805014;"Cybinka - miasto (4)";1;
0805015;"Cybinka - obszar wiejski (5)";1;
0805022;"Górzyca (2)";3;
0805033;"Ośno Lubuskie (3)";3;
0805034;"Ośno Lubuskie - miasto (4)";2;
0805035;"Ośno Lubuskie - obszar wiejski (5)";1;
0805043;"Rzepin (3)";2;
0805044;"Rzepin - miasto (4)";1;
0805045;"Rzepin - obszar wiejski (5)";1;
0805053;"Słubice (3)";8;
0805054;"Słubice - miasto (4)";6;
0805055;"Słubice - obszar wiejski (5)";2;
0806000;"Powiat strzelecko-drezdenecki";24;
0806013;"Dobiegniew (3)";1;
0806014;"Dobiegniew - miasto (4)";1;
0806023;"Drezdenko (3)";11;
0806024;"Drezdenko - miasto (4)";3;
0806025;"Drezdenko - obszar wiejski (5)";8;
0806032;"Stare Kurowo (2)";2;
0806043;"Strzelce Krajeńskie (3)";7;
0806044;"Strzelce Krajeńskie - miasto (4)";3;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";4;
0806052;"Zwierzyn (2)";3;
0807000;"Powiat sulęciński";13;
0807012;"Krzeszyce (2)";2;
0807023;"Lubniewice (3)";1;
0807024;"Lubniewice - miasto (4)";1;
0807032;"Słońsk (2)";1;
0807043;"Sulęcin (3)";5;
0807044;"Sulęcin - miasto (4)";3;
0807045;"Sulęcin - obszar wiejski (5)";2;
0807053;"Torzym (3)";4;
0807054;"Torzym - miasto (4)";1;
0807055;"Torzym - obszar wiejski (5)";3;
0808000;"Powiat świebodziński";21;
0808012;"Lubrza (2)";2;
0808022;"Łagów (2)";3;
0808032;"Skąpe (2)";3;
0808042;"Szczaniec (2)";2;
0808053;"Świebodzin (3)";8;
0808054;"Świebodzin - miasto (4)";7;
0808055;"Świebodzin - obszar wiejski (5)";1;
0808063;"Zbąszynek (3)";3;
0808064;"Zbąszynek - miasto (4)";1;
0808065;"Zbąszynek - obszar wiejski (5)";2;
0809000;"Powiat zielonogórski";35;
0809013;"Babimost (3)";4;
0809014;"Babimost - miasto (4)";2;
0809015;"Babimost - obszar wiejski (5)";2;
0809022;"Bojadła (2)";2;
0809033;"Czerwieńsk (3)";5;
0809034;"Czerwieńsk - miasto (4)";1;
0809035;"Czerwieńsk - obszar wiejski (5)";4;
0809043;"Kargowa (3)";2;
0809044;"Kargowa - miasto (4)";1;
0809045;"Kargowa - obszar wiejski (5)";1;
0809053;"Nowogród Bobrzański (3)";4;
0809054;"Nowogród Bobrzański - miasto (4)";2;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";2;
0809063;"Sulechów (3)";9;
0809064;"Sulechów - miasto (4)";4;
0809065;"Sulechów - obszar wiejski (5)";5;
0809072;"Świdnica (2)";3;
0809082;"Trzebiechów (2)";1;
0809092;"Zabór (2)";5;
0810000;"Powiat żagański";32;
0810011;"Gozdnica (1)";1;
0810021;"Żagań (1)";7;
0810032;"Brzeźnica (2)";3;
0810043;"Iłowa (3)";2;
0810044;"Iłowa - miasto (4)";1;
0810045;"Iłowa - obszar wiejski (5)";1;
0810053;"Małomice (3)";2;
0810054;"Małomice - miasto (4)";1;
0810055;"Małomice - obszar wiejski (5)";1;
0810062;"Niegosławice (2)";2;
0810073;"Szprotawa (3)";9;
0810074;"Szprotawa - miasto (4)";4;
0810075;"Szprotawa - obszar wiejski (5)";5;
0810082;"Wymiarki (2)";1;
0810092;"Żagań (2)";5;
0811000;"Powiat żarski";40;
0811011;"Łęknica (1)";1;
0811021;"Żary (1)";12;
0811032;"Brody (2)";1;
0811043;"Jasień (3)";2;
0811044;"Jasień - miasto (4)";1;
0811045;"Jasień - obszar wiejski (5)";1;
0811052;"Lipinki Łużyckie (2)";1;
0811063;"Lubsko (3)";9;
0811064;"Lubsko - miasto (4)";7;
0811065;"Lubsko - obszar wiejski (5)";2;
0811072;"Przewóz (2)";2;
0811082;"Trzebiel (2)";4;
0811092;"Tuplice (2)";1;
0811102;"Żary (2)";7;
0812000;"Powiat wschowski";18;
0812013;"Sława (3)";6;
0812014;"Sława - miasto (4)";2;
0812015;"Sława - obszar wiejski (5)";4;
0812023;"Szlichtyngowa (3)";3;
0812024;"Szlichtyngowa - miasto (4)";1;
0812025;"Szlichtyngowa - obszar wiejski (5)";2;
0812033;"Wschowa (3)";9;
0812034;"Wschowa - miasto (4)";4;
0812035;"Wschowa - obszar wiejski (5)";5;
0861000;"Powiat m.Gorzów Wielkopolski";27;
0861011;"Gorzów Wielkopolski (1)";27;
0862000;"Powiat m.Zielona Góra";31;
0862011;"Zielona Góra (1)";31;
1000000;"ŁÓDZKIE";886;
1001000;"Powiat bełchatowski";38;
1001011;"Bełchatów (1)";10;
1001022;"Bełchatów (2)";7;
1001032;"Drużbice (2)";3;
1001042;"Kleszczów (2)";2;
1001052;"Kluki (2)";3;
1001062;"Rusiec (2)";2;
1001072;"Szczerców (2)";4;
1001083;"Zelów (3)";7;
1001084;"Zelów - miasto (4)";3;
1001085;"Zelów - obszar wiejski (5)";4;
1002000;"Powiat kutnowski";38;
1002011;"Kutno (1)";10;
1002022;"Bedlno (2)";5;
1002032;"Dąbrowice (2)";1;
1002043;"Krośniewice (3)";3;
1002044;"Krośniewice - miasto (4)";1;
1002045;"Krośniewice - obszar wiejski (5)";2;
1002052;"Krzyżanów (2)";3;
1002062;"Kutno (2)";5;
1002072;"Łanięta (2)";1;
1002082;"Nowe Ostrowy (2)";2;
1002092;"Oporów (2)";2;
1002102;"Strzelce (2)";1;
1002113;"Żychlin (3)";5;
1002114;"Żychlin - miasto (4)";3;
1002115;"Żychlin - obszar wiejski (5)";2;
1003000;"Powiat łaski";19;
1003012;"Buczek (2)";2;
1003023;"Łask (3)";10;
1003024;"Łask - miasto (4)";4;
1003025;"Łask - obszar wiejski (5)";6;
1003032;"Sędziejowice (2)";2;
1003042;"Widawa (2)";3;
1003052;"Wodzierady (2)";2;
1004000;"Powiat łęczycki";24;
1004011;"Łęczyca (1)";4;
1004022;"Daszyna (2)";2;
1004032;"Góra Świętej Małgorzaty (2)";2;
1004042;"Grabów (2)";4;
1004052;"Łęczyca (2)";5;
1004063;"Piątek (3)";2;
1004064;"Piątek - miasto (4)";1;
1004065;"Piątek - obszar wiejski (5)";1;
1004072;"Świnice Warckie (2)";4;
1004082;"Witonia (2)";1;
1005000;"Powiat łowicki";38;
1005011;"Łowicz (1)";8;
1005022;"Bielawy (2)";4;
1005032;"Chąśno (2)";2;
1005042;"Domaniewice (2)";2;
1005052;"Kiernozia (2)";2;
1005062;"Kocierzew Południowy (2)";3;
1005072;"Łowicz (2)";5;
1005082;"Łyszkowice (2)";4;
1005092;"Nieborów (2)";6;
1005102;"Zduny (2)";2;
1006000;"Powiat łódzki wschodni";23;
1006022;"Andrespol (2)";3;
1006032;"Brójce (2)";3;
1006073;"Koluszki (3)";7;
1006074;"Koluszki - miasto (4)";3;
1006075;"Koluszki - obszar wiejski (5)";4;
1006082;"Nowosolna (2)";3;
1006103;"Rzgów (3)";3;
1006104;"Rzgów - miasto (4)";1;
1006105;"Rzgów - obszar wiejski (5)";2;
1006113;"Tuszyn (3)";4;
1006114;"Tuszyn - miasto (4)";2;
1006115;"Tuszyn - obszar wiejski (5)";2;
1007000;"Powiat opoczyński";48;
1007012;"Białaczów (2)";4;
1007023;"Drzewica (3)";5;
1007024;"Drzewica - miasto (4)";1;
1007025;"Drzewica - obszar wiejski (5)";4;
1007032;"Mniszków (2)";4;
1007043;"Opoczno (3)";18;
1007044;"Opoczno - miasto (4)";5;
1007045;"Opoczno - obszar wiejski (5)";13;
1007052;"Paradyż (2)";4;
1007062;"Poświętne (2)";3;
1007072;"Sławno (2)";8;
1007082;"Żarnów (2)";2;
1008000;"Powiat pabianicki";32;
1008011;"Konstantynów Łódzki (1)";5;
1008021;"Pabianice (1)";14;
1008032;"Dłutów (2)";1;
1008042;"Dobroń (2)";3;
1008052;"Ksawerów (2)";2;
1008062;"Lutomiersk (2)";3;
1008072;"Pabianice (2)";4;
1009000;"Powiat pajęczański";27;
1009013;"Działoszyn (3)";7;
1009014;"Działoszyn - miasto (4)";3;
1009015;"Działoszyn - obszar wiejski (5)";4;
1009022;"Kiełczygłów (2)";2;
1009032;"Nowa Brzeźnica (2)";3;
1009043;"Pajęczno (3)";3;
1009044;"Pajęczno - miasto (4)";2;
1009045;"Pajęczno - obszar wiejski (5)";1;
1009052;"Rząśnia (2)";3;
1009062;"Siemkowice (2)";3;
1009072;"Strzelce Wielkie (2)";3;
1009082;"Sulmierzyce (2)";3;
1010000;"Powiat piotrkowski";45;
1010012;"Aleksandrów (2)";3;
1010022;"Czarnocin (2)";2;
1010032;"Gorzkowice (2)";3;
1010042;"Grabica (2)";4;
1010052;"Łęki Szlacheckie (2)";2;
1010062;"Moszczenica (2)";6;
1010072;"Ręczno (2)";2;
1010082;"Rozprza (2)";6;
1010093;"Sulejów (3)";7;
1010094;"Sulejów - miasto (4)";2;
1010095;"Sulejów - obszar wiejski (5)";5;
1010102;"Wola Krzysztoporska (2)";6;
1010113;"Wolbórz (3)";4;
1010114;"Wolbórz - miasto (4)";1;
1010115;"Wolbórz - obszar wiejski (5)";3;
1011000;"Powiat poddębicki";15;
1011012;"Dalików (2)";2;
1011022;"Pęczniew (2)";2;
1011033;"Poddębice (3)";4;
1011034;"Poddębice - miasto (4)";1;
1011035;"Poddębice - obszar wiejski (5)";3;
1011043;"Uniejów (3)";3;
1011044;"Uniejów - miasto (4)";1;
1011045;"Uniejów - obszar wiejski (5)";2;
1011052;"Wartkowice (2)";2;
1011062;"Zadzim (2)";2;
1012000;"Powiat radomszczański";45;
1012011;"Radomsko (1)";11;
1012022;"Dobryszyce (2)";2;
1012032;"Gidle (2)";3;
1012042;"Gomunice (2)";2;
1012053;"Kamieńsk (3)";2;
1012054;"Kamieńsk - miasto (4)";1;
1012055;"Kamieńsk - obszar wiejski (5)";1;
1012062;"Kobiele Wielkie (2)";2;
1012072;"Kodrąb (2)";2;
1012082;"Lgota Wielka (2)";3;
1012092;"Ładzice (2)";3;
1012102;"Masłowice (2)";2;
1012113;"Przedbórz (3)";2;
1012114;"Przedbórz - miasto (4)";1;
1012115;"Przedbórz - obszar wiejski (5)";1;
1012122;"Radomsko (2)";5;
1012132;"Wielgomłyny (2)";3;
1012142;"Żytno (2)";3;
1013000;"Powiat rawski";24;
1013011;"Rawa Mazowiecka (1)";5;
1013023;"Biała Rawska (3)";7;
1013024;"Biała Rawska - miasto (4)";1;
1013025;"Biała Rawska - obszar wiejski (5)";6;
1013032;"Cielądz (2)";2;
1013042;"Rawa Mazowiecka (2)";5;
1013052;"Regnów (2)";1;
1013062;"Sadkowice (2)";4;
1014000;"Powiat sieradzki";54;
1014011;"Sieradz (1)";9;
1014023;"Błaszki (3)";6;
1014024;"Błaszki - miasto (4)";1;
1014025;"Błaszki - obszar wiejski (5)";5;
1014032;"Brąszewice (2)";5;
1014042;"Brzeźnio (2)";4;
1014052;"Burzenin (2)";2;
1014062;"Goszczanów (2)";4;
1014072;"Klonowa (2)";1;
1014082;"Sieradz (2)";5;
1014093;"Warta (3)";10;
1014094;"Warta - miasto (4)";2;
1014095;"Warta - obszar wiejski (5)";8;
1014102;"Wróblew (2)";4;
1014113;"Złoczew (3)";4;
1014114;"Złoczew - miasto (4)";1;
1014115;"Złoczew - obszar wiejski (5)";3;
1015000;"Powiat skierniewicki";33;
1015012;"Bolimów (2)";3;
1015022;"Głuchów (2)";6;
1015032;"Godzianów (2)";2;
1015042;"Kowiesy (2)";2;
1015052;"Lipce Reymontowskie (2)";3;
1015062;"Maków (2)";6;
1015072;"Nowy Kawęczyn (2)";3;
1015082;"Skierniewice (2)";6;
1015092;"Słupia (2)";2;
1016000;"Powiat tomaszowski";37;
1016011;"Tomaszów Mazowiecki (1)";15;
1016022;"Będków (2)";1;
1016032;"Budziszewice (2)";1;
1016042;"Czerniewice (2)";2;
1016052;"Inowłódz (2)";3;
1016062;"Lubochnia (2)";2;
1016072;"Rokiciny (2)";2;
1016082;"Rzeczyca (2)";3;
1016092;"Tomaszów Mazowiecki (2)";5;
1016102;"Ujazd (2)";2;
1016112;"Żelechlinek (2)";1;
1017000;"Powiat wieluński";44;
1017012;"Biała (2)";3;
1017022;"Czarnożyły (2)";4;
1017032;"Konopnica (2)";3;
1017042;"Mokrsko (2)";4;
1017052;"Osjaków (2)";3;
1017062;"Ostrówek (2)";4;
1017072;"Pątnów (2)";4;
1017082;"Skomlin (2)";1;
1017093;"Wieluń (3)";12;
1017094;"Wieluń - miasto (4)";5;
1017095;"Wieluń - obszar wiejski (5)";7;
1017102;"Wierzchlas (2)";6;
1018000;"Powiat wieruszowski";30;
1018012;"Bolesławiec (2)";4;
1018022;"Czastary (2)";3;
1018032;"Galewice (2)";5;
1018043;"Lututów (3)";4;
1018044;"Lututów - miasto (4)";2;
1018045;"Lututów - obszar wiejski (5)";2;
1018052;"Łubnice (2)";3;
1018062;"Sokolniki (2)";5;
1018073;"Wieruszów (3)";6;
1018074;"Wieruszów - miasto (4)";3;
1018075;"Wieruszów - obszar wiejski (5)";3;
1019000;"Powiat zduńskowolski";23;
1019011;"Zduńska Wola (1)";12;
1019023;"Szadek (3)";3;
1019024;"Szadek - miasto (4)";1;
1019025;"Szadek - obszar wiejski (5)";2;
1019032;"Zapolice (2)";2;
1019042;"Zduńska Wola (2)";6;
1020000;"Powiat zgierski";51;
1020011;"Głowno (1)";4;
1020021;"Ozorków (1)";4;
1020031;"Zgierz (1)";13;
1020043;"Aleksandrów Łódzki (3)";8;
1020044;"Aleksandrów Łódzki - miasto (4)";5;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";3;
1020052;"Głowno (2)";3;
1020062;"Ozorków (2)";3;
1020072;"Parzęczew (2)";2;
1020083;"Stryków (3)";7;
1020084;"Stryków - miasto (4)";2;
1020085;"Stryków - obszar wiejski (5)";5;
1020092;"Zgierz (2)";7;
1021000;"Powiat brzeziński";13;
1021011;"Brzeziny (1)";4;
1021022;"Brzeziny (2)";3;
1021032;"Dmosin (2)";3;
1021042;"Jeżów (2)";1;
1021052;"Rogów (2)";2;
1061000;"Powiat m.Łódź";154;
1061011;"Łódź (1)";154;
1062000;"Powiat m.Piotrków Trybunalski";21;
1062011;"Piotrków Trybunalski (1)";21;
1063000;"Powiat m.Skierniewice";10;
1063011;"Skierniewice (1)";10;
1200000;"MAŁOPOLSKIE";1520;
1201000;"Powiat bocheński";57;
1201011;"Bochnia (1)";6;
1201022;"Bochnia (2)";13;
1201032;"Drwinia (2)";5;
1201042;"Lipnica Murowana (2)";3;
1201052;"Łapanów (2)";6;
1201063;"Nowy Wiśnicz (3)";7;
1201064;"Nowy Wiśnicz - miasto (4)";2;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";5;
1201072;"Rzezawa (2)";8;
1201082;"Trzciana (2)";5;
1201092;"Żegocina (2)";4;
1202000;"Powiat brzeski";53;
1202012;"Borzęcin (2)";5;
1202023;"Brzesko (3)";13;
1202024;"Brzesko - miasto (4)";4;
1202025;"Brzesko - obszar wiejski (5)";9;
1202033;"Czchów (3)";8;
1202034;"Czchów - miasto (4)";1;
1202035;"Czchów - obszar wiejski (5)";7;
1202042;"Dębno (2)";11;
1202052;"Gnojnik (2)";5;
1202062;"Iwkowa (2)";5;
1202072;"Szczurowa (2)";6;
1203000;"Powiat chrzanowski";47;
1203013;"Alwernia (3)";7;
1203014;"Alwernia - miasto (4)";1;
1203015;"Alwernia - obszar wiejski (5)";6;
1203022;"Babice (2)";5;
1203033;"Chrzanów (3)";11;
1203034;"Chrzanów - miasto (4)";7;
1203035;"Chrzanów - obszar wiejski (5)";4;
1203043;"Libiąż (3)";7;
1203044;"Libiąż - miasto (4)";5;
1203045;"Libiąż - obszar wiejski (5)";2;
1203053;"Trzebinia (3)";17;
1203054;"Trzebinia - miasto (4)";9;
1203055;"Trzebinia - obszar wiejski (5)";8;
1204000;"Powiat dąbrowski";26;
1204012;"Bolesław (2)";1;
1204023;"Dąbrowa Tarnowska (3)";10;
1204024;"Dąbrowa Tarnowska - miasto (4)";3;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";7;
1204032;"Gręboszów (2)";1;
1204042;"Mędrzechów (2)";2;
1204052;"Olesno (2)";4;
1204062;"Radgoszcz (2)";3;
1204073;"Szczucin (3)";5;
1204074;"Szczucin - miasto (4)";1;
1204075;"Szczucin - obszar wiejski (5)";4;
1205000;"Powiat gorlicki";61;
1205011;"Gorlice (1)";6;
1205023;"Biecz (3)";11;
1205024;"Biecz - miasto (4)";2;
1205025;"Biecz - obszar wiejski (5)";9;
1205033;"Bobowa (3)";6;
1205034;"Bobowa - miasto (4)";1;
1205035;"Bobowa - obszar wiejski (5)";5;
1205042;"Gorlice (2)";11;
1205052;"Lipinki (2)";4;
1205062;"Łużna (2)";7;
1205072;"Moszczenica (2)";2;
1205082;"Ropa (2)";3;
1205092;"Sękowa (2)";4;
1205102;"Uście Gorlickie (2)";7;
1206000;"Powiat krakowski";137;
1206012;"Czernichów (2)";9;
1206022;"Igołomia-Wawrzeńczyce (2)";4;
1206032;"Iwanowice (2)";7;
1206042;"Jerzmanowice-Przeginia (2)";6;
1206052;"Kocmyrzów-Luborzyca (2)";9;
1206063;"Krzeszowice (3)";14;
1206064;"Krzeszowice - miasto (4)";2;
1206065;"Krzeszowice - obszar wiejski (5)";12;
1206072;"Liszki (2)";11;
1206082;"Michałowice (2)";3;
1206092;"Mogilany (2)";7;
1206103;"Skała (3)";6;
1206104;"Skała - miasto (4)";2;
1206105;"Skała - obszar wiejski (5)";4;
1206113;"Skawina (3)";21;
1206114;"Skawina - miasto (4)";9;
1206115;"Skawina - obszar wiejski (5)";12;
1206123;"Słomniki (3)";6;
1206124;"Słomniki - miasto (4)";1;
1206125;"Słomniki - obszar wiejski (5)";5;
1206132;"Sułoszowa (2)";4;
1206143;"Świątniki Górne (3)";6;
1206144;"Świątniki Górne - miasto (4)";1;
1206145;"Świątniki Górne - obszar wiejski (5)";5;
1206152;"Wielka Wieś (2)";6;
1206162;"Zabierzów (2)";12;
1206172;"Zielonki (2)";6;
1207000;"Powiat limanowski";87;
1207011;"Limanowa (1)";4;
1207021;"Mszana Dolna (1)";3;
1207032;"Dobra (2)";8;
1207042;"Jodłownik (2)";6;
1207052;"Kamienica (2)";7;
1207062;"Laskowa (2)";7;
1207072;"Limanowa (2)";17;
1207082;"Łukowica (2)";9;
1207092;"Mszana Dolna (2)";14;
1207102;"Niedźwiedź (2)";4;
1207112;"Słopnice (2)";4;
1207122;"Tymbark (2)";4;
1208000;"Powiat miechowski";22;
1208012;"Charsznica (2)";4;
1208022;"Gołcza (2)";3;
1208032;"Kozłów (2)";2;
1208042;"Książ Wielki (2)";3;
1208053;"Miechów (3)";7;
1208054;"Miechów - miasto (4)";2;
1208055;"Miechów - obszar wiejski (5)";5;
1208062;"Racławice (2)";1;
1208072;"Słaboszów (2)";2;
1209000;"Powiat myślenicki";61;
1209013;"Dobczyce (3)";7;
1209014;"Dobczyce - miasto (4)";2;
1209015;"Dobczyce - obszar wiejski (5)";5;
1209022;"Lubień (2)";4;
1209033;"Myślenice (3)";20;
1209034;"Myślenice - miasto (4)";6;
1209035;"Myślenice - obszar wiejski (5)";14;
1209042;"Pcim (2)";5;
1209052;"Raciechowice (2)";5;
1209062;"Siepraw (2)";4;
1209073;"Sułkowice (3)";6;
1209074;"Sułkowice - miasto (4)";2;
1209075;"Sułkowice - obszar wiejski (5)";4;
1209082;"Tokarnia (2)";5;
1209092;"Wiśniowa (2)";5;
1210000;"Powiat nowosądecki";136;
1210011;"Grybów (1)";2;
1210022;"Chełmiec (2)";15;
1210032;"Gródek nad Dunajcem (2)";8;
1210042;"Grybów (2)";15;
1210052;"Kamionka Wielka (2)";8;
1210062;"Korzenna (2)";12;
1210073;"Krynica-Zdrój (3)";10;
1210074;"Krynica-Zdrój - miasto (4)";2;
1210075;"Krynica-Zdrój - obszar wiejski (5)";8;
1210082;"Łabowa (2)";5;
1210092;"Łącko (2)";11;
1210102;"Łososina Dolna (2)";9;
1210113;"Muszyna (3)";8;
