"Kod";"Nazwa";"ogółem;2020;[osoba]";
1421000;"Powiat pruszkowski";26;
1421011;"Piastów (1)";26;
1421021;"Pruszków (1)";26;
1422000;"Powiat przasnyski";21;
1422011;"Przasnysz (1)";21;
1422023;"Chorzele (3)";17;
1422024;"Chorzele - miasto (4)";17;
1423000;"Powiat przysuski";24;
1423063;"Przysucha (3)";24;
1423064;"Przysucha - miasto (4)";24;
1424000;"Powiat pułtuski";24;
1424043;"Pułtusk (3)";26;
1424044;"Pułtusk - miasto (4)";26;
1424062;"Winnica (2)";19;
1425000;"Powiat radomski";26;
1425011;"Pionki (1)";26;
1425033;"Iłża (3)";27;
1425034;"Iłża - miasto (4)";27;
1427000;"Powiat sierpecki";24;
1427011;"Sierpc (1)";26;
1427052;"Sierpc (2)";22;
1427072;"Zawidz (2)";19;
1428000;"Powiat sochaczewski";23;
1428011;"Sochaczew (1)";23;
1428082;"Teresin (2)";23;
1429000;"Powiat sokołowski";25;
1429011;"Sokołów Podlaski (1)";25;
1430000;"Powiat szydłowiecki";15;
1430053;"Szydłowiec (3)";15;
1430054;"Szydłowiec - miasto (4)";15;
1432000;"Powiat warszawski zachodni";18;
1432013;"Błonie (3)";24;
1432014;"Błonie - miasto (4)";24;
1432022;"Izabelin (2)";2;
1432063;"Ożarów Mazowiecki (3)";22;
1432064;"Ożarów Mazowiecki - miasto (4)";22;
1433000;"Powiat węgrowski";28;
1433011;"Węgrów (1)";28;
1433053;"Łochów (3)";30;
1433054;"Łochów - miasto (4)";30;
1433072;"Sadowne (2)";20;
1434000;"Powiat wołomiński";20;
1434041;"Zielonka (1)";26;
1434062;"Jadów (2)";12;
1434093;"Radzymin (3)";26;
1434094;"Radzymin - miasto (4)";26;
1434113;"Tłuszcz (3)";14;
1434114;"Tłuszcz - miasto (4)";14;
1434123;"Wołomin (3)";16;
1434124;"Wołomin - miasto (4)";16;
1435000;"Powiat wyszkowski";24;
1435053;"Wyszków (3)";24;
1435054;"Wyszków - miasto (4)";24;
1436000;"Powiat zwoleński";25;
1436053;"Zwoleń (3)";25;
1436054;"Zwoleń - miasto (4)";25;
1437000;"Powiat żuromiński";24;
1437022;"Kuczbork-Osada (2)";24;
1437063;"Żuromin (3)";24;
1437064;"Żuromin - miasto (4)";24;
1438000;"Powiat żyrardowski";25;
1438011;"Żyrardów (1)";28;
1438023;"Mszczonów (3)";25;
1438024;"Mszczonów - miasto (4)";25;
1438052;"Wiskitki (2)";16;
1461000;"Powiat m.Ostrołęka";24;
1461011;"Ostrołęka (1)";24;
1462000;"Powiat m.Płock";22;
1462011;"Płock (1)";22;
1463000;"Powiat m.Radom";24;
1463011;"Radom (1)";24;
1464000;"Powiat m.Siedlce";24;
1464011;"Siedlce (1)";24;
1465000;"Powiat m. st. Warszawa";24;
1465011;"M.st.Warszawa od 2002 (1)";24;
1465048;"Bielany - dzielnica (8)";25;
1465058;"Mokotów - dzielnica (8)";26;
1465068;"Ochota - dzielnica (8)";24;
1465078;"Praga-Południe - dzielnica (8)";22;
1465088;"Praga-Północ - dzielnica (8)";24;
1465108;"Śródmieście - dzielnica (8)";24;
1465118;"Targówek - dzielnica (8)";26;
1465128;"Ursus - dzielnica (8)";26;
1465178;"Włochy - dzielnica (8)";27;
1465188;"Wola - dzielnica (8)";25;
1465198;"Żoliborz - dzielnica (8)";24;
1600000;"OPOLSKIE";25;
1601000;"Powiat brzeski";27;
1601011;"Brzeg (1)";27;
1601033;"Grodków (3)";26;
1601034;"Grodków - miasto (4)";26;
1602000;"Powiat głubczycki";18;
1602033;"Głubczyce (3)";18;
1602034;"Głubczyce - miasto (4)";18;
1603000;"Powiat kędzierzyńsko-kozielski";24;
1603011;"Kędzierzyn-Koźle (1)";24;
1603062;"Reńska Wieś (2)";0;
1604000;"Powiat kluczborski";25;
1604013;"Byczyna (3)";13;
1604014;"Byczyna - miasto (4)";13;
1604023;"Kluczbork (3)";26;
1604024;"Kluczbork - miasto (4)";27;
1604025;"Kluczbork - obszar wiejski (5)";19;
1605000;"Powiat krapkowicki";27;
1605023;"Krapkowice (3)";29;
1605024;"Krapkowice - miasto (4)";29;
1605053;"Zdzieszowice (3)";23;
1605054;"Zdzieszowice - miasto (4)";23;
1606000;"Powiat namysłowski";25;
1606023;"Namysłów (3)";25;
1606024;"Namysłów - miasto (4)";25;
1607000;"Powiat nyski";24;
1607013;"Głuchołazy (3)";26;
1607014;"Głuchołazy - miasto (4)";26;
1607053;"Nysa (3)";25;
1607054;"Nysa - miasto (4)";25;
1607063;"Otmuchów (3)";13;
1607064;"Otmuchów - miasto (4)";13;
1608000;"Powiat oleski";24;
1608013;"Dobrodzień (3)";15;
1608014;"Dobrodzień - miasto (4)";15;
1608023;"Gorzów Śląski (3)";29;
1608024;"Gorzów Śląski - miasto (4)";29;
1608033;"Olesno (3)";24;
1608034;"Olesno - miasto (4)";24;
1608043;"Praszka (3)";25;
1608044;"Praszka - miasto (4)";25;
1609000;"Powiat opolski";19;
1609032;"Dobrzeń Wielki (2)";23;
1609083;"Ozimek (3)";17;
1609084;"Ozimek - miasto (4)";17;
1609123;"Tułowice (3)";17;
1609124;"Tułowice - miasto (4)";17;
1610000;"Powiat prudnicki";24;
1610023;"Głogówek (3)";23;
1610024;"Głogówek - miasto (4)";23;
1610043;"Prudnik (3)";25;
1610044;"Prudnik - miasto (4)";25;
1611000;"Powiat strzelecki";26;
1611053;"Strzelce Opolskie (3)";27;
1611054;"Strzelce Opolskie - miasto (4)";27;
1611073;"Zawadzkie (3)";15;
1611074;"Zawadzkie - miasto (4)";15;
1661000;"Powiat m.Opole";25;
1661011;"Opole (1)";25;
1800000;"PODKARPACKIE";26;
1801000;"Powiat bieszczadzki";20;
1801083;"Ustrzyki Dolne (3)";20;
1801084;"Ustrzyki Dolne - miasto (4)";20;
1802000;"Powiat brzozowski";24;
1802013;"Brzozów (3)";24;
1802014;"Brzozów - miasto (4)";24;
1803000;"Powiat dębicki";27;
1803011;"Dębica (1)";28;
1803023;"Brzostek (3)";19;
1803025;"Brzostek - obszar wiejski (5)";19;
1803042;"Dębica (2)";23;
1804000;"Powiat jarosławski";27;
1804011;"Jarosław (1)";27;
1804021;"Radymno (1)";26;
1805000;"Powiat jasielski";29;
1805011;"Jasło (1)";29;
1805042;"Jasło (2)";19;
1806000;"Powiat kolbuszowski";27;
1806023;"Kolbuszowa (3)";27;
1806024;"Kolbuszowa - miasto (4)";28;
1806025;"Kolbuszowa - obszar wiejski (5)";23;
1807000;"Powiat krośnieński";19;
1807033;"Iwonicz-Zdrój (3)";22;
1807034;"Iwonicz-Zdrój - miasto (4)";23;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";22;
1807043;"Jedlicze (3)";20;
1807044;"Jedlicze - miasto (4)";20;
1807072;"Miejsce Piastowe (2)";17;
1808000;"Powiat leżajski";30;
1808011;"Leżajsk (1)";30;
1809000;"Powiat lubaczowski";25;
1809011;"Lubaczów (1)";27;
1809063;"Oleszyce (3)";19;
1809064;"Oleszyce - miasto (4)";19;
1810000;"Powiat łańcucki";20;
1810011;"Łańcut (1)";25;
1810042;"Łańcut (2)";12;
1810062;"Rakszawa (2)";9;
1811000;"Powiat mielecki";26;
1811011;"Mielec (1)";27;
1811073;"Przecław (3)";19;
1811075;"Przecław - obszar wiejski (5)";19;
1811083;"Radomyśl Wielki (3)";21;
1811084;"Radomyśl Wielki - miasto (4)";21;
1812000;"Powiat niżański";24;
1812032;"Jeżowe (2)";18;
1812053;"Nisko (3)";25;
1812054;"Nisko - miasto (4)";25;
1812063;"Rudnik nad Sanem (3)";26;
1812064;"Rudnik nad Sanem - miasto (4)";26;
1813000;"Powiat przemyski";17;
1813022;"Dubiecko (2)";17;
1814000;"Powiat przeworski";24;
1814011;"Przeworsk (1)";28;
1814053;"Kańczuga (3)";11;
1814054;"Kańczuga - miasto (4)";11;
1814092;"Zarzecze (2)";25;
1815000;"Powiat ropczycko-sędziszowski";28;
1815033;"Ropczyce (3)";30;
1815034;"Ropczyce - miasto (4)";30;
1815043;"Sędziszów Małopolski (3)";22;
1815044;"Sędziszów Małopolski - miasto (4)";22;
1816000;"Powiat rzeszowski";26;
1816011;"Dynów (1)";28;
1816063;"Głogów Małopolski (3)";11;
1816064;"Głogów Małopolski - miasto (4)";11;
1816113;"Sokołów Małopolski (3)";25;
1816114;"Sokołów Małopolski - miasto (4)";25;
1816122;"Świlcza (2)";28;
1817000;"Powiat sanocki";25;
1817011;"Sanok (1)";26;
1817082;"Zarszyn (2)";22;
1818000;"Powiat stalowowolski";25;
1818011;"Stalowa Wola (1)";25;
1819000;"Powiat strzyżowski";23;
1819012;"Czudec (2)";19;
1819043;"Strzyżów (3)";24;
1819044;"Strzyżów - miasto (4)";24;
1820000;"Powiat tarnobrzeski";24;
1820022;"Gorzyce (2)";24;
1820043;"Nowa Dęba (3)";23;
1820044;"Nowa Dęba - miasto (4)";23;
1821000;"Powiat leski";20;
1821033;"Lesko (3)";20;
1821034;"Lesko - miasto (4)";20;
1861000;"Powiat m.Krosno";26;
1861011;"Krosno (1)";26;
1862000;"Powiat m.Przemyśl";26;
1862011;"Przemyśl (1)";26;
1863000;"Powiat m.Rzeszów";27;
1863011;"Rzeszów (1)";27;
1864000;"Powiat m.Tarnobrzeg";26;
1864011;"Tarnobrzeg (1)";26;
2000000;"PODLASKIE";22;
2001000;"Powiat augustowski";26;
2001011;"Augustów (1)";26;
2002000;"Powiat białostocki";17;
2002023;"Czarna Białostocka (3)";10;
2002024;"Czarna Białostocka - miasto (4)";10;
2002063;"Łapy (3)";16;
2002064;"Łapy - miasto (4)";16;
2002093;"Supraśl (3)";22;
2002094;"Supraśl - miasto (4)";22;
2003000;"Powiat bielski";25;
2003011;"Bielsk Podlaski (1)";28;
2003072;"Rudka (2)";18;
2004000;"Powiat grajewski";24;
2004011;"Grajewo (1)";25;
2004022;"Grajewo (2)";23;
2004053;"Szczuczyn (3)";24;
2004054;"Szczuczyn - miasto (4)";21;
2004055;"Szczuczyn - obszar wiejski (5)";25;
2005000;"Powiat hajnowski";18;
2005011;"Hajnówka (1)";16;
2005022;"Białowieża (2)";23;
2006000;"Powiat kolneński";25;
2006011;"Kolno (1)";25;
2007000;"Powiat łomżyński";19;
2007052;"Piątnica (2)";19;
2008000;"Powiat moniecki";19;
2008013;"Goniądz (3)";7;
2008014;"Goniądz - miasto (4)";7;
2008063;"Mońki (3)";26;
2008064;"Mońki - miasto (4)";26;
2009000;"Powiat sejneński";18;
2009011;"Sejny (1)";18;
2010000;"Powiat siemiatycki";11;
2010023;"Drohiczyn (3)";14;
2010025;"Drohiczyn - obszar wiejski (5)";14;
2010092;"Siemiatycze (2)";10;
2011000;"Powiat sokólski";22;
2011022;"Janów (2)";19;
2011083;"Sokółka (3)";24;
2011084;"Sokółka - miasto (4)";24;
2011093;"Suchowola (3)";20;
2011094;"Suchowola - miasto (4)";20;
2012000;"Powiat suwalski";9;
2012052;"Raczki (2)";9;
2013000;"Powiat wysokomazowiecki";24;
2013011;"Wysokie Mazowieckie (1)";26;
2013023;"Ciechanowiec (3)";21;
2013024;"Ciechanowiec - miasto (4)";21;
2013033;"Czyżew (3)";25;
2013034;"Czyżew - miasto (4)";25;
2013082;"Sokoły (2)";12;
2014000;"Powiat zambrowski";26;
2014011;"Zambrów (1)";26;
2061000;"Powiat m.Białystok";24;
2061011;"Białystok (1)";24;
2062000;"Powiat m.Łomża";21;
2062011;"Łomża (1)";21;
2063000;"Powiat m.Suwałki";20;
2063011;"Suwałki (1)";20;
2200000;"POMORSKIE";24;
2201000;"Powiat bytowski";22;
2201023;"Bytów (3)";29;
2201024;"Bytów - miasto (4)";29;
2201063;"Miastko (3)";15;
2201064;"Miastko - miasto (4)";13;
2201065;"Miastko - obszar wiejski (5)";21;
2202000;"Powiat chojnicki";29;
2202011;"Chojnice (1)";29;
2202043;"Czersk (3)";28;
2202045;"Czersk - obszar wiejski (5)";28;
2203000;"Powiat człuchowski";20;
2203011;"Człuchów (1)";20;
2203023;"Czarne (3)";23;
2203024;"Czarne - miasto (4)";23;
2204000;"Powiat gdański";16;
2204011;"Pruszcz Gdański (1)";20;
2204042;"Pruszcz Gdański (2)";11;
2205000;"Powiat kartuski";28;
2205023;"Kartuzy (3)";29;
2205024;"Kartuzy - miasto (4)";29;
2205032;"Przodkowo (2)";25;
2205042;"Sierakowice (2)";28;
2205052;"Somonino (2)";30;
2205083;"Żukowo (3)";31;
2205084;"Żukowo - miasto (4)";31;
2206000;"Powiat kościerski";29;
2206011;"Kościerzyna (1)";29;
2207000;"Powiat kwidzyński";27;
2207011;"Kwidzyn (1)";27;
2207043;"Prabuty (3)";25;
2207044;"Prabuty - miasto (4)";25;
2208000;"Powiat lęborski";30;
2208011;"Lębork (1)";30;
2209000;"Powiat malborski";27;
2209011;"Malbork (1)";27;
2210000;"Powiat nowodworski";29;
2210023;"Nowy Dwór Gdański (3)";29;
2210024;"Nowy Dwór Gdański - miasto (4)";29;
2211000;"Powiat pucki";24;
2211031;"Puck (1)";25;
2211043;"Władysławowo (3)";21;
2211044;"Władysławowo - miasto (4)";21;
2211062;"Krokowa (2)";27;
2212000;"Powiat słupski";18;
2212011;"Ustka (1)";11;
2212053;"Kępice (3)";26;
2212055;"Kępice - obszar wiejski (5)";26;
2213000;"Powiat starogardzki";24;
2213021;"Skórcz (1)";28;
2213031;"Starogard Gdański (1)";23;
2213093;"Skarszewy (3)";30;
2213095;"Skarszewy - obszar wiejski (5)";30;
2213122;"Starogard Gdański (2)";22;
2214000;"Powiat tczewski";25;
2214011;"Tczew (1)";26;
2214023;"Gniew (3)";25;
2214024;"Gniew - miasto (4)";25;
2214062;"Tczew (2)";19;
2215000;"Powiat wejherowski";26;
2215011;"Reda (1)";25;
2215021;"Rumia (1)";23;
2215031;"Wejherowo (1)";26;
2216000;"Powiat sztumski";22;
2216013;"Dzierzgoń (3)";19;
2216014;"Dzierzgoń - miasto (4)";19;
2216053;"Sztum (3)";22;
2216054;"Sztum - miasto (4)";21;
2216055;"Sztum - obszar wiejski (5)";22;
2261000;"Powiat m.Gdańsk";23;
2261011;"Gdańsk (1)";23;
2262000;"Powiat m.Gdynia";25;
2262011;"Gdynia (1)";25;
2263000;"Powiat m.Słupsk";23;
2263011;"Słupsk (1)";23;
2264000;"Powiat m.Sopot";21;
2264011;"Sopot (1)";21;
2400000;"ŚLĄSKIE";24;
2401000;"Powiat będziński";27;
2401011;"Będzin (1)";27;
2401021;"Czeladź (1)";28;
2401031;"Wojkowice (1)";24;
2401073;"Siewierz (3)";28;
2401074;"Siewierz - miasto (4)";28;
2402000;"Powiat bielski";29;
2402043;"Czechowice-Dziedzice (3)";29;
2402044;"Czechowice-Dziedzice - miasto (4)";29;
2403000;"Powiat cieszyński";24;
2403011;"Cieszyn (1)";23;
2403021;"Ustroń (1)";25;
2403031;"Wisła (1)";25;
2403103;"Skoczów (3)";27;
2403104;"Skoczów - miasto (4)";25;
2403105;"Skoczów - obszar wiejski (5)";31;
2404000;"Powiat częstochowski";21;
2404032;"Janów (2)";16;
2404063;"Koniecpol (3)";26;
2404064;"Koniecpol - miasto (4)";26;
2405000;"Powiat gliwicki";28;
2405011;"Knurów (1)";28;
2405021;"Pyskowice (1)";21;
2406000;"Powiat kłobucki";21;
2406013;"Kłobuck (3)";21;
2406014;"Kłobuck - miasto (4)";21;
2407000;"Powiat lubliniecki";26;
2407011;"Lubliniec (1)";26;
2408000;"Powiat mikołowski";27;
2408011;"Łaziska Górne (1)";23;
2408021;"Mikołów (1)";29;
2408042;"Ornontowice (2)";25;
2409000;"Powiat myszkowski";25;
2409011;"Myszków (1)";26;
2409053;"Żarki (3)";23;
2409054;"Żarki - miasto (4)";23;
2410000;"Powiat pszczyński";24;
2410032;"Miedźna (2)";22;
2410042;"Pawłowice (2)";27;
2410053;"Pszczyna (3)";24;
2410054;"Pszczyna - miasto (4)";24;
2411000;"Powiat raciborski";25;
2411011;"Racibórz (1)";25;
2412000;"Powiat rybnicki";25;
2412013;"Czerwionka-Leszczyny (3)";25;
2412014;"Czerwionka-Leszczyny - miasto (4)";25;
2413000;"Powiat tarnogórski";25;
2413011;"Kalety (1)";7;
2413031;"Radzionków (1)";27;
2413041;"Tarnowskie Góry (1)";26;
2413072;"Świerklaniec (2)";21;
2413082;"Tworóg (2)";20;
2414000;"Powiat bieruńsko-lędziński";26;
2414011;"Bieruń (1)";27;
2414031;"Lędziny (1)";26;
2415000;"Powiat wodzisławski";27;
2415011;"Pszów (1)";26;
2415031;"Rydułtowy (1)";28;
2415041;"Wodzisław Śląski (1)";27;
2416000;"Powiat zawierciański";26;
2416011;"Poręba (1)";32;
2416021;"Zawiercie (1)";28;
2416053;"Łazy (3)";26;
2416054;"Łazy - miasto (4)";26;
2416102;"Żarnowiec (2)";18;
2417000;"Powiat żywiecki";28;
2417011;"Żywiec (1)";27;
2417092;"Milówka (2)";29;
2417152;"Węgierska Górka (2)";26;
2461000;"Powiat m.Bielsko-Biała";24;
2461011;"Bielsko-Biała (1)";24;
2462000;"Powiat m.Bytom";24;
2462011;"Bytom (1)";24;
2463000;"Powiat m.Chorzów";21;
2463011;"Chorzów (1)";21;
2464000;"Powiat m.Częstochowa";23;
2464011;"Częstochowa (1)";23;
2465000;"Powiat m.Dąbrowa Górnicza";28;
2465011;"Dąbrowa Górnicza (1)";28;
2466000;"Powiat m.Gliwice";27;
2466011;"Gliwice (1)";27;
2467000;"Powiat m.Jastrzębie-Zdrój";22;
2467011;"Jastrzębie-Zdrój (1)";22;
2468000;"Powiat m.Jaworzno";25;
2468011;"Jaworzno (1)";25;
2469000;"Powiat m.Katowice";21;
2469011;"Katowice (1)";21;
2470000;"Powiat m.Mysłowice";24;
2470011;"Mysłowice (1)";24;
2471000;"Powiat m.Piekary Śląskie";24;
2471011;"Piekary Śląskie (1)";24;
2472000;"Powiat m.Ruda Śląska";21;
2472011;"Ruda Śląska (1)";21;
2473000;"Powiat m.Rybnik";25;
2473011;"Rybnik (1)";25;
2474000;"Powiat m.Siemianowice Śląskie";26;
2474011;"Siemianowice Śląskie (1)";26;
2475000;"Powiat m.Sosnowiec";26;
2475011;"Sosnowiec (1)";26;
2476000;"Powiat m.Świętochłowice";19;
2476011;"Świętochłowice (1)";19;
2477000;"Powiat m.Tychy";23;
2477011;"Tychy (1)";23;
2478000;"Powiat m.Zabrze";23;
2478011;"Zabrze (1)";23;
2479000;"Powiat m.Żory";20;
2479011;"Żory (1)";20;
2600000;"ŚWIĘTOKRZYSKIE";24;
2601000;"Powiat buski";25;
2601013;"Busko-Zdrój (3)";25;
2601014;"Busko-Zdrój - miasto (4)";25;
2602000;"Powiat jędrzejowski";24;
2602023;"Jędrzejów (3)";25;
2602024;"Jędrzejów - miasto (4)";25;
2602063;"Sędziszów (3)";17;
2602064;"Sędziszów - miasto (4)";17;
2602065;"Sędziszów - obszar wiejski (5)";19;
2603000;"Powiat kazimierski";23;
2603033;"Kazimierza Wielka (3)";26;
2603034;"Kazimierza Wielka - miasto (4)";23;
2603035;"Kazimierza Wielka - obszar wiejski (5)";27;
2603053;"Skalbmierz (3)";15;
2603054;"Skalbmierz - miasto (4)";15;
2604000;"Powiat kielecki";24;
2604033;"Chęciny (3)";20;
2604034;"Chęciny - miasto (4)";20;
2604043;"Chmielnik (3)";25;
2604044;"Chmielnik - miasto (4)";25;
2604082;"Łopuszno (2)";28;
2604133;"Nowa Słupia (3)";14;
2604134;"Nowa Słupia - miasto (4)";14;
2604192;"Zagnańsk (2)";26;
2605000;"Powiat konecki";23;
2605033;"Końskie (3)";27;
2605034;"Końskie - miasto (4)";27;
2605083;"Stąporków (3)";11;
2605084;"Stąporków - miasto (4)";11;
2606000;"Powiat opatowski";26;
2606043;"Opatów (3)";25;
2606044;"Opatów - miasto (4)";25;
2606053;"Ożarów (3)";28;
2606054;"Ożarów - miasto (4)";28;
2607000;"Powiat ostrowiecki";27;
2607011;"Ostrowiec Świętokrzyski (1)";27;
2608000;"Powiat pińczowski";16;
2608043;"Pińczów (3)";15;
2608044;"Pińczów - miasto (4)";15;
2608052;"Złota (2)";17;
2609000;"Powiat sandomierski";25;
2609011;"Sandomierz (1)";25;
2609033;"Klimontów (3)";0;
2609034;"Klimontów - miasto (4)";0;
2610000;"Powiat skarżyski";24;
2610011;"Skarżysko-Kamienna (1)";26;
2610053;"Suchedniów (3)";2;
2610054;"Suchedniów - miasto (4)";2;
2611000;"Powiat starachowicki";28;
2611011;"Starachowice (1)";28;
2612000;"Powiat staszowski";24;
2612053;"Połaniec (3)";25;
2612054;"Połaniec - miasto (4)";25;
2612062;"Rytwiany (2)";14;
2612073;"Staszów (3)";27;
2612074;"Staszów - miasto (4)";27;
2613000;"Powiat włoszczowski";28;
2613063;"Włoszczowa (3)";28;
2613064;"Włoszczowa - miasto (4)";28;
2661000;"Powiat m.Kielce";23;
2661011;"Kielce (1)";23;
2800000;"WARMIŃSKO-MAZURSKIE";24;
2801000;"Powiat bartoszycki";24;
2801011;"Bartoszyce (1)";24;
2802000;"Powiat braniewski";21;
2802011;"Braniewo (1)";21;
2803000;"Powiat działdowski";25;
2803011;"Działdowo (1)";26;
2803022;"Działdowo (2)";25;
2803032;"Iłowo-Osada (2)";22;
2803043;"Lidzbark (3)";27;
2803044;"Lidzbark - miasto (4)";27;
2804000;"Powiat elbląski";25;
2804012;"Elbląg (2)";25;
2804073;"Pasłęk (3)";25;
2804074;"Pasłęk - miasto (4)";25;
2805000;"Powiat ełcki";24;
2805011;"Ełk (1)";24;
2806000;"Powiat giżycki";20;
2806011;"Giżycko (1)";20;
2807000;"Powiat iławski";27;
2807011;"Iława (1)";27;
2807021;"Lubawa (1)";27;
2807063;"Susz (3)";24;
2807064;"Susz - miasto (4)";24;
2808000;"Powiat kętrzyński";22;
2808011;"Kętrzyn (1)";25;
2808032;"Kętrzyn (2)";20;
2808053;"Reszel (3)";20;
2808054;"Reszel - miasto (4)";20;
2809000;"Powiat lidzbarski";24;
2809011;"Lidzbark Warmiński (1)";25;
2809053;"Orneta (3)";21;
2809054;"Orneta - miasto (4)";21;
2810000;"Powiat mrągowski";20;
2810011;"Mrągowo (1)";20;
2811000;"Powiat nidzicki";17;
2811022;"Janowo (2)";11;
2811043;"Nidzica (3)";18;
2811044;"Nidzica - miasto (4)";18;
2812000;"Powiat nowomiejski";25;
2812042;"Kurzętnik (2)";25;
2813000;"Powiat olecki";26;
2813043;"Olecko (3)";26;
2813044;"Olecko - miasto (4)";26;
2814000;"Powiat olsztyński";22;
2814023;"Biskupiec (3)";21;
2814024;"Biskupiec - miasto (4)";21;
2814033;"Dobre Miasto (3)";22;
2814034;"Dobre Miasto - miasto (4)";22;
2814093;"Olsztynek (3)";22;
2814094;"Olsztynek - miasto (4)";22;
2815000;"Powiat ostródzki";26;
2815011;"Ostróda (1)";28;
2815052;"Małdyty (2)";22;
2815083;"Morąg (3)";23;
2815084;"Morąg - miasto (4)";23;
2816000;"Powiat piski";23;
2816013;"Biała Piska (3)";21;
2816014;"Biała Piska - miasto (4)";21;
2816033;"Pisz (3)";22;
2816034;"Pisz - miasto (4)";22;
2816043;"Ruciane-Nida (3)";25;
2816044;"Ruciane-Nida - miasto (4)";25;
2817000;"Powiat szczycieński";27;
2817011;"Szczytno (1)";27;
2818000;"Powiat gołdapski";27;
2818033;"Gołdap (3)";27;
2818034;"Gołdap - miasto (4)";27;
2819000;"Powiat węgorzewski";24;
2819033;"Węgorzewo (3)";24;
2819034;"Węgorzewo - miasto (4)";24;
2861000;"Powiat m.Elbląg";27;
2861011;"Elbląg (1)";27;
2862000;"Powiat m.Olsztyn";24;
2862011;"Olsztyn (1)";24;
3000000;"WIELKOPOLSKIE";25;
3001000;"Powiat chodzieski";23;
3001011;"Chodzież (1)";21;
3001032;"Chodzież (2)";28;
3002000;"Powiat czarnkowsko-trzcianecki";20;
3002011;"Czarnków (1)";21;
3002022;"Czarnków (2)";26;
3002043;"Krzyż Wielkopolski (3)";26;
3002044;"Krzyż Wielkopolski - miasto (4)";26;
3002052;"Lubasz (2)";9;
3002073;"Trzcianka (3)";25;
3002074;"Trzcianka - miasto (4)";25;
3002083;"Wieleń (3)";22;
3002084;"Wieleń - miasto (4)";22;
3003000;"Powiat gnieźnieński";23;
3003011;"Gniezno (1)";23;
3003093;"Trzemeszno (3)";21;
3003094;"Trzemeszno - miasto (4)";21;
3003103;"Witkowo (3)";23;
3003104;"Witkowo - miasto (4)";23;
3004000;"Powiat gostyński";25;
3004023;"Gostyń (3)";26;
3004024;"Gostyń - miasto (4)";26;
3004033;"Krobia (3)";26;
3004034;"Krobia - miasto (4)";26;
3004052;"Piaski (2)";28;
3004063;"Pogorzela (3)";10;
3004064;"Pogorzela - miasto (4)";10;
3005000;"Powiat grodziski";27;
3005023;"Grodzisk Wielkopolski (3)";27;
3005024;"Grodzisk Wielkopolski - miasto (4)";27;
3006000;"Powiat jarociński";28;
3006023;"Jarocin (3)";28;
3006024;"Jarocin - miasto (4)";28;
3006025;"Jarocin - obszar wiejski (5)";30;
3007000;"Powiat kaliski";19;
3007062;"Lisków (2)";19;
3007083;"Opatówek (3)";19;
3007084;"Opatówek - miasto (4)";19;
3008000;"Powiat kępiński";26;
3008033;"Kępno (3)";26;
3008034;"Kępno - miasto (4)";26;
3009000;"Powiat kolski";21;
3009011;"Koło (1)";23;
3009063;"Kłodawa (3)";23;
3009064;"Kłodawa - miasto (4)";23;
3009072;"Koło (2)";21;
3009082;"Kościelec (2)";17;
3010000;"Powiat koniński";23;
3010103;"Sompolno (3)";21;
3010104;"Sompolno - miasto (4)";21;
3010112;"Stare Miasto (2)";24;
3011000;"Powiat kościański";25;
3011011;"Kościan (1)";24;
3011053;"Śmigiel (3)";26;
3011055;"Śmigiel - obszar wiejski (5)";26;
3012000;"Powiat krotoszyński";26;
3012033;"Koźmin Wielkopolski (3)";30;
3012034;"Koźmin Wielkopolski - miasto (4)";30;
3012043;"Krotoszyn (3)";26;
3012044;"Krotoszyn - miasto (4)";26;
3012063;"Zduny (3)";21;
3012064;"Zduny - miasto (4)";21;
3014000;"Powiat międzychodzki";23;
3014033;"Międzychód (3)";23;
3014034;"Międzychód - miasto (4)";23;
3014043;"Sieraków (3)";18;
3014044;"Sieraków - miasto (4)";18;
3015000;"Powiat nowotomyski";24;
3015012;"Kuślin (2)";24;
3015043;"Nowy Tomyśl (3)";26;
3015044;"Nowy Tomyśl - miasto (4)";26;
3015053;"Opalenica (3)";21;
3015054;"Opalenica - miasto (4)";21;
3015063;"Zbąszyń (3)";17;
3015064;"Zbąszyń - miasto (4)";17;
3016000;"Powiat obornicki";29;
3016013;"Oborniki (3)";27;
3016014;"Oborniki - miasto (4)";28;
3016015;"Oborniki - obszar wiejski (5)";27;
3016023;"Rogoźno (3)";33;
3016024;"Rogoźno - miasto (4)";33;
3017000;"Powiat ostrowski";30;
3017011;"Ostrów Wielkopolski (1)";31;
3017052;"Przygodzice (2)";24;
3018000;"Powiat ostrzeszowski";28;
3018073;"Ostrzeszów (3)";28;
3018074;"Ostrzeszów - miasto (4)";28;
3019000;"Powiat pilski";25;
3019011;"Piła (1)";25;
3019052;"Miasteczko Krajeńskie (2)";22;
3019083;"Wyrzysk (3)";25;
3019084;"Wyrzysk - miasto (4)";25;
3020000;"Powiat pleszewski";20;
3020063;"Pleszew (3)";20;
3020064;"Pleszew - miasto (4)";28;
3020065;"Pleszew - obszar wiejski (5)";12;
3021000;"Powiat poznański";22;
3021042;"Czerwonak (2)";22;
3021093;"Kórnik (3)";17;
3021094;"Kórnik - miasto (4)";17;
3021103;"Mosina (3)";22;
3021104;"Mosina - miasto (4)";22;
3021132;"Rokietnica (2)";23;
