"Kod";"Nazwa";"ludność korzystająca z sieci wodociągowej;2020;[osoba]";
0607072;"Trzydnik Duży (2)";5688;
0607083;"Urzędów (3)";8186;
0607084;"Urzędów - miasto (4)";1679;
0607085;"Urzędów - obszar wiejski (5)";6507;
0607092;"Wilkołaz (2)";3721;
0607102;"Zakrzówek (2)";5685;
0608000;"Powiat lubartowski";82015;
0608011;"Lubartów (1)";21161;
0608022;"Abramów (2)";3705;
0608032;"Firlej (2)";5063;
0608042;"Jeziorzany (2)";2558;
0608052;"Kamionka (2)";5670;
0608063;"Kock (3)";6168;
0608064;"Kock - miasto (4)";3213;
0608065;"Kock - obszar wiejski (5)";2955;
0608072;"Lubartów (2)";11471;
0608082;"Michów (2)";4832;
0608092;"Niedźwiada (2)";5797;
0608103;"Ostrów Lubelski (3)";4925;
0608104;"Ostrów Lubelski - miasto (4)";1918;
0608105;"Ostrów Lubelski - obszar wiejski (5)";3007;
0608112;"Ostrówek (2)";2962;
0608122;"Serniki (2)";4820;
0608132;"Uścimów (2)";2883;
0609000;"Powiat lubelski";127822;
0609013;"Bełżyce (3)";9225;
0609014;"Bełżyce - miasto (4)";5771;
0609015;"Bełżyce - obszar wiejski (5)";3454;
0609022;"Borzechów (2)";3700;
0609033;"Bychawa (3)";10835;
0609034;"Bychawa - miasto (4)";4631;
0609035;"Bychawa - obszar wiejski (5)";6204;
0609042;"Garbów (2)";7822;
0609052;"Głusk (2)";11621;
0609062;"Jabłonna (2)";7610;
0609072;"Jastków (2)";12543;
0609082;"Konopnica (2)";7462;
0609092;"Krzczonów (2)";3771;
0609102;"Niedrzwica Duża (2)";9132;
0609112;"Niemce (2)";17531;
0609122;"Strzyżewice (2)";7138;
0609132;"Wojciechów (2)";1312;
0609142;"Wólka (2)";12746;
0609152;"Wysokie (2)";3609;
0609162;"Zakrzew (2)";1765;
0610000;"Powiat łęczyński";55664;
0610012;"Cyców (2)";7674;
0610022;"Ludwin (2)";5204;
0610033;"Łęczna (3)";22966;
0610034;"Łęczna - miasto (4)";18513;
0610035;"Łęczna - obszar wiejski (5)";4453;
0610042;"Milejów (2)";8897;
0610052;"Puchaczów (2)";5384;
0610062;"Spiczyn (2)";5539;
0611000;"Powiat łukowski";97416;
0611011;"Łuków (1)";28037;
0611021;"Stoczek Łukowski (1)";2385;
0611032;"Adamów (2)";5357;
0611042;"Krzywda (2)";10311;
0611052;"Łuków (2)";16705;
0611062;"Serokomla (2)";3258;
0611072;"Stanin (2)";7960;
0611082;"Stoczek Łukowski (2)";7155;
0611092;"Trzebieszów (2)";6724;
0611102;"Wojcieszków (2)";5674;
0611112;"Wola Mysłowska (2)";3850;
0612000;"Powiat opolski";52676;
0612012;"Chodel (2)";5720;
0612023;"Józefów nad Wisłą (3)";5605;
0612024;"Józefów nad Wisłą - miasto (4)";780;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";4825;
0612032;"Karczmiska (2)";4258;
0612042;"Łaziska (2)";4823;
0612053;"Opole Lubelskie (3)";15687;
0612054;"Opole Lubelskie - miasto (4)";7999;
0612055;"Opole Lubelskie - obszar wiejski (5)";7688;
0612063;"Poniatowa (3)";12259;
0612064;"Poniatowa - miasto (4)";8691;
0612065;"Poniatowa - obszar wiejski (5)";3568;
0612072;"Wilków (2)";4324;
0613000;"Powiat parczewski";29920;
0613012;"Dębowa Kłoda (2)";3199;
0613022;"Jabłoń (2)";3277;
0613032;"Milanów (2)";3175;
0613043;"Parczew (3)";12724;
0613044;"Parczew - miasto (4)";9357;
0613045;"Parczew - obszar wiejski (5)";3367;
0613052;"Podedwórze (2)";1514;
0613062;"Siemień (2)";4210;
0613072;"Sosnowica (2)";1821;
0614000;"Powiat puławski";103444;
0614011;"Puławy (1)";45962;
0614022;"Baranów (2)";3714;
0614032;"Janowiec (2)";3620;
0614043;"Kazimierz Dolny (3)";5620;
0614044;"Kazimierz Dolny - miasto (4)";1599;
0614045;"Kazimierz Dolny - obszar wiejski (5)";4021;
0614052;"Końskowola (2)";6628;
0614062;"Kurów (2)";7353;
0614072;"Markuszów (2)";2555;
0614083;"Nałęczów (3)";7817;
0614084;"Nałęczów - miasto (4)";3532;
0614085;"Nałęczów - obszar wiejski (5)";4285;
0614092;"Puławy (2)";10911;
0614102;"Wąwolnica (2)";3562;
0614112;"Żyrzyn (2)";5702;
0615000;"Powiat radzyński";50488;
0615011;"Radzyń Podlaski (1)";14071;
0615022;"Borki (2)";5603;
0615032;"Czemierniki (2)";3794;
0615042;"Kąkolewnica (2)";7005;
0615052;"Komarówka Podlaska (2)";2291;
0615062;"Radzyń Podlaski (2)";7606;
0615072;"Ulan-Majorat (2)";5375;
0615082;"Wohyń (2)";4743;
0616000;"Powiat rycki";48250;
0616011;"Dęblin (1)";13841;
0616022;"Kłoczew (2)";5579;
0616032;"Nowodwór (2)";3461;
0616043;"Ryki (3)";18020;
0616044;"Ryki - miasto (4)";8920;
0616045;"Ryki - obszar wiejski (5)";9100;
0616052;"Stężyca (2)";4510;
0616062;"Ułęż (2)";2839;
0617000;"Powiat świdnicki";66581;
0617011;"Świdnik (1)";37766;
0617022;"Mełgiew (2)";9390;
0617033;"Piaski (3)";8549;
0617034;"Piaski - miasto (4)";2496;
0617035;"Piaski - obszar wiejski (5)";6053;
0617042;"Rybczewice (2)";2861;
0617052;"Trawniki (2)";8015;
0618000;"Powiat tomaszowski";67070;
0618011;"Tomaszów Lubelski (1)";17518;
0618032;"Jarczów (2)";2264;
0618042;"Krynice (2)";2866;
0618053;"Lubycza Królewska (3)";2593;
0618054;"Lubycza Królewska - miasto (4)";1081;
0618055;"Lubycza Królewska - obszar wiejski (5)";1512;
0618063;"Łaszczów (3)";5912;
0618064;"Łaszczów - miasto (4)";2109;
0618065;"Łaszczów - obszar wiejski (5)";3803;
0618072;"Rachanie (2)";4907;
0618082;"Susiec (2)";6950;
0618092;"Tarnawatka (2)";3859;
0618102;"Telatyn (2)";3370;
0618112;"Tomaszów Lubelski (2)";9201;
0618123;"Tyszowce (3)";4468;
0618124;"Tyszowce - miasto (4)";2052;
0618125;"Tyszowce - obszar wiejski (5)";2416;
0618132;"Ulhówek (2)";3162;
0619000;"Powiat włodawski";34118;
0619011;"Włodawa (1)";12744;
0619022;"Hanna (2)";2759;
0619032;"Hańsk (2)";2711;
0619042;"Stary Brus (2)";1829;
0619052;"Urszulin (2)";3712;
0619062;"Włodawa (2)";5762;
0619072;"Wola Uhruska (2)";2515;
0619082;"Wyryki (2)";2086;
0620000;"Powiat zamojski";61496;
0620012;"Adamów (2)";2219;
0620022;"Grabowiec (2)";1580;
0620032;"Komarów-Osada (2)";2616;
0620043;"Krasnobród (3)";6213;
0620044;"Krasnobród - miasto (4)";3060;
0620045;"Krasnobród - obszar wiejski (5)";3153;
0620052;"Łabunie (2)";438;
0620062;"Miączyn (2)";203;
0620072;"Nielisz (2)";3390;
0620082;"Radecznica (2)";4839;
0620092;"Sitno (2)";3135;
0620102;"Skierbieszów (2)";3827;
0620112;"Stary Zamość (2)";4561;
0620122;"Sułów (2)";3705;
0620133;"Szczebrzeszyn (3)";9793;
0620134;"Szczebrzeszyn - miasto (4)";4743;
0620135;"Szczebrzeszyn - obszar wiejski (5)";5050;
0620142;"Zamość (2)";9066;
0620153;"Zwierzyniec (3)";5911;
0620154;"Zwierzyniec - miasto (4)";2852;
0620155;"Zwierzyniec - obszar wiejski (5)";3059;
0661000;"Powiat m.Biała Podlaska";49520;
0661011;"Biała Podlaska (1)";49520;
0662000;"Powiat m.Chełm";59426;
0662011;"Chełm (1)";59426;
0663000;"Powiat m.Lublin";323336;
0663011;"Lublin (1)";323336;
0664000;"Powiat m.Zamość";59635;
0664011;"Zamość (1)";59635;
0800000;"LUBUSKIE";954324;
0801000;"Powiat gorzowski";67511;
0801011;"Kostrzyn nad Odrą (1)";17688;
0801022;"Bogdaniec (2)";7104;
0801032;"Deszczno (2)";8422;
0801042;"Kłodawa (2)";8680;
0801052;"Lubiszyn (2)";5940;
0801062;"Santok (2)";8464;
0801073;"Witnica (3)";11213;
0801074;"Witnica - miasto (4)";6304;
0801075;"Witnica - obszar wiejski (5)";4909;
0802000;"Powiat krośnieński";50487;
0802011;"Gubin (1)";16363;
0802022;"Bobrowice (2)";3091;
0802032;"Bytnica (2)";2383;
0802042;"Dąbie (2)";4481;
0802052;"Gubin (2)";6106;
0802063;"Krosno Odrzańskie (3)";15322;
0802064;"Krosno Odrzańskie - miasto (4)";9716;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";5606;
0802072;"Maszewo (2)";2741;
0803000;"Powiat międzyrzecki";50891;
0803012;"Bledzew (2)";3984;
0803023;"Międzyrzecz (3)";22974;
0803024;"Międzyrzecz - miasto (4)";16914;
0803025;"Międzyrzecz - obszar wiejski (5)";6060;
0803032;"Przytoczna (2)";4993;
0803042;"Pszczew (2)";3588;
0803053;"Skwierzyna (3)";10705;
0803054;"Skwierzyna - miasto (4)";9007;
0803055;"Skwierzyna - obszar wiejski (5)";1698;
0803063;"Trzciel (3)";4647;
0803064;"Trzciel - miasto (4)";2180;
0803065;"Trzciel - obszar wiejski (5)";2467;
0804000;"Powiat nowosolski";81823;
0804011;"Nowa Sól (1)";38131;
0804023;"Bytom Odrzański (3)";5187;
0804024;"Bytom Odrzański - miasto (4)";4244;
0804025;"Bytom Odrzański - obszar wiejski (5)";943;
0804032;"Kolsko (2)";2224;
0804043;"Kożuchów (3)";14318;
0804044;"Kożuchów - miasto (4)";9053;
0804045;"Kożuchów - obszar wiejski (5)";5265;
0804052;"Nowa Sól (2)";6803;
0804063;"Nowe Miasteczko (3)";5131;
0804064;"Nowe Miasteczko - miasto (4)";2524;
0804065;"Nowe Miasteczko - obszar wiejski (5)";2607;
0804073;"Otyń (3)";7014;
0804074;"Otyń - miasto (4)";1627;
0804075;"Otyń - obszar wiejski (5)";5387;
0804082;"Siedlisko (2)";3015;
0805000;"Powiat słubicki";43686;
0805013;"Cybinka (3)";5723;
0805014;"Cybinka - miasto (4)";2602;
0805015;"Cybinka - obszar wiejski (5)";3121;
0805022;"Górzyca (2)";4138;
0805033;"Ośno Lubuskie (3)";6236;
0805034;"Ośno Lubuskie - miasto (4)";3881;
0805035;"Ośno Lubuskie - obszar wiejski (5)";2355;
0805043;"Rzepin (3)";8404;
0805044;"Rzepin - miasto (4)";5869;
0805045;"Rzepin - obszar wiejski (5)";2535;
0805053;"Słubice (3)";19185;
0805054;"Słubice - miasto (4)";15859;
0805055;"Słubice - obszar wiejski (5)";3326;
0806000;"Powiat strzelecko-drezdenecki";45289;
0806013;"Dobiegniew (3)";5871;
0806014;"Dobiegniew - miasto (4)";3015;
0806015;"Dobiegniew - obszar wiejski (5)";2856;
0806023;"Drezdenko (3)";14938;
0806024;"Drezdenko - miasto (4)";9723;
0806025;"Drezdenko - obszar wiejski (5)";5215;
0806032;"Stare Kurowo (2)";3797;
0806043;"Strzelce Krajeńskie (3)";16451;
0806044;"Strzelce Krajeńskie - miasto (4)";9670;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";6781;
0806052;"Zwierzyn (2)";4232;
0807000;"Powiat sulęciński";32432;
0807012;"Krzeszyce (2)";4168;
0807023;"Lubniewice (3)";2908;
0807024;"Lubniewice - miasto (4)";1901;
0807025;"Lubniewice - obszar wiejski (5)";1007;
0807032;"Słońsk (2)";4757;
0807043;"Sulęcin (3)";14919;
0807044;"Sulęcin - miasto (4)";9777;
0807045;"Sulęcin - obszar wiejski (5)";5142;
0807053;"Torzym (3)";5680;
0807054;"Torzym - miasto (4)";2451;
0807055;"Torzym - obszar wiejski (5)";3229;
0808000;"Powiat świebodziński";52325;
0808012;"Lubrza (2)";3598;
0808022;"Łagów (2)";4573;
0808032;"Skąpe (2)";4647;
0808042;"Szczaniec (2)";3845;
0808053;"Świebodzin (3)";27779;
0808054;"Świebodzin - miasto (4)";21329;
0808055;"Świebodzin - obszar wiejski (5)";6450;
0808063;"Zbąszynek (3)";7883;
0808064;"Zbąszynek - miasto (4)";4964;
0808065;"Zbąszynek - obszar wiejski (5)";2919;
0809000;"Powiat zielonogórski";72830;
0809013;"Babimost (3)";5524;
0809014;"Babimost - miasto (4)";3271;
0809015;"Babimost - obszar wiejski (5)";2253;
0809022;"Bojadła (2)";2898;
0809033;"Czerwieńsk (3)";9655;
0809034;"Czerwieńsk - miasto (4)";3861;
0809035;"Czerwieńsk - obszar wiejski (5)";5794;
0809043;"Kargowa (3)";4976;
0809044;"Kargowa - miasto (4)";3433;
0809045;"Kargowa - obszar wiejski (5)";1543;
0809053;"Nowogród Bobrzański (3)";9255;
0809054;"Nowogród Bobrzański - miasto (4)";4988;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";4267;
0809063;"Sulechów (3)";26489;
0809064;"Sulechów - miasto (4)";16575;
0809065;"Sulechów - obszar wiejski (5)";9914;
0809072;"Świdnica (2)";6456;
0809082;"Trzebiechów (2)";3250;
0809092;"Zabór (2)";4327;
0810000;"Powiat żagański";75202;
0810011;"Gozdnica (1)";2936;
0810021;"Żagań (1)";25239;
0810032;"Brzeźnica (2)";3393;
0810043;"Iłowa (3)";6120;
0810044;"Iłowa - miasto (4)";3840;
0810045;"Iłowa - obszar wiejski (5)";2280;
0810053;"Małomice (3)";4934;
0810054;"Małomice - miasto (4)";3429;
0810055;"Małomice - obszar wiejski (5)";1505;
0810062;"Niegosławice (2)";4200;
0810073;"Szprotawa (3)";18953;
0810074;"Szprotawa - miasto (4)";11285;
0810075;"Szprotawa - obszar wiejski (5)";7668;
0810082;"Wymiarki (2)";2117;
0810092;"Żagań (2)";7310;
0811000;"Powiat żarski";89184;
0811011;"Łęknica (1)";2339;
0811021;"Żary (1)";35400;
0811032;"Brody (2)";3088;
0811043;"Jasień (3)";6521;
0811044;"Jasień - miasto (4)";4187;
0811045;"Jasień - obszar wiejski (5)";2334;
0811052;"Lipinki Łużyckie (2)";3036;
0811063;"Lubsko (3)";17901;
0811064;"Lubsko - miasto (4)";13497;
0811065;"Lubsko - obszar wiejski (5)";4404;
0811072;"Przewóz (2)";3106;
0811082;"Trzebiel (2)";4604;
0811092;"Tuplice (2)";3022;
0811102;"Żary (2)";10167;
0812000;"Powiat wschowski";36065;
0812013;"Sława (3)";10928;
0812014;"Sława - miasto (4)";3979;
0812015;"Sława - obszar wiejski (5)";6949;
0812023;"Szlichtyngowa (3)";4896;
0812024;"Szlichtyngowa - miasto (4)";1227;
0812025;"Szlichtyngowa - obszar wiejski (5)";3669;
0812033;"Wschowa (3)";20241;
0812034;"Wschowa - miasto (4)";13441;
0812035;"Wschowa - obszar wiejski (5)";6800;
0861000;"Powiat m.Gorzów Wielkopolski";122578;
0861011;"Gorzów Wielkopolski (1)";122578;
0862000;"Powiat m.Zielona Góra";134021;
0862011;"Zielona Góra (1)";134021;
1000000;"ŁÓDZKIE";2302391;
1001000;"Powiat bełchatowski";106566;
1001011;"Bełchatów (1)";55631;
1001022;"Bełchatów (2)";11639;
1001032;"Drużbice (2)";4962;
1001042;"Kleszczów (2)";6413;
1001052;"Kluki (2)";4412;
1001062;"Rusiec (2)";4840;
1001072;"Szczerców (2)";8201;
1001083;"Zelów (3)";10468;
1001084;"Zelów - miasto (4)";5430;
1001085;"Zelów - obszar wiejski (5)";5038;
1002000;"Powiat kutnowski";90767;
1002011;"Kutno (1)";41042;
1002022;"Bedlno (2)";4534;
1002032;"Dąbrowice (2)";1896;
1002043;"Krośniewice (3)";8223;
1002044;"Krośniewice - miasto (4)";4248;
1002045;"Krośniewice - obszar wiejski (5)";3975;
1002052;"Krzyżanów (2)";4018;
1002062;"Kutno (2)";8450;
1002072;"Łanięta (2)";2289;
1002082;"Nowe Ostrowy (2)";3114;
1002092;"Oporów (2)";2155;
1002102;"Strzelce (2)";3648;
1002113;"Żychlin (3)";11398;
1002114;"Żychlin - miasto (4)";7895;
1002115;"Żychlin - obszar wiejski (5)";3503;
1003000;"Powiat łaski";42946;
1003012;"Buczek (2)";4205;
1003023;"Łask (3)";24529;
1003024;"Łask - miasto (4)";15708;
1003025;"Łask - obszar wiejski (5)";8821;
1003032;"Sędziejowice (2)";5570;
1003042;"Widawa (2)";6134;
1003052;"Wodzierady (2)";2508;
1004000;"Powiat łęczycki";46594;
1004011;"Łęczyca (1)";13585;
1004022;"Daszyna (2)";3369;
1004032;"Góra Świętej Małgorzaty (2)";3493;
1004042;"Grabów (2)";5663;
1004052;"Łęczyca (2)";7986;
1004063;"Piątek (3)";5886;
1004064;"Piątek - miasto (4)";1690;
1004065;"Piątek - obszar wiejski (5)";4196;
1004072;"Świnice Warckie (2)";3475;
1004082;"Witonia (2)";3137;
1005000;"Powiat łowicki";72718;
1005011;"Łowicz (1)";26660;
1005022;"Bielawy (2)";4624;
1005032;"Chąśno (2)";2622;
1005042;"Domaniewice (2)";4162;
1005052;"Kiernozia (2)";2878;
1005062;"Kocierzew Południowy (2)";4175;
1005072;"Łowicz (2)";7444;
1005082;"Łyszkowice (2)";6391;
1005092;"Nieborów (2)";8483;
1005102;"Zduny (2)";5279;
1006000;"Powiat łódzki wschodni";69248;
1006022;"Andrespol (2)";13136;
1006032;"Brójce (2)";6680;
1006073;"Koluszki (3)";21545;
1006074;"Koluszki - miasto (4)";12773;
1006075;"Koluszki - obszar wiejski (5)";8772;
1006082;"Nowosolna (2)";5028;
1006103;"Rzgów (3)";10508;
1006104;"Rzgów - miasto (4)";3305;
1006105;"Rzgów - obszar wiejski (5)";7203;
1006113;"Tuszyn (3)";12351;
1006114;"Tuszyn - miasto (4)";7160;
1006115;"Tuszyn - obszar wiejski (5)";5191;
1007000;"Powiat opoczyński";69834;
1007012;"Białaczów (2)";4847;
1007023;"Drzewica (3)";10077;
1007024;"Drzewica - miasto (4)";3659;
1007025;"Drzewica - obszar wiejski (5)";6418;
1007032;"Mniszków (2)";4531;
1007043;"Opoczno (3)";31503;
1007044;"Opoczno - miasto (4)";20065;
1007045;"Opoczno - obszar wiejski (5)";11438;
1007052;"Paradyż (2)";3781;
1007062;"Poświętne (2)";3037;
1007072;"Sławno (2)";7055;
1007082;"Żarnów (2)";5003;
1008000;"Powiat pabianicki";111532;
1008011;"Konstantynów Łódzki (1)";18092;
1008021;"Pabianice (1)";59468;
1008032;"Dłutów (2)";3844;
1008042;"Dobroń (2)";7799;
1008052;"Ksawerów (2)";6720;
1008062;"Lutomiersk (2)";7846;
1008072;"Pabianice (2)";7763;
1009000;"Powiat pajęczański";49361;
1009013;"Działoszyn (3)";12302;
1009014;"Działoszyn - miasto (4)";5746;
1009015;"Działoszyn - obszar wiejski (5)";6556;
1009022;"Kiełczygłów (2)";3946;
1009032;"Nowa Brzeźnica (2)";3486;
1009043;"Pajęczno (3)";11074;
1009044;"Pajęczno - miasto (4)";6456;
1009045;"Pajęczno - obszar wiejski (5)";4618;
1009052;"Rząśnia (2)";4919;
1009062;"Siemkowice (2)";4717;
1009072;"Strzelce Wielkie (2)";4536;
1009082;"Sulmierzyce (2)";4381;
1010000;"Powiat piotrkowski";87706;
1010012;"Aleksandrów (2)";3942;
1010022;"Czarnocin (2)";4018;
1010032;"Gorzkowice (2)";8296;
1010042;"Grabica (2)";5492;
1010052;"Łęki Szlacheckie (2)";2615;
1010062;"Moszczenica (2)";12120;
1010072;"Ręczno (2)";3212;
1010082;"Rozprza (2)";12216;
1010093;"Sulejów (3)";16295;
1010094;"Sulejów - miasto (4)";6124;
1010095;"Sulejów - obszar wiejski (5)";10171;
1010102;"Wola Krzysztoporska (2)";11969;
1010113;"Wolbórz (3)";7531;
1010114;"Wolbórz - miasto (4)";2231;
1010115;"Wolbórz - obszar wiejski (5)";5300;
1011000;"Powiat poddębicki";37029;
1011012;"Dalików (2)";3894;
1011022;"Pęczniew (2)";3473;
1011033;"Poddębice (3)";13828;
1011034;"Poddębice - miasto (4)";7052;
1011035;"Poddębice - obszar wiejski (5)";6776;
1011043;"Uniejów (3)";6288;
1011044;"Uniejów - miasto (4)";2939;
1011045;"Uniejów - obszar wiejski (5)";3349;
1011052;"Wartkowice (2)";5014;
1011062;"Zadzim (2)";4532;
1012000;"Powiat radomszczański";105245;
1012011;"Radomsko (1)";43781;
1012022;"Dobryszyce (2)";4243;
1012032;"Gidle (2)";4880;
1012042;"Gomunice (2)";5780;
1012053;"Kamieńsk (3)";5641;
1012054;"Kamieńsk - miasto (4)";2675;
1012055;"Kamieńsk - obszar wiejski (5)";2966;
1012062;"Kobiele Wielkie (2)";3669;
1012072;"Kodrąb (2)";4223;
1012082;"Lgota Wielka (2)";4051;
1012092;"Ładzice (2)";4287;
1012102;"Masłowice (2)";3451;
1012113;"Przedbórz (3)";6534;
1012114;"Przedbórz - miasto (4)";3454;
1012115;"Przedbórz - obszar wiejski (5)";3080;
1012122;"Radomsko (2)";5503;
1012132;"Wielgomłyny (2)";4449;
1012142;"Żytno (2)";4753;
1013000;"Powiat rawski";40682;
1013011;"Rawa Mazowiecka (1)";15925;
1013023;"Biała Rawska (3)";7000;
1013024;"Biała Rawska - miasto (4)";2759;
1013025;"Biała Rawska - obszar wiejski (5)";4241;
1013032;"Cielądz (2)";3532;
1013042;"Rawa Mazowiecka (2)";8792;
1013052;"Regnów (2)";1596;
1013062;"Sadkowice (2)";3837;
1014000;"Powiat sieradzki";109255;
1014011;"Sieradz (1)";39848;
1014023;"Błaszki (3)";12871;
1014024;"Błaszki - miasto (4)";1966;
1014025;"Błaszki - obszar wiejski (5)";10905;
1014032;"Brąszewice (2)";4403;
1014042;"Brzeźnio (2)";5996;
1014052;"Burzenin (2)";4315;
1014062;"Goszczanów (2)";5330;
1014072;"Klonowa (2)";2487;
1014082;"Sieradz (2)";9373;
1014093;"Warta (3)";12260;
1014094;"Warta - miasto (4)";3168;
1014095;"Warta - obszar wiejski (5)";9092;
1014102;"Wróblew (2)";5715;
1014113;"Złoczew (3)";6657;
1014114;"Złoczew - miasto (4)";3274;
1014115;"Złoczew - obszar wiejski (5)";3383;
1015000;"Powiat skierniewicki";33800;
1015012;"Bolimów (2)";3494;
1015022;"Głuchów (2)";5371;
1015032;"Godzianów (2)";2393;
1015042;"Kowiesy (2)";1892;
1015052;"Lipce Reymontowskie (2)";3274;
1015062;"Maków (2)";5999;
1015072;"Nowy Kawęczyn (2)";2764;
1015082;"Skierniewice (2)";6007;
1015092;"Słupia (2)";2606;
1016000;"Powiat tomaszowski";110439;
1016011;"Tomaszów Mazowiecki (1)";57392;
1016022;"Będków (2)";3011;
1016032;"Budziszewice (2)";2158;
1016042;"Czerniewice (2)";4705;
1016052;"Inowłódz (2)";3814;
1016062;"Lubochnia (2)";6981;
1016072;"Rokiciny (2)";6076;
1016082;"Rzeczyca (2)";4163;
1016092;"Tomaszów Mazowiecki (2)";11239;
1016102;"Ujazd (2)";7620;
1016112;"Żelechlinek (2)";3280;
1017000;"Powiat wieluński";72229;
1017012;"Biała (2)";4781;
1017022;"Czarnożyły (2)";4267;
1017032;"Konopnica (2)";3510;
1017042;"Mokrsko (2)";5070;
1017052;"Osjaków (2)";4426;
1017062;"Ostrówek (2)";3885;
1017072;"Pątnów (2)";5998;
1017082;"Skomlin (2)";3262;
1017093;"Wieluń (3)";30539;
1017094;"Wieluń - miasto (4)";21870;
1017095;"Wieluń - obszar wiejski (5)";8669;
1017102;"Wierzchlas (2)";6491;
1018000;"Powiat wieruszowski";40953;
1018012;"Bolesławiec (2)";3970;
1018022;"Czastary (2)";3837;
1018032;"Galewice (2)";6090;
1018043;"Lututów (3)";4554;
1018044;"Lututów - miasto (4)";2236;
1018045;"Lututów - obszar wiejski (5)";2318;
1018052;"Łubnice (2)";3783;
1018062;"Sokolniki (2)";4678;
1018073;"Wieruszów (3)";14041;
1018074;"Wieruszów - miasto (4)";8332;
1018075;"Wieruszów - obszar wiejski (5)";5709;
1019000;"Powiat zduńskowolski";63898;
1019011;"Zduńska Wola (1)";39865;
1019023;"Szadek (3)";6763;
1019024;"Szadek - miasto (4)";1862;
1019025;"Szadek - obszar wiejski (5)";4901;
1019032;"Zapolice (2)";5131;
1019042;"Zduńska Wola (2)";12139;
1020000;"Powiat zgierski";159641;
1020011;"Głowno (1)";12288;
1020021;"Ozorków (1)";18007;
1020031;"Zgierz (1)";53691;
1020043;"Aleksandrów Łódzki (3)";32171;
1020044;"Aleksandrów Łódzki - miasto (4)";21247;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";10924;
1020052;"Głowno (2)";4269;
1020062;"Ozorków (2)";7050;
1020072;"Parzęczew (2)";5007;
1020083;"Stryków (3)";12477;
1020084;"Stryków - miasto (4)";3349;
1020085;"Stryków - obszar wiejski (5)";9128;
1020092;"Zgierz (2)";14681;
1021000;"Powiat brzeziński";29468;
1021011;"Brzeziny (1)";11849;
1021022;"Brzeziny (2)";5846;
1021032;"Dmosin (2)";4356;
1021042;"Jeżów (2)";3097;
1021052;"Rogów (2)";4320;
1061000;"Powiat m.Łódź";638050;
1061011;"Łódź (1)";638050;
1062000;"Powiat m.Piotrków Trybunalski";69870;
1062011;"Piotrków Trybunalski (1)";69870;
1063000;"Powiat m.Skierniewice";44560;
1063011;"Skierniewice (1)";44560;
1200000;"MAŁOPOLSKIE";2791561;
1201000;"Powiat bocheński";83881;
1201011;"Bochnia (1)";28048;
1201022;"Bochnia (2)";19221;
1201032;"Drwinia (2)";5296;
1201042;"Lipnica Murowana (2)";1591;
1201052;"Łapanów (2)";7145;
1201063;"Nowy Wiśnicz (3)";7781;
1201064;"Nowy Wiśnicz - miasto (4)";2664;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";5117;
1201072;"Rzezawa (2)";8203;
1201082;"Trzciana (2)";2736;
1201092;"Żegocina (2)";3860;
1202000;"Powiat brzeski";70823;
1202012;"Borzęcin (2)";5757;
1202023;"Brzesko (3)";30057;
1202024;"Brzesko - miasto (4)";16150;
1202025;"Brzesko - obszar wiejski (5)";13907;
1202033;"Czchów (3)";7242;
1202034;"Czchów - miasto (4)";2252;
1202035;"Czchów - obszar wiejski (5)";4990;
1202042;"Dębno (2)";13166;
1202052;"Gnojnik (2)";2842;
1202062;"Iwkowa (2)";3678;
1202072;"Szczurowa (2)";8081;
1203000;"Powiat chrzanowski";122757;
1203013;"Alwernia (3)";12431;
1203014;"Alwernia - miasto (4)";3308;
1203015;"Alwernia - obszar wiejski (5)";9123;
1203022;"Babice (2)";8983;
1203033;"Chrzanów (3)";45594;
1203034;"Chrzanów - miasto (4)";35959;
1203035;"Chrzanów - obszar wiejski (5)";9635;
1203043;"Libiąż (3)";22132;
1203044;"Libiąż - miasto (4)";16835;
1203045;"Libiąż - obszar wiejski (5)";5297;
1203053;"Trzebinia (3)";33617;
1203054;"Trzebinia - miasto (4)";19505;
1203055;"Trzebinia - obszar wiejski (5)";14112;
1204000;"Powiat dąbrowski";52476;
1204012;"Bolesław (2)";2382;
1204023;"Dąbrowa Tarnowska (3)";18192;
1204024;"Dąbrowa Tarnowska - miasto (4)";11065;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";7127;
1204032;"Gręboszów (2)";2366;
1204042;"Mędrzechów (2)";3028;
1204052;"Olesno (2)";7517;
1204062;"Radgoszcz (2)";6645;
1204073;"Szczucin (3)";12346;
1204074;"Szczucin - miasto (4)";4093;
1204075;"Szczucin - obszar wiejski (5)";8253;
1205000;"Powiat gorlicki";44995;
1205011;"Gorlice (1)";23626;
1205023;"Biecz (3)";4171;
1205024;"Biecz - miasto (4)";2340;
1205025;"Biecz - obszar wiejski (5)";1831;
1205033;"Bobowa (3)";3721;
1205034;"Bobowa - miasto (4)";2115;
1205035;"Bobowa - obszar wiejski (5)";1606;
1205042;"Gorlice (2)";6492;
1205052;"Lipinki (2)";103;
1205062;"Łużna (2)";400;
1205072;"Moszczenica (2)";260;
